frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,241.52,610.38,851.91,1.17,0,0,0
1,1.48,0.1,1.58,632.53,0,0,0
2,657.08,1.24,658.32,1.52,1,1,0
3,76.99,0.18,77.17,12.96,1,1,0
4,282.01,0.17,282.19,3.54,1,1,0
5,64.43,0.19,64.62,15.47,1,1,0
6,270.39,0.21,270.61,3.7,1,1,0
7,112.44,0.17,112.61,8.88,1,1,0
8,293.05,404.79,697.84,1.43,1,1,0
9,121.17,0.24,121.41,8.24,1,1,0
10,312.29,0.21,312.49,3.2,1,1,0
11,74.67,0.38,75.04,13.33,1,1,0
12,287.17,0.22,287.39,3.48,1,1,0
13,77.84,0.3,78.14,12.8,1,1,0
14,286.38,0.67,287.04,3.48,1,1,0
15,77.42,0.22,77.64,12.88,1,1,0
16,251.96,404.24,656.2,1.52,1,1,0
17,101.53,0.39,101.92,9.81,1,1,0
18,329.79,0.75,330.53,3.03,1,1,0
19,78.33,0.31,78.63,12.72,1,1,0
20,272.81,0.22,273.03,3.66,1,1,0
21,75.1,0.21,75.31,13.28,1,1,0
22,282.28,0.24,282.52,3.54,1,1,0
23,72.16,0.22,72.38,13.82,1,1,0
24,245.78,435.8,681.58,1.47,1,1,0
25,90.91,0.24,91.15,10.97,1,1,0
26,314.01,0.48,314.49,3.18,1,1,0
27,70.49,0.21,70.7,14.15,1,1,0
28,286.52,0.52,287.04,3.48,1,1,0
29,78.84,0.43,79.28,12.61,1,1,0
30,290.3,0.75,291.04,3.44,1,1,0
31,69.62,0.21,69.84,14.32,1,1,0
32,265.63,452.05,717.68,1.39,1,1,0
33,116.68,0.31,116.99,8.55,1,1,0
34,524.94,0.65,525.59,1.9,1,1,0
35,112.84,0.27,113.11,8.84,1,1,0
36,576.75,0.21,576.96,1.73,1,1,0
37,79.91,0.46,80.37,12.44,1,1,0
38,422.38,0.38,422.76,2.37,1,1,0
39,71.69,0.21,71.89,13.91,1,1,0
40,275.94,459.39,735.33,1.36,1,1,0
41,77.42,0.38,77.8,12.85,1,1,0
42,303.22,0.23,303.44,3.3,1,1,0
43,69.76,0.29,70.05,14.28,1,1,0
44,250.89,0.27,251.16,3.98,1,1,0
45,66.36,0.2,66.56,15.02,1,1,0
46,305.98,0.23,306.21,3.27,1,1,0
47,66.12,0.29,66.41,15.06,1,1,0
48,277.72,400.06,677.78,1.48,1,1,0
49,83.91,0.46,84.37,11.85,1,1,0
50,301.08,0.52,301.6,3.32,1,1,0
51,76.89,0.21,77.1,12.97,1,1,0
52,256.25,0.19,256.43,3.9,1,1,0
53,63.55,0.19,63.74,15.69,1,1,0
54,276.25,0.19,276.43,3.62,1,1,0
55,69.47,0.28,69.76,14.34,1,1,0
56,256.74,370.56,627.3,1.59,1,1,0
57,76.05,0.24,76.29,13.11,1,1,0
58,328.89,0.44,329.33,3.04,1,1,0
59,84.96,0.23,85.19,11.74,1,1,0
60,308.69,0.28,308.97,3.24,1,1,0
61,92.7,0.25,92.95,10.76,1,1,0
62,303.7,0.33,304.03,3.29,1,1,0
63,72.93,0.18,73.11,13.68,1,1,0
64,398.88,433.17,832.05,1.2,1,1,0
65,87.58,0.23,87.81,11.39,1,1,0
66,299.51,0.99,300.49,3.33,1,1,0
67,96.44,0.31,96.75,10.34,1,1,0
68,356.6,0.86,357.46,2.8,1,1,0
69,80.95,0.22,81.16,12.32,1,1,0
70,348.79,0.23,349.02,2.87,1,1,0
71,76.5,0.35,76.84,13.01,1,1,0
72,317.52,402.76,720.27,1.39,1,1,0
73,75.07,0.24,75.31,13.28,1,1,0
