ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758348847.189804,0b752e43,0,1,0,1,Unknown,0.1917,1124,316,1474,826
1758348849.366789,0b752e43,5,2,0,1,Unknown,0.2966,1124,316,1474,826
1758348849.366789,0b752e43,5,2,0,1,Unknown,0.2966,1127,313,1456,803
1758348850.3654761,0b752e43,10,1,0,1,Unknown,0.308,1119,318,1454,801
1758348850.899345,0b752e43,15,1,0,1,Unknown,0.3068,1117,316,1451,803
1758348851.728179,0b752e43,20,1,0,1,Unknown,0.3106,1115,316,1450,801
1758348852.586058,0b752e43,25,1,0,1,Unknown,0.3072,1115,321,1451,800
1758348853.009875,0b752e43,30,1,0,1,Unknown,0.2819,1116,316,1449,800
1758348853.846167,0b752e43,35,1,0,1,Unknown,0.3071,1116,317,1449,799
1758348854.234347,0b752e43,40,1,0,1,Unknown,0.3092,1117,316,1449,801
1758348855.098442,0b752e43,45,2,1,0,anish,0.5559,1117,316,1449,801
1758348855.098442,0b752e43,45,2,1,0,anish,0.5559,931,365,1318,890
1758348855.9526122,0b752e43,50,1,1,0,anish,0.5498,918,366,1319,900
1758348856.412502,0b752e43,55,1,1,0,anish,0.5577,915,364,1316,906
1758348857.237477,0b752e43,60,1,1,0,anish,0.5672,914,364,1318,909
1758348858.0147278,0b752e43,65,1,1,0,anish,0.5718,908,364,1313,909
1758348858.433734,0b752e43,70,1,1,0,anish,0.5595,911,368,1316,908
1758348859.2449868,0b752e43,75,2,1,0,anish,0.5169,922,382,1327,922
1758348859.2449868,0b752e43,75,2,1,0,anish,0.5169,1084,399,1516,926
1758348859.6653109,0b752e43,80,2,1,0,anish,0.5568,931,382,1336,922
1758348859.6653109,0b752e43,80,2,1,0,anish,0.5568,1088,400,1515,926
1758348860.514144,0b752e43,85,2,1,0,anish,0.5726,901,372,1306,912
1758348860.514144,0b752e43,85,2,1,0,anish,0.5726,1070,376,1488,918
1758348861.373875,0b752e43,90,3,1,0,anish,0.5437,721,361,1126,901
1758348861.373875,0b752e43,90,3,1,0,anish,0.5437,1081,301,1513,877
1758348861.373875,0b752e43,90,3,1,0,anish,0.5437,934,350,1314,859
1758348861.837286,0b752e43,95,3,0,1,Unknown,0.2924,722,361,1127,901
1758348861.837286,0b752e43,95,3,0,1,Unknown,0.2924,1179,270,1611,846
1758348861.837286,0b752e43,95,3,0,1,Unknown,0.2924,1070,309,1418,798
1758348862.742784,0b752e43,100,3,0,1,Unknown,0.3195,722,361,1127,901
1758348862.742784,0b752e43,100,3,0,1,Unknown,0.3195,1179,270,1611,846
1758348862.742784,0b752e43,100,3,0,1,Unknown,0.3195,1110,315,1443,784
1758348863.594311,0b752e43,105,3,0,1,Unknown,0.2893,722,360,1127,900
1758348863.594311,0b752e43,105,3,0,1,Unknown,0.2893,1174,268,1606,844
1758348863.594311,0b752e43,105,3,0,1,Unknown,0.2893,1104,320,1440,777
1758348864.106601,0b752e43,110,3,0,1,Unknown,0.2771,723,360,1128,900
1758348864.106601,0b752e43,110,3,0,1,Unknown,0.2771,1173,268,1605,844
1758348864.106601,0b752e43,110,3,0,1,Unknown,0.2771,1104,318,1437,776
1758348864.9573371,0b752e43,115,3,0,1,Unknown,0.2534,723,354,1128,894
1758348864.9573371,0b752e43,115,3,0,1,Unknown,0.2534,1101,324,1427,772
1758348864.9573371,0b752e43,115,3,0,1,Unknown,0.2534,1104,318,1437,776
1758348865.3343182,0b752e43,120,2,0,1,Unknown,0.2576,721,354,1126,894
1758348865.3343182,0b752e43,120,2,0,1,Unknown,0.2576,1096,325,1424,768
1758348866.087631,0b752e43,125,2,0,1,Unknown,0.2761,721,354,1126,894
1758348866.087631,0b752e43,125,2,0,1,Unknown,0.2761,1096,324,1422,768
1758348866.943994,0b752e43,130,2,0,1,Unknown,0.2631,726,352,1131,892
1758348866.943994,0b752e43,130,2,0,1,Unknown,0.2631,1101,323,1430,774
1758348867.369364,0b752e43,135,2,0,1,Unknown,0.2875,726,353,1131,893
1758348867.369364,0b752e43,135,2,0,1,Unknown,0.2875,1103,319,1431,775
1758348868.224077,0b752e43,140,2,0,1,Unknown,0.2857,724,354,1129,894
1758348868.224077,0b752e43,140,2,0,1,Unknown,0.2857,1103,320,1429,777
1758348869.180844,0b752e43,145,2,0,1,Unknown,0.2779,725,354,1130,894
1758348869.180844,0b752e43,145,2,0,1,Unknown,0.2779,1106,320,1434,776
1758348869.609952,0b752e43,150,2,0,1,Unknown,0.2803,726,354,1131,894
1758348869.609952,0b752e43,150,2,0,1,Unknown,0.2803,1107,320,1434,776
1758348870.456618,0b752e43,155,3,0,1,Unknown,0.2794,726,354,1131,894
1758348870.456618,0b752e43,155,3,0,1,Unknown,0.2794,1107,320,1434,776
1758348870.456618,0b752e43,155,3,0,1,Unknown,0.2794,1108,321,1433,778
1758348870.857654,0b752e43,160,2,0,1,Unknown,0.2574,726,354,1131,894
1758348870.857654,0b752e43,160,2,0,1,Unknown,0.2574,1105,318,1432,780
1758348871.628177,0b752e43,165,3,0,1,Unknown,0.2927,725,353,1130,893
1758348871.628177,0b752e43,165,3,0,1,Unknown,0.2927,1105,318,1432,780
1758348871.628177,0b752e43,165,3,0,1,Unknown,0.2927,1108,322,1437,780
1758348872.430494,0b752e43,170,2,0,1,Unknown,0.2651,715,357,1120,897
1758348872.430494,0b752e43,170,2,0,1,Unknown,0.2651,1096,329,1422,781
1758348872.857429,0b752e43,175,2,0,1,Unknown,0.274,718,357,1123,897
1758348872.857429,0b752e43,175,2,0,1,Unknown,0.274,1097,331,1428,782
1758348873.649029,0b752e43,180,2,0,1,Unknown,0.3002,720,357,1125,897
1758348873.649029,0b752e43,180,2,0,1,Unknown,0.3002,1101,318,1433,784
1758348874.447739,0b752e43,185,2,0,1,Unknown,0.2943,722,357,1127,897
1758348874.447739,0b752e43,185,2,0,1,Unknown,0.2943,1108,322,1436,784
1758348874.878714,0b752e43,190,2,0,1,Unknown,0.3025,722,357,1127,897
1758348874.878714,0b752e43,190,2,0,1,Unknown,0.3025,1109,323,1434,781
1758348875.7028348,0b752e43,195,2,0,1,Unknown,0.2909,719,357,1124,897
1758348875.7028348,0b752e43,195,2,0,1,Unknown,0.2909,1102,322,1428,783
1758348876.1702,0b752e43,200,2,0,1,Unknown,0.28,719,357,1124,897
1758348876.1702,0b752e43,200,2,0,1,Unknown,0.28,1102,321,1428,784
1758348876.9674199,0b752e43,205,2,0,1,Unknown,0.2935,720,357,1125,897
1758348876.9674199,0b752e43,205,2,0,1,Unknown,0.2935,1103,323,1430,782
1758348877.7590091,0b752e43,210,2,0,1,Unknown,0.301,722,357,1127,897
1758348877.7590091,0b752e43,210,2,0,1,Unknown,0.301,1110,321,1434,782
1758348878.150508,0b752e43,215,2,0,1,Unknown,0.3232,722,357,1127,897
1758348878.150508,0b752e43,215,2,0,1,Unknown,0.3232,1109,321,1435,785
1758348878.946095,0b752e43,220,2,0,1,Unknown,0.3067,723,358,1128,898
1758348878.946095,0b752e43,220,2,0,1,Unknown,0.3067,1112,319,1439,789
1758348879.8451898,0b752e43,225,2,0,1,Unknown,0.3042,723,358,1128,898
1758348879.8451898,0b752e43,225,2,0,1,Unknown,0.3042,1109,321,1441,799
1758348880.324332,0b752e43,230,2,0,1,Unknown,0.3141,723,358,1128,898
1758348880.324332,0b752e43,230,2,0,1,Unknown,0.3141,1106,320,1442,800
1758348881.128787,0b752e43,235,2,0,1,Unknown,0.306,724,358,1129,898
1758348881.128787,0b752e43,235,2,0,1,Unknown,0.306,1111,320,1446,805
1758348881.535145,0b752e43,240,2,0,1,Unknown,0.3188,725,358,1130,898
1758348881.535145,0b752e43,240,2,0,1,Unknown,0.3188,1111,320,1447,805
1758348882.3682828,0b752e43,245,2,0,1,Unknown,0.3222,726,358,1131,898
1758348882.3682828,0b752e43,245,2,0,1,Unknown,0.3222,1112,320,1448,803
1758348883.218834,0b752e43,250,2,0,1,Unknown,0.3282,722,358,1127,898
1758348883.218834,0b752e43,250,2,0,1,Unknown,0.3282,1110,315,1446,799
1758348883.6423192,0b752e43,255,2,0,1,Unknown,0.3197,720,359,1125,899
1758348883.6423192,0b752e43,255,2,0,1,Unknown,0.3197,1106,314,1443,797
1758348884.5000908,0b752e43,260,2,0,1,Unknown,0.321,720,359,1125,899
1758348884.5000908,0b752e43,260,2,0,1,Unknown,0.321,1109,325,1442,781
1758348885.483534,0b752e43,265,3,1,0,anish,0.5523,720,359,1125,899
1758348885.483534,0b752e43,265,3,1,0,anish,0.5523,1109,325,1442,781
1758348885.483534,0b752e43,265,3,1,0,anish,0.5523,965,350,1345,869
1758348885.8939772,0b752e43,270,2,1,0,anish,0.5632,720,359,1125,899
1758348885.8939772,0b752e43,270,2,1,0,anish,0.5632,958,351,1343,876
1758348886.7203882,0b752e43,275,2,1,0,anish,0.5651,719,359,1124,899
1758348886.7203882,0b752e43,275,2,1,0,anish,0.5651,958,355,1343,875
1758348887.141222,0b752e43,280,2,1,0,anish,0.5554,715,362,1120,902
1758348887.141222,0b752e43,280,2,1,0,anish,0.5554,958,353,1338,875
1758348887.9579809,0b752e43,285,3,1,0,anish,0.5715,655,398,1060,938
1758348887.9579809,0b752e43,285,3,1,0,anish,0.5715,958,353,1338,875
1758348887.9579809,0b752e43,285,3,1,0,anish,0.5715,911,369,1311,899
1758348888.887907,0b752e43,290,2,1,0,anish,0.5763,680,388,1085,928
1758348888.887907,0b752e43,290,2,1,0,anish,0.5763,930,367,1320,893
1758348889.313375,0b752e43,295,2,1,0,anish,0.5754,682,389,1087,929
1758348889.313375,0b752e43,295,2,1,0,anish,0.5754,934,368,1321,895
1758348890.168673,0b752e43,300,2,1,0,anish,0.5426,654,403,1059,943
1758348890.168673,0b752e43,300,2,1,0,anish,0.5426,911,369,1315,902
1758348890.9716039,0b752e43,305,2,1,0,anish,0.5304,611,399,1101,967
1758348890.9716039,0b752e43,305,2,1,0,anish,0.5304,819,346,1224,886
1758348891.386546,0b752e43,310,3,1,0,anish,0.5244,611,399,1101,967
1758348891.386546,0b752e43,310,3,1,0,anish,0.5244,738,326,1143,866
1758348891.386546,0b752e43,310,3,1,0,anish,0.5244,476,479,962,1013
1758348892.213823,0b752e43,315,2,1,0,anish,0.606,846,290,1251,830
1758348892.213823,0b752e43,315,2,1,0,anish,0.606,564,423,1038,977
1758348892.634895,0b752e43,320,3,1,0,anish,0.4986,983,265,1388,805
1758348892.634895,0b752e43,320,3,1,0,anish,0.4986,632,417,1112,993
1758348892.634895,0b752e43,320,3,1,0,anish,0.4986,820,358,1238,908
1758348893.423163,0b752e43,325,4,1,0,anish,0.4442,1601,362,2092,952
1758348894.6404202,0b752e43,330,3,1,0,anish,0.4773,983,262,1388,802
1758348894.6404202,0b752e43,330,3,1,0,anish,0.4773,1385,376,1842,901
1758348895.255218,0b752e43,335,4,1,0,anish,0.5348,983,262,1388,802
1758348895.255218,0b752e43,335,4,1,0,anish,0.5348,654,390,1134,966
1758348895.255218,0b752e43,335,4,1,0,anish,0.5348,1236,349,1716,889
1758348895.255218,0b752e43,335,4,1,0,anish,0.5348,1066,340,1486,882
1758348896.192497,0b752e43,340,3,1,0,anish,0.556,654,390,1134,966
1758348896.192497,0b752e43,340,3,1,0,anish,0.556,1191,352,1671,892
1758348896.192497,0b752e43,340,3,1,0,anish,0.556,1045,355,1451,886
1758348897.132833,0b752e43,345,4,1,0,anish,0.5431,654,390,1134,966
1758348897.132833,0b752e43,345,4,1,0,anish,0.5431,1174,350,1654,890
1758348897.132833,0b752e43,345,4,1,0,anish,0.5431,908,321,1340,861
1758348897.132833,0b752e43,345,4,1,0,anish,0.5431,731,404,1196,931
1758348897.6961339,0b752e43,350,3,1,0,anish,0.5285,925,343,1357,883
1758348897.6961339,0b752e43,350,3,1,0,anish,0.5285,555,465,1043,992
1758348898.7401652,0b752e43,355,3,0,1,Unknown,0.3363,924,345,1356,885
1758348898.7401652,0b752e43,355,3,0,1,Unknown,0.3363,559,466,1008,984
1758348899.305284,0b752e43,360,4,0,1,Unknown,0.2585,924,345,1356,885
1758348899.305284,0b752e43,360,4,0,1,Unknown,0.2585,559,466,1008,984
1758348899.305284,0b752e43,360,4,0,1,Unknown,0.2585,562,456,1013,987
1758348900.461361,0b752e43,365,4,0,1,Unknown,0.2634,924,345,1356,885
1758348900.461361,0b752e43,365,4,0,1,Unknown,0.2634,565,462,1009,971
