frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,499.31,1543.48,2042.8,0.49,1,0,1
1,4.06,0.01,4.06,246.29,1,0,1
2,5.04,0.01,5.05,197.94,1,0,1
3,7.37,0.01,7.38,135.58,1,0,1
4,6.51,0.03,6.54,152.97,1,0,1
5,470.45,0.01,470.46,2.13,2,0,2
6,10.08,0.01,10.08,99.19,1,0,1
7,6.46,0.01,6.47,154.58,1,0,1
8,7.22,423.29,430.5,2.32,1,0,1
9,7.58,0.08,7.66,130.53,1,0,1
10,403.84,0.08,403.92,2.48,1,0,1
11,6.58,0.07,6.65,150.26,1,0,1
12,7.56,0.08,7.64,130.91,1,0,1
13,6.19,0.07,6.26,159.67,1,0,1
14,8.83,0.08,8.91,112.29,1,0,1
15,372.3,0.09,372.39,2.69,1,0,1
16,3.54,418.45,421.99,2.37,1,0,1
17,8.23,0.08,8.31,120.38,1,0,1
18,6.69,0.08,6.76,147.86,1,0,1
19,7.85,0.08,7.92,126.2,1,0,1
20,235.09,0.07,235.16,4.25,1,0,1
21,6.41,0.07,6.48,154.26,1,0,1
22,7.02,0.07,7.1,140.89,1,0,1
23,6.63,0.08,6.71,149.12,1,0,1
24,10.09,383.8,393.89,2.54,1,0,1
25,290.3,0.09,290.38,3.44,1,0,1
26,6.1,0.08,6.18,161.89,1,0,1
27,7.47,0.08,7.54,132.56,1,0,1
28,7.43,0.08,7.51,133.16,1,0,1
29,6.5,0.09,6.59,151.76,1,0,1
30,247.26,0.07,247.34,4.04,1,0,1
31,7.03,0.08,7.11,140.72,1,0,1
32,6.18,400.56,406.74,2.46,1,0,1
33,6.66,0.07,6.74,148.48,1,0,1
34,6.3,0.07,6.38,156.84,1,0,1
35,282.87,0.07,282.94,3.53,1,0,1
36,6.67,0.09,6.76,147.86,1,0,1
37,6.64,0.07,6.72,148.87,1,0,1
38,7.22,0.08,7.3,137.02,1,0,1
39,6.9,0.08,6.98,143.22,1,0,1
40,238.87,411.26,650.13,1.54,1,0,1
41,3.31,0.08,3.39,295.17,1,0,1
42,3.29,0.07,3.36,297.28,1,0,1
43,3.93,0.08,4.01,249.32,1,0,1
44,4.04,0.08,4.12,242.89,1,0,1
45,304.21,0.08,304.29,3.29,2,2,0
46,13.09,0.08,13.17,75.94,1,1,0
47,8.46,0.09,8.55,116.95,1,1,0
48,9.57,427.06,436.63,2.29,1,1,0
49,9.67,0.09,9.75,102.53,1,1,0
50,257.5,0.08,257.58,3.88,1,1,0
51,13.07,0.09,13.16,76.01,1,1,0
52,10.84,0.09,10.92,91.56,1,1,0
53,10.47,0.1,10.57,94.62,1,1,0
54,10.63,0.08,10.71,93.39,1,1,0
55,316.26,0.08,316.34,3.16,1,1,0
56,10.53,375.91,386.45,2.59,1,1,0
57,9.35,0.08,9.42,106.11,1,1,0
58,10.2,0.08,10.27,97.33,1,1,0
59,9.68,0.09,9.77,102.31,1,1,0
60,304.19,0.08,304.28,3.29,1,1,0
61,9.47,0.08,9.55,104.71,1,1,0
62,9.58,0.08,9.66,103.52,1,1,0
63,9.75,0.08,9.83,101.75,1,1,0
64,10.66,365.26,375.93,2.66,1,1,0
65,246.68,0.08,246.76,4.05,1,1,0
66,10.34,0.08,10.42,95.93,1,1,0
67,9.57,0.08,9.65,103.67,1,1,0
68,11.49,0.08,11.57,86.41,1,1,0
69,10.41,0.11,10.52,95.08,1,1,0
70,268.58,0.1,268.68,3.72,1,1,0
71,9.95,0.08,10.03,99.68,1,1,0
72,9.92,405.46,415.39,2.41,1,1,0
73,11.43,0.04,11.47,87.2,1,1,0
74,9.45,0.05,9.5,105.29,1,1,0
75,247.48,0.04,247.52,4.04,2,2,0
76,19.32,0.04,19.36,51.64,2,2,0
77,14.83,0.04,14.87,67.27,2,2,0
78,16.58,0.04,16.62,60.18,2,2,0
79,17.14,0.05,17.19,58.16,2,2,0
80,259.56,368.9,628.46,1.59,2,2,0
81,16.78,0.08,16.86,59.3,2,2,0
82,20.66,0.1,20.76,48.17,2,2,0
83,16.76,0.09,16.84,59.36,2,2,0
84,16.52,0.09,16.6,60.22,2,2,0
85,283.56,0.08,283.64,3.53,2,2,0
86,18.9,0.08,18.97,52.71,2,2,0
87,19.53,0.14,19.67,50.83,2,2,0
88,19.87,381.11,400.98,2.49,2,2,0
89,17.65,0.1,17.75,56.33,2,2,0
90,310.11,0.08,310.18,3.22,3,3,0
91,22.09,0.08,22.17,45.11,3,3,0
92,23.36,0.14,23.49,42.56,3,3,0
93,25.62,0.12,25.74,38.86,3,3,0
94,22.36,0.08,22.43,44.57,3,3,0
95,272.13,0.08,272.21,3.67,3,0,3
96,24.07,402.95,427.02,2.34,3,0,3
97,25.49,0.07,25.56,39.13,3,0,3
98,23.9,0.07,23.97,41.71,3,0,3
99,28.5,0.07,28.58,34.99,3,0,3
100,278.26,0.07,278.33,3.59,3,0,3
101,22.68,0.07,22.75,43.96,3,0,3
