frame_idx,class,x1,y1,x2,y2
8,NO-Mask,1065,342,1445,841
8,NO-Hardhat,1064,344,1443,849
16,NO-Mask,1058,343,1433,832
16,NO-Hardhat,1059,342,1436,839
24,NO-Mask,1056,344,1434,840
24,NO-Hardhat,1056,343,1435,847
32,NO-Mask,1058,344,1434,834
32,NO-Hardhat,1058,343,1434,841
40,NO-Mask,1056,343,1432,832
40,NO-Hardhat,1058,343,1432,840
48,NO-Hardhat,877,352,1343,951
48,NO-Mask,879,348,1340,951
56,NO-Hardhat,867,360,1339,954
56,NO-Mask,872,360,1335,952
64,NO-Hardhat,864,360,1334,955
64,NO-Mask,865,360,1333,953
72,NO-Mask,901,359,1393,946
80,NO-Hardhat,1012,374,1567,951
80,NO-Mask,1019,379,1565,953
88,NO-Mask,956,343,1460,935
88,NO-Hardhat,956,333,1461,933
96,NO-Mask,1037,333,1434,811
96,NO-Hardhat,1040,336,1432,816
104,NO-Mask,1045,333,1433,796
104,NO-Hardhat,1047,336,1432,802
112,NO-Mask,1049,330,1432,794
112,NO-Hardhat,1046,332,1433,802
120,NO-Mask,1044,329,1427,797
120,NO-Hardhat,1041,329,1427,802
128,NO-Mask,1044,332,1429,805
128,NO-Hardhat,1042,335,1430,812
136,NO-Mask,1046,334,1432,798
136,NO-Hardhat,1046,336,1433,805
144,NO-Mask,1049,332,1433,805
144,NO-Hardhat,1048,333,1433,809
152,NO-Mask,1048,335,1432,808
152,NO-Hardhat,1048,337,1433,815
160,NO-Mask,1051,333,1432,807
160,NO-Hardhat,1049,334,1433,812
168,NO-Mask,1048,335,1433,827
168,NO-Hardhat,1049,337,1431,832
176,NO-Mask,1039,341,1428,831
176,NO-Hardhat,1039,338,1429,838
184,NO-Mask,1044,338,1430,821
184,NO-Hardhat,1045,339,1430,826
192,NO-Mask,1044,338,1428,809
192,NO-Hardhat,1046,341,1427,815
200,NO-Mask,1041,339,1426,812
200,NO-Hardhat,1042,341,1425,818
208,NO-Mask,1042,338,1430,812
208,NO-Hardhat,1044,341,1429,818
216,NO-Mask,1051,337,1434,826
216,NO-Hardhat,1049,339,1433,832
224,NO-Mask,1052,342,1432,829
224,NO-Hardhat,1048,339,1434,840
232,NO-Mask,1053,345,1436,843
232,NO-Hardhat,1053,344,1438,850
240,NO-Mask,1052,345,1439,854
240,NO-Hardhat,1052,344,1441,860
248,NO-Mask,1055,345,1433,850
248,NO-Hardhat,1054,344,1435,856
256,NO-Mask,1047,341,1432,822
256,NO-Hardhat,1048,343,1432,827
264,NO-Mask,913,349,1396,913
264,NO-Hardhat,915,354,1397,911
272,NO-Hardhat,904,355,1381,952
272,NO-Mask,905,354,1380,955
280,NO-Mask,903,356,1371,943
280,NO-Hardhat,902,357,1371,942
288,NO-Mask,877,354,1336,958
288,NO-Hardhat,876,357,1340,957
296,NO-Hardhat,877,361,1348,959
296,NO-Mask,879,358,1345,959
304,NO-Mask,831,353,1306,950
304,NO-Hardhat,829,352,1306,951
312,NO-Hardhat,514,430,1042,998
320,NO-Mask,778,342,1266,944
320,NO-Hardhat,773,337,1267,943
328,NO-Mask,1459,377,1918,966
328,NO-Hardhat,1456,373,1918,970
336,NO-Hardhat,997,312,1478,939
336,NO-Mask,994,320,1480,936
344,NO-Hardhat,984,348,1467,931
344,NO-Mask,993,355,1467,930
352,NO-Hardhat,591,438,1091,995
360,Mask,582,459,1071,898
376,NO-Hardhat,968,380,1446,905
384,NO-Mask,986,326,1494,942
384,NO-Hardhat,983,312,1497,944
392,NO-Mask,974,346,1476,940
392,NO-Hardhat,972,341,1476,935
