ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758343470.996133,0dc52b34,0,1,1,0,anish,0.4641,866,-53,1354,595
1758343474.101559,0dc52b34,5,1,1,0,anish,0.5215,874,237,1320,828
1758343474.960952,0dc52b34,10,1,1,0,anish,0.5528,870,243,1318,844
1758343475.392426,0dc52b34,15,1,1,0,anish,0.5577,853,243,1307,851
1758343476.3444211,0dc52b34,20,1,1,0,anish,0.5892,854,255,1302,856
1758343477.2335649,0dc52b34,25,1,1,0,anish,0.5659,780,253,1233,865
1758343477.686413,0dc52b34,30,1,1,0,anish,0.6021,740,262,1201,874
1758343478.498993,0dc52b34,35,2,1,0,anish,0.4827,628,273,1108,898
1758343478.498993,0dc52b34,35,2,1,0,anish,0.4827,410,402,938,947
1758343479.1067982,0dc52b34,40,2,1,0,anish,0.5526,705,236,1185,861
1758343479.1067982,0dc52b34,40,2,1,0,anish,0.5526,468,358,993,930
1758343479.903977,0dc52b34,45,2,1,0,anish,0.5546,677,261,1145,872
1758343479.903977,0dc52b34,45,2,1,0,anish,0.5546,462,364,1002,940
1758343480.7005372,0dc52b34,50,2,1,0,anish,0.569,785,260,1227,851
1758343480.7005372,0dc52b34,50,2,1,0,anish,0.569,568,330,1108,906
1758343481.201503,0dc52b34,55,2,1,0,anish,0.5809,795,259,1228,854
1758343481.201503,0dc52b34,55,2,1,0,anish,0.5809,579,329,1119,905
1758343482.1283169,0dc52b34,60,2,1,0,anish,0.5715,805,263,1236,852
1758343482.1283169,0dc52b34,60,2,1,0,anish,0.5715,591,325,1131,901
1758343483.0914712,0dc52b34,65,2,1,0,anish,0.5775,808,262,1243,853
1758343483.0914712,0dc52b34,65,2,1,0,anish,0.5775,595,325,1135,901
1758343483.86429,0dc52b34,70,2,1,0,anish,0.529,809,279,1245,876
1758343483.86429,0dc52b34,70,2,1,0,anish,0.529,594,367,1134,943
1758343484.726624,0dc52b34,75,2,1,0,anish,0.5384,806,291,1251,890
