frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,1009.35,2379.67,3389.01,0.3,1,1,0
1,30.91,0.17,31.08,32.17,1,1,0
2,31.25,0.3,31.55,31.7,1,1,0
3,28.37,0.03,28.39,35.22,1,1,0
4,18.76,0.05,18.8,53.19,1,1,0
5,449.22,0.12,449.35,2.23,1,1,0
6,12.66,0.03,12.69,78.79,1,1,0
7,9.9,0.02,9.92,100.8,1,1,0
8,11.11,434.16,445.27,2.25,1,1,0
9,12.01,0.12,12.13,82.45,1,1,0
10,272.55,0.11,272.66,3.67,1,1,0
11,11.15,0.11,11.26,88.78,1,1,0
12,10.38,0.1,10.47,95.49,1,1,0
13,10.88,0.09,10.97,91.19,1,1,0
14,14.62,0.09,14.71,67.98,1,1,0
15,271.25,0.09,271.34,3.69,1,1,0
16,18.41,405.2,423.61,2.36,1,1,0
17,12.08,0.09,12.17,82.16,1,1,0
18,12.44,0.08,12.53,79.84,1,1,0
19,13.43,0.09,13.51,74.0,1,1,0
20,355.71,0.09,355.79,2.81,1,1,0
21,12.07,0.09,12.16,82.26,1,1,0
22,11.13,0.08,11.22,89.14,1,1,0
23,17.27,0.09,17.36,57.61,1,1,0
24,12.46,467.08,479.53,2.09,1,1,0
25,273.78,0.08,273.86,3.65,1,1,0
26,11.68,0.09,11.77,84.94,1,1,0
27,11.93,0.09,12.02,83.16,1,1,0
28,12.58,0.09,12.67,78.94,1,1,0
29,11.69,0.08,11.77,84.94,1,1,0
30,296.86,0.08,296.94,3.37,1,1,0
31,11.95,0.08,12.03,83.1,1,1,0
32,12.1,368.58,380.68,2.63,1,1,0
33,13.35,0.09,13.44,74.42,1,1,0
34,11.65,0.09,11.74,85.2,1,1,0
35,273.33,0.08,273.41,3.66,2,2,0
36,24.48,0.09,24.58,40.69,2,2,0
37,23.38,0.09,23.47,42.6,2,2,0
38,23.83,0.08,23.92,41.81,2,2,0
39,22.82,0.11,22.93,43.61,2,2,0
40,315.39,364.36,679.74,1.47,2,2,0
41,17.26,0.05,17.3,57.79,2,2,0
42,24.22,0.05,24.27,41.2,2,2,0
43,23.3,0.05,23.34,42.84,2,2,0
44,23.11,0.04,23.15,43.19,2,2,0
45,280.09,0.04,280.13,3.57,2,2,0
46,24.7,0.05,24.75,40.4,2,2,0
47,24.91,0.05,24.96,40.06,2,2,0
48,23.54,361.41,384.95,2.6,2,2,0
49,22.72,0.08,22.8,43.86,2,2,0
50,276.42,0.08,276.49,3.62,2,2,0
51,21.8,0.08,21.88,45.71,2,2,0
52,21.16,0.1,21.26,47.04,2,2,0
53,26.8,0.09,26.89,37.2,2,2,0
54,23.77,0.08,23.85,41.93,2,2,0
55,277.06,0.08,277.14,3.61,2,2,0
56,20.16,350.27,370.43,2.7,2,2,0
57,27.03,0.05,27.08,36.92,2,2,0
58,25.27,0.05,25.32,39.49,2,2,0
59,21.62,0.05,21.67,46.15,2,2,0
60,303.52,0.06,303.58,3.29,2,2,0
61,20.03,0.05,20.08,49.8,2,2,0
62,19.7,0.06,19.76,50.61,2,2,0
63,22.69,0.05,22.73,43.99,2,2,0
64,22.35,391.12,413.46,2.42,2,2,0
65,396.38,0.05,396.43,2.52,2,2,0
66,26.01,0.05,26.06,38.37,2,2,0
