frame_idx,class,x1,y1,x2,y2
0,Hardhat,845,1,1415,177
8,NO-Mask,818,220,1355,922
8,NO-Hardhat,819,218,1354,919
16,NO-Hardhat,808,236,1333,904
16,NO-Mask,809,235,1332,906
24,NO-Mask,783,244,1311,906
24,NO-Hardhat,782,243,1309,908
32,NO-Hardhat,593,282,1159,916
32,NO-Mask,598,279,1152,916
40,NO-Hardhat,460,335,1014,953
48,NO-Mask,705,247,1221,895
48,NO-Hardhat,707,246,1222,895
56,NO-Hardhat,752,251,1266,907
64,NO-Hardhat,755,253,1275,909
72,NO-Hardhat,766,289,1305,939
72,NO-Mask,768,288,1303,939
80,NO-Mask,765,279,1305,934
80,NO-Hardhat,765,277,1303,935
88,NO-Hardhat,766,263,1294,926
88,NO-Mask,767,263,1292,924
96,NO-Hardhat,761,254,1288,916
104,NO-Hardhat,761,251,1286,911
112,NO-Hardhat,763,248,1287,912
120,NO-Hardhat,772,245,1293,906
120,NO-Mask,773,246,1291,905
128,NO-Hardhat,773,236,1290,912
128,NO-Mask,775,238,1289,910
136,NO-Hardhat,784,292,1229,866
136,NO-Mask,784,291,1228,863
144,NO-Hardhat,786,327,1231,908
144,NO-Mask,786,328,1231,899
152,NO-Hardhat,787,332,1236,897
152,NO-Mask,789,327,1235,891
160,NO-Hardhat,785,329,1233,897
168,NO-Hardhat,785,329,1233,900
176,NO-Hardhat,783,325,1236,902
184,NO-Hardhat,784,323,1238,904
184,NO-Mask,783,320,1235,899
192,NO-Hardhat,780,325,1235,895
192,NO-Mask,776,323,1235,889
