ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758465147.072136,14374031,0,1,1,0,worker1,0.9143,391,89,466,182
1758465147.099645,14374031,1,1,1,0,worker1,0.9143,391,89,466,182
1758465147.368326,14374031,2,1,1,0,worker1,0.9157,391,89,467,182
1758465147.392256,14374031,3,1,1,0,worker1,0.9157,391,89,467,182
1758465147.590962,14374031,4,1,1,0,worker1,0.9078,392,89,467,182
1758465147.606935,14374031,5,1,1,0,worker1,0.9078,392,89,467,182
1758465147.791483,14374031,6,1,1,0,worker1,0.9219,392,89,467,182
1758465147.8067892,14374031,7,1,1,0,worker1,0.9219,392,89,467,182
1758465148.341233,14374031,8,1,1,0,worker1,0.9228,392,89,468,182
1758465148.3643038,14374031,9,1,1,0,worker1,0.9228,392,89,468,182
1758465148.580946,14374031,10,1,1,0,worker1,0.9235,393,90,468,182
1758465148.597611,14374031,11,1,1,0,worker1,0.9235,394,92,466,180
1758465148.7855759,14374031,12,1,1,0,worker1,0.9178,393,90,468,182
1758465148.8009331,14374031,13,1,1,0,worker1,0.9178,393,90,468,182
1758465148.98959,14374031,14,1,1,0,worker1,0.9273,393,90,469,182
1758465149.005288,14374031,15,1,1,0,worker1,0.9273,394,92,467,180
1758465149.597164,14374031,16,1,1,0,worker1,0.9311,393,90,469,182
1758465149.614323,14374031,17,1,1,0,worker1,0.9311,393,90,469,182
1758465149.994196,14374031,18,1,1,0,worker1,0.9337,394,90,469,182
1758465150.0134451,14374031,19,1,1,0,worker1,0.9337,392,88,470,184
1758465150.4197462,14374031,20,1,1,0,worker1,0.9372,394,91,470,182
1758465150.437475,14374031,21,1,1,0,worker1,0.9372,394,91,470,182
1758465150.7527401,14374031,22,1,1,0,worker1,0.9362,394,90,470,182
1758465150.768597,14374031,23,1,1,0,worker1,0.9362,394,90,470,182
1758465151.327533,14374031,24,1,1,0,worker1,0.9354,394,90,470,182
1758465151.3450801,14374031,25,1,1,0,worker1,0.9354,395,91,470,181
1758465151.532497,14374031,26,1,1,0,worker1,0.9436,394,90,470,182
1758465151.549061,14374031,27,1,1,0,worker1,0.9436,394,90,470,182
1758465151.730797,14374031,28,1,1,0,worker1,0.9387,394,90,470,182
1758465151.7475278,14374031,29,1,1,0,worker1,0.9387,394,90,470,182
1758465151.9322271,14374031,30,1,1,0,worker1,0.9441,394,90,470,182
1758465151.9557939,14374031,31,1,1,0,worker1,0.9441,394,90,470,182
1758465152.527854,14374031,32,1,1,0,worker1,0.9441,394,90,469,183
1758465152.5467541,14374031,33,1,1,0,worker1,0.9441,394,90,469,183
1758465152.7397451,14374031,34,1,1,0,worker1,0.9467,393,90,470,182
1758465152.7622788,14374031,35,1,1,0,worker1,0.9467,393,90,470,182
1758465152.944725,14374031,36,1,1,0,worker1,0.947,393,90,469,182
1758465152.9605708,14374031,37,1,1,0,worker1,0.947,393,90,469,182
1758465153.156149,14374031,38,1,1,0,worker1,0.9466,393,90,469,183
1758465153.178823,14374031,39,1,1,0,worker1,0.9466,393,90,469,183
1758465153.747017,14374031,40,1,1,0,worker1,0.9459,393,90,469,183
