frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,323.71,397.26,720.97,1.39,1,1,0
1,25.16,0.35,25.51,39.2,1,1,0
2,266.47,0.18,266.65,3.75,1,1,0
3,22.3,0.17,22.47,44.5,1,1,0
4,197.01,0.18,197.19,5.07,1,1,0
5,14.26,0.12,14.38,69.55,1,1,0
6,183.18,0.14,183.32,5.45,1,1,0
7,13.85,0.12,13.97,71.6,1,1,0
8,185.17,348.07,533.24,1.88,1,1,0
9,21.21,0.15,21.36,46.82,1,1,0
10,215.11,0.16,215.26,4.65,1,1,0
11,15.07,0.13,15.2,65.77,1,1,0
12,186.51,0.15,186.66,5.36,1,1,0
13,13.98,0.11,14.09,70.96,1,1,0
14,187.27,0.17,187.44,5.34,1,1,0
15,14.2,0.18,14.38,69.54,1,1,0
16,196.38,394.22,590.6,1.69,1,1,0
17,15.25,0.14,15.39,64.97,1,1,0
18,377.96,0.24,378.2,2.64,1,1,0
19,17.46,0.16,17.62,56.77,1,1,0
20,403.22,0.15,403.37,2.48,1,1,0
21,16.18,0.22,16.4,60.97,1,1,0
22,313.21,0.67,313.88,3.19,1,1,0
23,14.35,0.13,14.49,69.03,1,1,0
24,193.14,364.56,557.71,1.79,1,1,0
25,15.87,0.15,16.02,62.42,1,1,0
26,185.8,0.17,185.97,5.38,1,1,0
27,15.12,0.14,15.26,65.53,1,1,0
28,180.3,0.19,180.49,5.54,1,1,0
29,15.2,0.12,15.32,65.26,1,1,0
30,183.14,0.14,183.28,5.46,1,1,0
31,22.1,0.17,22.27,44.91,1,1,0
32,218.83,351.64,570.47,1.75,1,1,0
33,16.93,0.13,17.06,58.61,1,1,0
34,191.54,0.16,191.69,5.22,1,1,0
35,21.01,0.12,21.13,47.33,1,1,0
36,180.95,0.23,181.17,5.52,1,1,0
37,14.35,0.15,14.5,68.99,1,1,0
38,194.18,0.17,194.35,5.15,1,1,0
39,21.19,0.17,21.37,46.8,1,1,0
40,196.51,370.28,566.79,1.76,1,1,0
41,20.85,0.16,21.01,47.6,1,1,0
42,190.13,0.16,190.29,5.26,1,1,0
43,14.64,0.15,14.79,67.63,1,1,0
44,202.22,0.14,202.36,4.94,1,1,0
45,19.69,0.15,19.83,50.42,1,1,0
46,252.71,0.17,252.88,3.95,1,1,0
47,17.25,0.18,17.43,57.39,1,1,0
48,234.39,712.89,947.28,1.06,1,1,0
49,23.75,0.22,23.97,41.72,1,1,0
50,330.91,0.2,331.11,3.02,1,1,0
51,15.84,0.17,16.01,62.47,1,1,0
52,719.02,0.37,719.39,1.39,1,1,0
53,15.62,0.15,15.78,63.38,1,1,0
54,631.34,0.2,631.54,1.58,1,1,0
55,18.18,0.15,18.33,54.54,1,1,0
56,420.85,405.29,826.14,1.21,1,1,0
57,16.08,0.16,16.24,61.56,1,1,0
58,271.73,0.19,271.92,3.68,1,1,0
59,22.91,0.18,23.08,43.32,1,1,0
60,290.79,0.17,290.96,3.44,1,1,0
61,14.98,0.14,15.12,66.15,1,1,0
62,195.23,0.16,195.4,5.12,1,1,0
63,16.41,0.12,16.53,60.48,1,1,0
64,329.84,408.0,737.85,1.36,1,1,0
65,21.82,0.18,22.0,45.45,1,1,0
66,358.22,0.18,358.4,2.79,1,1,0
67,23.35,0.16,23.52,42.52,1,1,0
68,417.23,0.29,417.53,2.4,1,1,0
69,16.0,0.18,16.18,61.8,1,1,0
70,355.64,0.2,355.84,2.81,1,1,0
71,16.67,0.18,16.85,59.35,1,1,0
72,321.48,370.18,691.66,1.45,1,1,0
73,17.94,0.21,18.15,55.1,1,1,0
74,297.14,0.17,297.32,3.36,1,1,0
75,18.47,0.25,18.72,53.43,1,1,0
76,230.84,0.14,230.99,4.33,1,1,0
77,15.68,0.12,15.8,63.3,1,1,0
78,226.03,0.15,226.18,4.42,1,1,0
79,16.29,0.16,16.46,60.77,1,1,0
80,302.24,351.16,653.4,1.53,1,1,0
81,15.53,0.17,15.7,63.71,1,1,0
82,258.69,0.17,258.86,3.86,1,1,0
83,20.5,0.14,20.64,48.45,1,1,0
84,198.92,0.2,199.11,5.02,1,1,0
85,21.29,0.12,21.41,46.7,1,1,0
86,192.86,0.17,193.03,5.18,1,1,0
87,16.29,0.12,16.41,60.93,1,1,0
88,299.48,363.16,662.64,1.51,1,1,0
89,16.31,0.22,16.53,60.5,1,1,0
90,357.67,0.27,357.93,2.79,1,1,0
91,22.97,0.2,23.17,43.15,1,1,0
92,366.44,0.19,366.63,2.73,1,1,0
93,22.23,0.23,22.47,44.51,1,1,0
