ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758348948.281674,1caa61d8,0,1,0,1,Unknown,0.2391,985,347,1369,864
1758348950.606508,1caa61d8,5,2,0,1,Unknown,0.2694,985,347,1369,864
1758348950.606508,1caa61d8,5,2,0,1,Unknown,0.2694,1151,306,1508,812
1758348951.5222368,1caa61d8,10,2,1,0,anish,0.5583,791,340,1175,880
1758348951.5222368,1caa61d8,10,2,1,0,anish,0.5583,1000,345,1387,873
1758348951.916991,1caa61d8,15,2,1,0,anish,0.5794,768,356,1152,896
1758348951.916991,1caa61d8,15,2,1,0,anish,0.5794,979,350,1376,883
1758348952.783707,1caa61d8,20,2,1,0,anish,0.5722,653,415,1037,955
1758348952.783707,1caa61d8,20,2,1,0,anish,0.5722,881,371,1309,921
1758348953.7024279,1caa61d8,25,3,1,0,anish,0.6002,346,531,730,1071
1758348953.7024279,1caa61d8,25,3,1,0,anish,0.6002,907,343,1339,919
1758348953.7024279,1caa61d8,25,3,1,0,anish,0.6002,554,446,1045,986
1758348954.307029,1caa61d8,30,3,1,0,anish,0.5915,514,434,898,974
1758348954.307029,1caa61d8,30,3,1,0,anish,0.5915,1013,282,1445,858
1758348954.307029,1caa61d8,30,3,1,0,anish,0.5915,783,364,1221,922
1758348955.186154,1caa61d8,35,3,1,0,anish,0.5344,1253,374,1705,902
1758348955.798808,1caa61d8,40,3,1,0,anish,0.557,1241,386,1721,926
1758348955.798808,1caa61d8,40,3,1,0,anish,0.557,1103,353,1511,885
1758348956.872611,1caa61d8,45,3,1,0,anish,0.5926,1170,368,1650,908
1758348956.872611,1caa61d8,45,3,1,0,anish,0.5926,1036,358,1432,887
1758348957.9418712,1caa61d8,50,3,1,0,anish,0.5929,1149,361,1629,901
1758348957.9418712,1caa61d8,50,3,1,0,anish,0.5929,1019,358,1419,887
1758348958.643795,1caa61d8,55,3,1,0,anish,0.5908,1141,361,1621,901
1758348958.643795,1caa61d8,55,3,1,0,anish,0.5908,1009,358,1414,891
1758348959.669533,1caa61d8,60,3,1,0,anish,0.5974,1141,358,1621,898
1758348959.669533,1caa61d8,60,3,1,0,anish,0.5974,1012,353,1415,889
1758348961.883253,1caa61d8,65,3,1,0,anish,0.6083,1087,382,1567,922
1758348961.883253,1caa61d8,65,3,1,0,anish,0.6083,942,340,1372,919
1758348963.114621,1caa61d8,70,3,1,0,anish,0.5945,1108,390,1588,930
1758348963.114621,1caa61d8,70,3,1,0,anish,0.5945,953,346,1390,926
1758348965.054402,1caa61d8,75,3,1,0,anish,0.5587,1112,363,1592,903
1758348965.054402,1caa61d8,75,3,1,0,anish,0.5587,963,332,1389,897
1758348966.428719,1caa61d8,80,3,1,0,anish,0.5645,1132,370,1612,910
1758348966.428719,1caa61d8,80,3,1,0,anish,0.5645,971,337,1399,899
1758348967.998715,1caa61d8,85,3,1,0,anish,0.5357,1176,379,1656,919
1758348967.998715,1caa61d8,85,3,1,0,anish,0.5357,1006,339,1425,905
1758348969.4586759,1caa61d8,90,3,1,0,anish,0.5391,1181,378,1661,918
1758348969.4586759,1caa61d8,90,3,1,0,anish,0.5391,1007,338,1431,898
1758348971.512426,1caa61d8,95,3,1,0,anish,0.5628,1164,380,1644,920
1758348971.512426,1caa61d8,95,3,1,0,anish,0.5628,996,336,1422,902
1758348973.3507369,1caa61d8,100,3,1,0,anish,0.5708,1142,418,1622,958
1758348973.3507369,1caa61d8,100,3,1,0,anish,0.5708,977,368,1414,934
1758348975.3881128,1caa61d8,105,3,1,0,anish,0.5422,1187,434,1667,974
1758348975.3881128,1caa61d8,105,3,1,0,anish,0.5422,995,363,1440,945
1758348976.691097,1caa61d8,110,3,1,0,anish,0.5378,1177,420,1657,960
1758348976.691097,1caa61d8,110,3,1,0,anish,0.5378,992,355,1430,931
1758348978.4045389,1caa61d8,115,3,1,0,anish,0.5481,1173,429,1653,969
1758348978.4045389,1caa61d8,115,3,1,0,anish,0.5481,987,362,1428,943
1758348979.491297,1caa61d8,120,3,1,0,anish,0.5196,1177,424,1657,964
1758348979.491297,1caa61d8,120,3,1,0,anish,0.5196,987,363,1431,936
1758348981.170447,1caa61d8,125,3,1,0,anish,0.584,912,332,1352,908
1758348981.170447,1caa61d8,125,3,1,0,anish,0.584,1128,305,1578,881
