frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,487.56,1595.08,2082.64,0.48,1,0,1
1,4.76,0.01,4.77,209.81,1,0,1
2,4.97,0.01,4.98,201.0,1,0,1
3,11.56,0.01,11.57,86.44,1,0,1
4,5.98,0.01,5.99,167.06,1,0,1
5,537.19,0.0,537.2,1.86,2,0,2
6,12.42,0.01,12.43,80.46,2,0,2
7,18.13,0.01,18.13,55.15,2,0,2
8,18.9,446.58,465.48,2.15,2,0,2
9,16.9,0.08,16.99,58.87,2,0,2
10,291.15,0.09,291.24,3.43,2,2,0
11,16.26,0.08,16.34,61.19,2,2,0
12,16.07,0.08,16.15,61.94,2,2,0
13,16.85,0.12,16.96,58.95,2,2,0
14,18.27,0.09,18.36,54.48,2,2,0
15,250.64,0.08,250.72,3.99,2,2,0
16,16.89,394.57,411.47,2.43,2,2,0
17,20.41,0.08,20.49,48.8,2,2,0
18,15.94,0.08,16.03,62.4,2,2,0
19,19.47,0.08,19.55,51.16,2,2,0
20,317.05,0.08,317.13,3.15,2,2,0
21,19.01,0.08,19.09,52.37,2,2,0
22,20.86,0.08,20.94,47.76,2,2,0
23,17.4,0.08,17.48,57.21,2,2,0
24,18.3,416.7,435.0,2.3,2,2,0
25,333.91,0.05,333.96,2.99,3,3,0
26,27.97,0.05,28.02,35.69,3,3,0
27,28.85,0.05,28.89,34.61,3,3,0
28,32.75,0.05,32.79,30.49,3,3,0
29,29.54,0.06,29.6,33.78,3,3,0
30,303.76,0.04,303.8,3.29,3,3,0
31,22.4,0.05,22.45,44.55,3,3,0
32,24.68,418.97,443.64,2.25,3,3,0
33,21.89,0.04,21.93,45.6,3,3,0
34,23.9,0.05,23.94,41.77,3,3,0
35,489.09,0.05,489.13,2.04,3,3,0
36,17.07,0.04,17.12,58.43,2,2,0
37,11.96,0.04,12.0,83.35,2,2,0
38,12.42,0.04,12.46,80.27,2,2,0
39,12.02,0.04,12.06,82.89,2,2,0
40,365.77,380.45,746.22,1.34,3,3,0
41,28.82,0.07,28.89,34.62,3,3,0
42,25.71,0.05,25.76,38.82,3,3,0
43,28.55,0.05,28.6,34.96,3,3,0
44,25.55,0.05,25.6,39.07,3,3,0
45,425.66,0.06,425.72,2.35,3,3,0
46,27.74,0.06,27.8,35.97,3,3,0
47,24.51,0.04,24.56,40.72,3,3,0
48,27.43,392.04,419.48,2.38,3,3,0
49,26.59,0.08,26.66,37.5,3,3,0
50,404.6,0.08,404.69,2.47,3,3,0
51,30.82,0.08,30.9,32.36,3,3,0
52,27.92,0.11,28.03,35.68,3,3,0
53,29.1,0.12,29.22,34.22,3,3,0
54,25.99,0.08,26.07,38.36,3,3,0
55,374.7,0.08,374.78,2.67,3,3,0
56,28.37,388.93,417.3,2.4,3,3,0
57,28.92,0.08,28.99,34.49,3,3,0
58,26.72,0.08,26.8,37.32,3,3,0
59,26.23,0.08,26.31,38.0,3,3,0
60,400.89,0.12,401.01,2.49,3,3,0
61,253.01,0.19,253.2,3.95,3,3,0
62,181.28,0.08,181.36,5.51,3,3,0
63,458.22,0.11,458.33,2.18,3,3,0
64,163.73,443.99,607.73,1.65,3,3,0
65,576.38,0.08,576.45,1.73,3,3,0
