frame_idx,class,x1,y1,x2,y2
8,NO-Mask,957,342,1438,902
8,NO-Hardhat,959,340,1441,901
16,NO-Mask,930,355,1389,938
16,NO-Hardhat,927,358,1390,937
24,NO-Hardhat,652,406,1170,979
32,NO-Mask,1045,354,1583,948
40,NO-Mask,1046,354,1544,945
48,NO-Mask,981,356,1451,947
48,NO-Hardhat,980,356,1450,946
56,NO-Mask,970,350,1431,946
56,NO-Hardhat,967,354,1433,944
64,NO-Mask,919,355,1405,954
64,NO-Hardhat,920,356,1405,955
72,NO-Hardhat,910,337,1402,952
72,NO-Mask,909,338,1402,950
80,NO-Mask,932,333,1419,950
80,NO-Hardhat,930,335,1420,952
88,NO-Hardhat,947,332,1469,956
88,NO-Mask,948,332,1469,955
96,NO-Mask,942,351,1448,960
96,NO-Hardhat,942,354,1448,960
104,NO-Mask,959,359,1494,970
104,NO-Hardhat,958,360,1494,972
112,NO-Mask,939,352,1465,970
112,NO-Hardhat,941,354,1465,967
120,NO-Hardhat,937,343,1474,968
120,NO-Mask,935,346,1476,967
