ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1757829282.5860152,1d7b2f2f,0,1,1,0,worker1,0.9171,391,89,466,182
1757829283.4792438,1d7b2f2f,5,1,1,0,worker1,0.9194,392,89,467,182
1757829284.256147,1d7b2f2f,10,1,1,0,worker1,0.9259,393,90,468,182
1757829285.0012517,1d7b2f2f,15,1,1,0,worker1,0.9211,393,90,469,182
1757829285.8259106,1d7b2f2f,20,1,1,0,worker1,0.9385,394,91,470,182
1757829286.6587524,1d7b2f2f,25,1,1,0,worker1,0.9405,394,90,470,182
1757829287.4997382,1d7b2f2f,30,1,1,0,worker1,0.9457,394,90,470,182
1757829288.2030087,1d7b2f2f,35,1,1,0,worker1,0.9477,394,90,469,182
1757829288.8187215,1d7b2f2f,40,1,1,0,worker1,0.9465,393,90,469,183
1757829289.454275,1d7b2f2f,45,1,1,0,worker1,0.9283,393,89,469,184
1757829290.0276625,1d7b2f2f,50,1,1,0,worker1,0.9379,392,88,468,185
1757829290.583039,1d7b2f2f,55,1,1,0,worker1,0.9332,392,88,468,186
1757829291.1692934,1d7b2f2f,60,1,1,0,worker1,0.9028,392,89,469,186
1757829291.7706826,1d7b2f2f,65,1,1,0,worker1,0.9253,394,89,469,186
1757829292.3547325,1d7b2f2f,70,1,1,0,worker1,0.9355,391,90,467,187
1757829292.9603584,1d7b2f2f,75,1,1,0,worker1,0.9096,390,88,466,186
1757829293.515281,1d7b2f2f,80,1,1,0,worker1,0.9203,392,88,468,186
1757829294.0755973,1d7b2f2f,85,1,1,0,worker1,0.9313,392,89,468,186
1757829294.694334,1d7b2f2f,90,1,1,0,worker1,0.9315,391,89,467,186
1757829295.2919898,1d7b2f2f,95,1,1,0,worker1,0.9297,391,89,467,187
1757829295.8800983,1d7b2f2f,100,1,1,0,worker1,0.9331,391,89,467,187
1757829296.456037,1d7b2f2f,105,1,1,0,worker1,0.9325,391,89,467,187
1757829297.0383043,1d7b2f2f,110,1,1,0,worker1,0.9319,391,89,467,187
1757829297.6314487,1d7b2f2f,115,1,1,0,worker1,0.9307,392,88,468,187
1757829298.2246628,1d7b2f2f,120,1,1,0,worker1,0.9277,392,88,468,187
1757829298.8602788,1d7b2f2f,125,1,1,0,worker1,0.9234,392,88,468,186
1757829299.4694855,1d7b2f2f,130,1,1,0,worker1,0.8814,391,88,468,186
1757829300.0318654,1d7b2f2f,135,1,1,0,worker1,0.8839,391,88,468,186
1757829300.6220376,1d7b2f2f,140,1,1,0,worker1,0.8885,391,88,468,186
1757829301.2463193,1d7b2f2f,145,1,1,0,worker1,0.8903,391,88,468,186
1757829301.7740116,1d7b2f2f,150,1,1,0,worker1,0.8887,391,88,468,186
1757829302.5888147,1d7b2f2f,155,1,1,0,worker1,0.8936,392,88,468,186
1757829303.267136,1d7b2f2f,160,1,1,0,worker1,0.886,392,88,469,186
1757829303.8784788,1d7b2f2f,165,1,1,0,worker1,0.8955,392,88,468,186
1757829304.479585,1d7b2f2f,170,1,1,0,worker1,0.8899,392,88,468,186
1757829305.248464,1d7b2f2f,175,1,1,0,worker1,0.8848,392,88,468,186
1757829306.1272438,1d7b2f2f,180,1,1,0,worker1,0.8881,392,89,468,186
