frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,378.99,122.86,501.85,1.99,1,1,0
1,96.87,0.14,97.01,10.31,1,1,0
2,84.76,0.13,84.88,11.78,1,1,0
3,89.84,0.11,89.96,11.12,1,1,0
4,85.79,0.11,85.9,11.64,1,1,0
5,399.0,0.19,399.18,2.51,1,1,0
6,98.82,0.16,98.99,10.1,1,1,0
7,89.18,0.14,89.32,11.2,1,1,0
8,90.85,39.99,130.84,7.64,1,1,0
9,88.06,0.13,88.2,11.34,1,1,0
10,354.67,0.18,354.85,2.82,1,1,0
11,96.16,0.18,96.33,10.38,1,1,0
12,90.46,0.16,90.63,11.03,1,1,0
13,93.96,0.13,94.09,10.63,1,1,0
14,87.29,0.17,87.45,11.43,1,1,0
15,361.29,0.19,361.49,2.77,1,1,0
16,99.23,46.38,145.61,6.87,1,1,0
17,92.07,0.19,92.26,10.84,1,1,0
18,95.49,0.15,95.63,10.46,1,1,0
19,87.63,0.15,87.79,11.39,1,1,0
20,386.6,0.18,386.77,2.59,1,1,0
21,101.05,0.32,101.38,9.86,1,1,0
22,84.89,0.12,85.02,11.76,1,1,0
23,90.1,0.14,90.24,11.08,1,1,0
24,86.09,41.94,128.03,7.81,1,1,0
25,414.01,0.2,414.21,2.41,1,1,0
26,78.49,0.11,78.6,12.72,1,1,0
27,60.92,0.09,61.01,16.39,1,1,0
28,67.46,0.09,67.55,14.8,1,1,0
29,60.89,0.09,60.97,16.4,1,1,0
30,562.3,0.14,562.44,1.78,1,1,0
31,81.7,0.14,81.84,12.22,1,1,0
32,73.77,30.72,104.49,9.57,1,1,0
33,83.67,0.16,83.83,11.93,1,1,0
34,82.13,0.18,82.31,12.15,1,1,0
35,338.16,0.16,338.32,2.96,1,1,0
36,72.37,0.13,72.5,13.79,1,1,0
37,66.6,0.14,66.74,14.98,1,1,0
38,75.45,0.14,75.59,13.23,1,1,0
39,67.7,0.14,67.84,14.74,1,1,0
40,319.75,25.69,345.45,2.89,1,1,0
41,72.83,0.13,72.96,13.71,1,1,0
42,65.88,0.13,66.01,15.15,1,1,0
43,76.91,0.14,77.05,12.98,1,1,0
44,66.69,0.14,66.83,14.96,1,1,0
45,316.12,0.14,316.26,3.16,1,1,0
46,68.16,0.11,68.27,14.65,1,1,0
47,59.24,0.09,59.33,16.85,1,1,0
48,62.93,24.85,87.78,11.39,1,1,0
49,61.72,0.14,61.86,16.17,1,1,0
50,286.2,0.13,286.33,3.49,1,1,0
51,67.7,0.1,67.8,14.75,1,1,0
52,62.55,0.1,62.64,15.96,1,1,0
53,64.78,0.1,64.88,15.41,1,1,0
54,61.84,0.1,61.94,16.15,1,1,0
55,288.62,0.17,288.79,3.46,1,1,0
56,72.28,24.94,97.22,10.29,1,1,0
57,60.59,0.09,60.68,16.48,1,1,0
58,63.41,0.08,63.5,15.75,1,1,0
59,60.18,0.08,60.26,16.59,1,1,0
60,295.06,0.14,295.2,3.39,1,1,0
61,67.52,0.1,67.62,14.79,1,1,0
62,59.57,0.09,59.66,16.76,1,1,0
63,63.52,0.08,63.61,15.72,1,1,0
64,60.48,25.21,85.69,11.67,1,1,0
65,315.74,0.13,315.87,3.17,1,1,0
66,67.77,0.11,67.87,14.73,1,1,0
67,60.0,0.12,60.11,16.63,1,1,0
68,67.43,0.11,67.54,14.81,1,1,0
69,61.68,0.12,61.8,16.18,1,1,0
70,316.62,0.13,316.74,3.16,1,1,0
71,71.86,0.12,71.97,13.89,1,1,0
72,64.46,25.68,90.15,11.09,1,1,0
73,69.11,0.11,69.22,14.45,1,1,0
74,66.14,0.11,66.25,15.09,1,1,0
75,297.64,0.12,297.76,3.36,1,1,0
76,68.56,0.11,68.67,14.56,1,1,0
77,62.6,0.13,62.73,15.94,1,1,0
78,67.8,0.12,67.92,14.72,1,1,0
79,63.69,0.11,63.8,15.67,1,1,0
80,281.57,25.16,306.72,3.26,1,1,0
81,68.65,0.12,68.76,14.54,1,1,0
82,62.75,0.09,62.85,15.91,1,1,0
83,63.65,0.09,63.74,15.69,1,1,0
84,60.38,0.08,60.46,16.54,1,1,0
85,270.06,0.13,270.18,3.7,1,1,0
86,68.59,0.18,68.77,14.54,1,1,0
87,61.53,0.1,61.63,16.23,1,1,0
88,64.35,25.02,89.38,11.19,1,1,0
89,64.63,0.1,64.73,15.45,1,1,0
90,324.38,0.13,324.51,3.08,1,1,0
91,70.6,0.14,70.74,14.14,1,1,0
92,65.47,0.14,65.61,15.24,1,1,0
93,68.84,0.13,68.97,14.5,1,1,0
94,65.04,0.12,65.15,15.35,1,1,0
95,316.55,0.13,316.68,3.16,1,1,0
96,69.97,25.82,95.79,10.44,1,1,0
97,66.66,0.13,66.79,14.97,1,1,0
98,69.13,0.12,69.25,14.44,1,1,0
99,62.39,0.13,62.51,16.0,1,1,0
100,283.07,0.13,283.2,3.53,1,1,0
101,67.73,0.09,67.82,14.74,1,1,0
102,59.18,0.08,59.27,16.87,1,1,0
103,62.88,0.08,62.96,15.88,1,1,0
104,60.27,25.21,85.48,11.7,1,1,0
105,291.28,0.12,291.41,3.43,1,1,0
106,67.28,0.09,67.37,14.84,1,1,0
107,59.33,0.09,59.42,16.83,1,1,0
108,67.01,0.13,67.14,14.89,1,1,0
109,66.6,0.13,66.73,14.99,1,1,0
