ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758464839.3808498,20ba4576,0,1,1,0,anish,0.4817,875,187,1252,688
1758464839.793597,20ba4576,1,1,1,0,anish,0.4817,902,196,1272,687
1758464841.074882,20ba4576,2,1,1,0,anish,0.514,891,194,1269,695
1758464841.351805,20ba4576,3,1,1,0,anish,0.514,890,195,1268,696
1758464842.190281,20ba4576,4,1,1,0,anish,0.4847,883,189,1267,702
1758464842.2959082,20ba4576,5,1,1,0,anish,0.4847,850,239,1234,752
1758464842.894946,20ba4576,6,1,1,0,anish,0.4998,843,234,1243,759
1758464842.988953,20ba4576,7,1,1,0,anish,0.4998,838,318,1230,833
1758464844.813216,20ba4576,8,1,1,0,anish,0.4596,840,286,1230,801
1758464844.9551702,20ba4576,9,1,1,0,anish,0.4596,884,261,1259,756
1758464845.632274,20ba4576,10,1,1,0,anish,0.5289,878,270,1255,766
1758464845.752104,20ba4576,11,1,1,0,anish,0.5289,876,269,1253,765
1758464846.38706,20ba4576,12,1,1,0,anish,0.5209,876,270,1248,766
1758464846.4924538,20ba4576,13,1,1,0,anish,0.5209,876,270,1248,766
1758464847.16838,20ba4576,14,1,1,0,anish,0.5358,877,268,1249,764
1758464847.306688,20ba4576,15,1,1,0,anish,0.5358,875,267,1247,763
1758464849.075304,20ba4576,16,1,1,0,anish,0.5307,872,267,1243,763
1758464849.231231,20ba4576,17,1,1,0,anish,0.5307,865,275,1243,781
1758464849.810511,20ba4576,18,1,1,0,anish,0.5027,862,270,1256,790
1758464849.9287848,20ba4576,19,1,1,0,anish,0.5027,867,271,1253,781
1758464850.4061902,20ba4576,20,1,1,0,anish,0.5148,863,265,1258,787
1758464850.548488,20ba4576,21,1,1,0,anish,0.5148,863,264,1258,786
1758464851.137471,20ba4576,22,1,1,0,anish,0.5026,863,266,1257,786
1758464851.2547562,20ba4576,23,1,1,0,anish,0.5026,863,265,1257,785
1758464852.2506418,20ba4576,24,1,1,0,anish,0.4952,864,265,1255,782
1758464852.3670511,20ba4576,25,1,1,0,anish,0.4952,863,264,1254,781
1758464853.214133,20ba4576,26,1,1,0,anish,0.5124,864,263,1255,781
1758464853.445042,20ba4576,27,1,1,0,anish,0.5124,862,263,1253,781
1758464854.064299,20ba4576,28,1,1,0,anish,0.5065,861,265,1251,781
1758464854.169119,20ba4576,29,1,1,0,anish,0.5065,863,273,1245,779
1758464854.7098188,20ba4576,30,1,1,0,anish,0.5128,859,266,1247,787
1758464854.848993,20ba4576,31,1,1,0,anish,0.5128,858,266,1246,787
1758464855.9146519,20ba4576,32,1,1,0,anish,0.5221,859,268,1245,789
1758464856.0313642,20ba4576,33,1,1,0,anish,0.5221,861,268,1247,789
1758464856.465117,20ba4576,34,1,1,0,anish,0.5149,861,270,1248,789
1758464856.552562,20ba4576,35,1,1,0,anish,0.5149,863,270,1250,789
1758464857.0584772,20ba4576,36,1,1,0,anish,0.5145,864,272,1255,791
1758464857.1752691,20ba4576,37,1,1,0,anish,0.5145,866,268,1257,787
1758464857.795726,20ba4576,38,1,1,0,anish,0.512,868,266,1257,785
1758464857.907265,20ba4576,39,1,1,0,anish,0.512,864,262,1253,781
1758464858.9397051,20ba4576,40,1,1,0,anish,0.5028,861,260,1248,782
1758464859.035958,20ba4576,41,1,1,0,anish,0.5028,862,259,1249,781
1758464859.647382,20ba4576,42,1,1,0,anish,0.5182,862,266,1249,778
1758464859.789545,20ba4576,43,1,1,0,anish,0.5182,864,264,1251,776
1758464860.319722,20ba4576,44,1,1,0,anish,0.5218,865,263,1251,777
1758464860.4813461,20ba4576,45,1,1,0,anish,0.5218,866,261,1252,775
1758464861.2718542,20ba4576,46,1,1,0,anish,0.511,866,265,1252,776
1758464861.4560819,20ba4576,47,1,1,0,anish,0.511,866,265,1252,776
1758464862.5801651,20ba4576,48,1,1,0,anish,0.5206,864,263,1252,775
1758464862.713356,20ba4576,49,1,1,0,anish,0.5206,864,262,1252,774
