frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,2444.3,11331.52,13775.82,0.07,1,1,0
1,326.68,3.26,329.94,3.03,1,1,0
2,1263.98,1.09,1265.07,0.79,1,1,0
3,225.23,0.88,226.11,4.42,1,1,0
4,815.27,1.03,816.3,1.23,1,1,0
5,82.93,0.21,83.13,12.03,1,1,0
6,585.4,0.4,585.81,1.71,1,1,0
7,79.55,0.43,79.98,12.5,1,1,0
8,1095.28,710.33,1805.62,0.55,1,1,0
9,107.91,0.38,108.28,9.24,1,1,0
10,654.55,1.12,655.67,1.53,1,1,0
11,99.46,0.29,99.75,10.03,1,1,0
12,610.17,0.68,610.85,1.64,1,1,0
13,79.17,0.69,79.86,12.52,1,1,0
14,656.8,1.07,657.87,1.52,1,1,0
15,90.03,0.67,90.7,11.03,1,1,0
16,696.72,1031.88,1728.6,0.58,1,1,0
17,99.81,0.67,100.48,9.95,1,1,0
18,566.22,0.77,566.99,1.76,1,1,0
19,80.14,0.26,80.4,12.44,1,1,0
20,461.14,0.88,462.02,2.16,1,1,0
21,102.15,0.27,102.42,9.76,1,1,0
22,559.69,0.49,560.17,1.79,1,1,0
23,74.88,0.37,75.25,13.29,1,1,0
24,482.46,488.34,970.8,1.03,1,1,0
25,87.93,0.32,88.25,11.33,1,1,0
26,832.33,1.69,834.02,1.2,1,1,0
27,195.12,0.38,195.5,5.12,1,1,0
28,584.11,0.71,584.82,1.71,1,1,0
29,83.11,0.21,83.31,12.0,1,1,0
30,528.52,0.3,528.82,1.89,1,1,0
31,99.53,1.01,100.54,9.95,1,1,0
32,558.76,476.37,1035.12,0.97,1,1,0
33,83.13,0.33,83.46,11.98,1,1,0
34,416.75,0.29,417.04,2.4,1,1,0
35,70.99,0.21,71.2,14.04,1,1,0
36,473.75,0.33,474.08,2.11,1,1,0
37,91.86,0.34,92.2,10.85,1,1,0
38,577.96,1.37,579.33,1.73,1,1,0
39,83.28,2.89,86.17,11.61,1,1,0
40,502.96,488.74,991.71,1.01,1,1,0
41,85.19,0.3,85.49,11.7,1,1,0
42,597.8,0.96,598.76,1.67,1,1,0
43,103.6,0.54,104.14,9.6,1,1,0
44,499.31,5.06,504.38,1.98,1,1,0
45,129.3,0.84,130.13,7.68,1,1,0
46,750.36,1.12,751.48,1.33,1,1,0
47,167.18,0.5,167.67,5.96,1,1,0
48,639.1,454.54,1093.64,0.91,1,1,0
49,92.68,0.27,92.95,10.76,1,1,0
