ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758465615.735463,2125c3de,2,2,1,0,anish,0.5046,939,300,1328,820
1758465615.735463,2125c3de,2,2,1,0,santosh,0.632,210,413,627,857
1758465615.92539,2125c3de,3,2,1,0,anish,0.5046,922,283,1335,835
1758465615.92539,2125c3de,3,2,1,0,santosh,0.632,169,396,578,831
1758465617.2407649,2125c3de,6,2,1,0,anish,0.544,934,300,1327,822
1758465617.2407649,2125c3de,6,2,1,0,santosh,0.6775,165,402,585,844
1758465617.43303,2125c3de,7,2,1,0,anish,0.544,935,299,1328,821
1758465617.43303,2125c3de,7,2,1,0,santosh,0.6775,166,406,586,848
1758465618.471606,2125c3de,8,2,1,0,anish,0.5377,934,300,1327,819
1758465618.471606,2125c3de,8,2,1,0,santosh,0.6285,157,408,580,852
1758465618.724104,2125c3de,9,2,1,0,anish,0.5377,932,301,1325,820
1758465618.724104,2125c3de,9,2,1,0,santosh,0.6285,149,412,564,847
1758465619.734359,2125c3de,10,2,1,0,anish,0.5224,932,301,1325,823
1758465619.734359,2125c3de,10,2,1,0,santosh,0.6635,143,407,569,849
1758465619.926518,2125c3de,11,2,1,0,anish,0.5224,933,299,1326,821
1758465619.926518,2125c3de,11,2,1,0,santosh,0.6635,122,405,548,847
1758465620.5244758,2125c3de,12,2,1,0,anish,0.5375,933,302,1326,821
1758465620.5244758,2125c3de,12,2,1,0,santosh,0.5938,122,402,544,843
1758465620.6857212,2125c3de,13,2,1,0,anish,0.5375,933,301,1326,820
1758465620.6857212,2125c3de,13,2,1,0,santosh,0.5938,80,379,486,803
1758465621.29233,2125c3de,14,2,1,0,anish,0.5427,933,297,1327,820
1758465621.29233,2125c3de,14,2,1,0,santosh,0.5218,59,343,471,814
1758465621.4414568,2125c3de,15,2,1,0,anish,0.5427,933,296,1327,819
1758465621.4414568,2125c3de,15,2,1,0,santosh,0.5218,57,343,469,814
1758465622.465823,2125c3de,16,2,1,0,anish,0.5463,934,297,1326,819
1758465622.465823,2125c3de,16,2,1,0,santosh,0.5969,57,350,469,817
1758465622.647722,2125c3de,17,2,1,0,anish,0.5463,934,296,1326,818
1758465622.647722,2125c3de,17,2,1,0,santosh,0.5969,57,353,469,820
1758465623.2396328,2125c3de,18,2,1,0,anish,0.5449,933,299,1326,820
1758465623.2396328,2125c3de,18,2,1,0,santosh,0.6739,57,349,471,821
1758465623.774855,2125c3de,19,2,1,0,anish,0.5449,932,299,1325,820
1758465623.774855,2125c3de,19,2,1,0,santosh,0.6739,58,350,472,822
1758465624.5244532,2125c3de,20,2,1,0,anish,0.5307,931,291,1326,815
1758465624.5244532,2125c3de,20,2,1,0,santosh,0.6699,56,347,474,820
1758465624.710258,2125c3de,21,2,1,0,anish,0.5307,932,287,1327,811
1758465624.710258,2125c3de,21,2,1,0,santosh,0.6699,51,330,495,832
1758465629.6690402,2125c3de,34,2,1,0,santosh,0.597,107,365,503,810
1758465629.6690402,2125c3de,34,2,1,0,anish,0.5305,938,288,1326,806
1758465629.83631,2125c3de,35,2,1,0,santosh,0.597,106,366,502,811
1758465629.83631,2125c3de,35,2,1,0,anish,0.5305,936,288,1324,806
1758465630.296758,2125c3de,36,2,1,0,santosh,0.5979,106,366,502,814
1758465630.296758,2125c3de,36,2,1,0,anish,0.5489,935,288,1324,806
1758465630.42651,2125c3de,37,2,1,0,santosh,0.5979,111,367,507,815
1758465630.42651,2125c3de,37,2,1,0,anish,0.5489,939,286,1328,804
1758465634.793566,2125c3de,50,2,1,0,santosh,0.6206,142,395,543,821
1758465634.793566,2125c3de,50,2,1,0,anish,0.5455,935,290,1323,804
1758465634.942065,2125c3de,51,2,1,0,santosh,0.6206,148,403,541,821
1758465634.942065,2125c3de,51,2,1,0,anish,0.5455,934,290,1322,804
1758465635.4503438,2125c3de,52,2,1,0,santosh,0.6633,152,401,553,829
1758465635.4503438,2125c3de,52,2,1,0,anish,0.5344,933,291,1321,805
1758465635.621964,2125c3de,53,2,1,0,santosh,0.6633,149,399,550,827
1758465635.621964,2125c3de,53,2,1,0,anish,0.5344,930,289,1326,813
1758465636.104473,2125c3de,54,2,1,0,santosh,0.6347,138,403,546,826
1758465636.104473,2125c3de,54,2,1,0,anish,0.5537,933,297,1325,811
1758465636.270903,2125c3de,55,2,1,0,santosh,0.6347,138,401,546,824
1758465636.270903,2125c3de,55,2,1,0,anish,0.5537,932,292,1324,806
