frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,223.76,572.84,796.6,1.26,0,0,0
1,0.35,0.11,0.46,2193.67,0,0,0
2,734.71,0.91,735.63,1.36,2,2,0
3,160.14,0.23,160.37,6.24,2,2,0
4,592.13,0.13,592.26,1.69,0,0,0
5,78.0,0.08,78.08,12.81,0,0,0
6,609.19,0.42,609.62,1.64,2,2,0
7,164.9,1.08,165.99,6.02,2,2,0
8,545.36,460.23,1005.59,0.99,2,2,0
9,219.43,0.42,219.84,4.55,2,2,0
10,997.76,1.32,999.07,1.0,2,2,0
11,157.65,0.41,158.06,6.33,2,2,0
12,588.31,0.29,588.6,1.7,2,2,0
13,142.45,0.41,142.85,7.0,2,2,0
14,590.38,0.28,590.66,1.69,2,2,0
15,138.35,0.3,138.66,7.21,2,2,0
16,603.28,393.59,996.86,1.0,2,2,0
17,144.02,0.34,144.36,6.93,2,2,0
18,565.52,0.74,566.26,1.77,2,2,0
19,503.16,1.26,504.42,1.98,2,2,0
20,716.64,0.78,717.42,1.39,2,2,0
21,170.23,0.46,170.7,5.86,2,2,0
22,561.59,0.11,561.7,1.78,0,0,0
23,72.99,0.19,73.18,13.67,0,0,0
24,470.59,401.59,872.18,1.15,0,0,0
25,77.48,0.08,77.55,12.89,0,0,0
26,507.63,0.09,507.72,1.97,0,0,0
27,63.65,0.08,63.73,15.69,0,0,0
28,500.67,0.19,500.85,2.0,0,0,0
29,78.53,0.1,78.63,12.72,0,0,0
30,457.35,0.1,457.45,2.19,0,0,0
31,80.24,0.08,80.32,12.45,0,0,0
32,472.94,376.26,849.2,1.18,0,0,0
33,68.51,0.1,68.61,14.58,0,0,0
34,456.7,0.61,457.31,2.19,2,2,0
35,124.2,0.52,124.72,8.02,2,2,0
36,418.75,0.31,419.07,2.39,2,2,0
37,119.01,0.46,119.47,8.37,2,2,0
38,386.92,0.09,387.0,2.58,0,0,0
39,66.2,0.09,66.3,15.08,0,0,0
40,404.15,372.1,776.25,1.29,0,0,0
41,83.07,0.11,83.18,12.02,0,0,0
42,420.21,0.11,420.32,2.38,0,0,0
43,80.59,0.12,80.71,12.39,0,0,0
44,393.05,0.09,393.15,2.54,0,0,0
45,76.62,0.08,76.7,13.04,0,0,0
46,436.59,0.08,436.67,2.29,0,0,0
47,75.0,0.12,75.11,13.31,0,0,0
48,416.21,365.24,781.45,1.28,0,0,0
49,81.45,0.08,81.53,12.27,0,0,0
50,416.47,0.61,417.08,2.4,2,2,0
51,131.99,0.48,132.47,7.55,2,2,0
52,467.96,0.32,468.27,2.14,2,2,0
53,143.58,0.44,144.02,6.94,2,2,0
54,461.63,0.64,462.27,2.16,2,2,0
55,126.41,0.41,126.82,7.89,2,2,0
