frame_idx,class,x1,y1,x2,y2
8,NO-Hardhat,878,156,1364,912
8,NO-Mask,876,156,1365,917
8,NO-Hardhat,119,395,589,893
16,NO-Hardhat,879,157,1366,928
16,NO-Hardhat,22,341,495,855
16,NO-Mask,18,341,493,855
24,NO-Hardhat,884,156,1364,957
24,NO-Mask,881,159,1367,961
24,NO-Hardhat,31,340,510,854
32,NO-Hardhat,884,154,1362,962
32,NO-Mask,881,156,1365,966
32,NO-Hardhat,49,344,507,861
32,NO-Mask,44,344,507,859
40,NO-Hardhat,884,160,1367,952
40,NO-Mask,885,161,1368,958
40,NO-Mask,68,364,515,856
40,NO-Hardhat,71,362,517,856
48,NO-Hardhat,887,160,1366,936
48,NO-Mask,122,362,564,848
48,NO-Hardhat,122,360,566,849
48,NO-Mask,885,160,1367,944
