ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758342270.68961,2734612d,0,1,1,0,worker1,0.9129,391,88,467,182
1758342272.966582,2734612d,5,1,1,0,worker1,0.85,392,89,465,182
1758342273.691561,2734612d,10,1,1,0,worker1,0.9314,393,90,468,182
1758342273.929887,2734612d,15,1,1,0,worker1,0.9223,393,90,469,182
1758342274.734066,2734612d,20,1,1,0,worker1,0.8556,395,90,468,180
1758342275.860966,2734612d,25,1,1,0,worker1,0.9311,394,90,470,182
1758342276.115804,2734612d,30,1,1,0,worker1,0.9224,394,90,469,182
1758342276.8524318,2734612d,35,1,1,0,worker1,0.8525,394,89,468,180
1758342277.089022,2734612d,40,1,1,0,worker1,0.9289,393,89,469,182
1758342277.6633432,2734612d,45,2,1,0,worker1,0.9068,393,89,469,182
1758342277.6633432,2734612d,45,2,1,0,worker1,0.9068,392,88,469,184
1758342278.251418,2734612d,50,1,1,0,worker1,0.8287,394,89,467,183
1758342278.476365,2734612d,55,1,1,0,worker1,0.9268,392,87,468,185
1758342279.014849,2734612d,60,1,1,0,worker1,0.8905,392,88,469,185
1758342279.5607638,2734612d,65,1,1,0,worker1,0.814,394,90,469,185
1758342279.764778,2734612d,70,1,1,0,worker1,0.9183,391,89,467,186
1758342280.4270542,2734612d,75,1,1,0,worker1,0.8926,390,88,466,185
1758342280.906152,2734612d,80,1,1,0,worker1,0.7955,393,88,468,184
1758342281.4800608,2734612d,85,1,1,0,worker1,0.9182,392,88,468,186
1758342282.016426,2734612d,90,1,1,0,worker1,0.9157,391,88,468,187
1758342282.222303,2734612d,95,1,1,0,worker1,0.8154,392,90,466,185
1758342282.8139148,2734612d,100,1,1,0,worker1,0.9109,391,89,467,187
1758342283.362584,2734612d,105,1,1,0,worker1,0.9093,391,89,467,187
1758342283.585508,2734612d,110,1,1,0,worker1,0.8341,392,90,466,184
1758342284.130985,2734612d,115,1,1,0,worker1,0.9064,392,88,468,187
1758342284.351033,2734612d,120,1,1,0,worker1,0.9163,392,88,468,187
1758342285.062305,2734612d,125,1,1,0,worker1,0.8247,393,88,467,184
1758342285.644547,2734612d,130,1,1,0,worker1,0.8891,391,88,468,186
1758342285.826306,2734612d,135,1,1,0,worker1,0.8854,391,87,468,186
1758342286.424363,2734612d,140,1,1,0,worker1,0.8093,392,89,466,184
1758342287.083349,2734612d,145,1,1,0,worker1,0.8896,391,88,468,186
1758342287.360662,2734612d,150,1,1,0,worker1,0.8763,391,87,468,186
1758342288.3129358,2734612d,155,1,1,0,worker1,0.7969,393,89,467,184
1758342288.527359,2734612d,160,1,1,0,worker1,0.8768,392,88,469,186
1758342289.1057642,2734612d,165,1,1,0,worker1,0.8856,392,88,468,186
1758342289.6484742,2734612d,170,1,1,0,worker1,0.8017,392,88,467,185
1758342289.8625422,2734612d,175,1,1,0,worker1,0.8699,391,88,468,186
1758342290.407348,2734612d,180,2,1,0,worker1,0.8748,391,88,468,186
1758342290.407348,2734612d,180,2,1,0,worker1,0.8748,392,89,468,186
