frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,583.99,1760.08,2344.07,0.43,1,1,0
1,0.76,0.06,0.82,1226.76,1,1,0
2,3.44,0.06,3.5,285.37,1,1,0
3,0.57,0.06,0.63,1587.55,1,1,0
4,2.01,0.3,2.32,431.6,1,1,0
5,489.98,0.06,490.04,2.04,1,1,0
6,0.46,0.06,0.51,1945.41,1,1,0
7,0.54,0.06,0.6,1657.83,1,1,0
8,0.41,493.71,494.12,2.02,1,1,0
9,0.46,0.06,0.52,1919.59,1,1,0
10,220.55,0.17,220.72,4.53,1,1,0
11,0.89,0.1,0.98,1017.05,1,1,0
12,0.67,0.06,0.73,1366.22,1,1,0
13,0.5,0.06,0.55,1811.79,1,1,0
14,0.33,0.06,0.39,2597.09,1,1,0
15,226.24,0.06,226.3,4.42,1,1,0
16,0.28,349.83,350.11,2.86,1,1,0
17,0.49,0.06,0.56,1798.59,1,1,0
18,0.37,0.06,0.43,2304.56,1,1,0
19,0.51,0.09,0.61,1647.41,1,1,0
20,444.1,0.29,444.39,2.25,1,1,0
21,1.43,0.22,1.65,605.68,1,1,0
22,0.47,0.06,0.53,1883.39,1,1,0
23,1.5,0.09,1.59,630.53,1,1,0
24,1.9,605.19,607.09,1.65,1,1,0
25,499.01,0.18,499.19,2.0,1,1,0
26,0.64,0.06,0.69,1438.87,1,1,0
27,0.31,0.06,0.38,2659.67,1,1,0
28,0.57,0.06,0.63,1580.37,1,1,0
29,0.48,0.06,0.54,1844.46,1,1,0
30,243.65,0.1,243.75,4.1,1,1,0
31,0.37,0.06,0.43,2309.64,1,1,0
32,0.41,480.39,480.8,2.08,1,1,0
33,0.63,0.06,0.69,1451.32,1,1,0
34,0.34,0.09,0.43,2341.88,1,1,0
35,245.38,0.06,245.44,4.07,1,1,0
36,0.33,0.05,0.38,2637.93,1,1,0
37,0.32,0.06,0.38,2624.72,1,1,0
38,0.4,0.06,0.45,2216.86,1,1,0
39,0.28,0.07,0.35,2866.92,1,1,0
40,228.39,354.31,582.7,1.72,1,1,0
41,0.25,0.05,0.31,3248.88,1,1,0
42,0.19,0.07,0.25,3979.42,1,1,0
43,0.23,0.05,0.28,3569.62,1,1,0
44,0.17,0.05,0.23,4424.37,1,1,0
45,210.05,0.06,210.11,4.76,2,2,0
46,0.4,0.05,0.45,2198.27,1,1,0
47,0.24,0.05,0.29,3435.14,1,1,0
48,0.25,339.92,340.17,2.94,1,1,0
49,0.38,0.05,0.43,2330.17,1,1,0
50,240.19,0.06,240.25,4.16,1,1,0
51,0.34,0.05,0.4,2519.1,1,1,0
52,0.26,0.05,0.31,3194.44,1,1,0
53,0.29,0.05,0.34,2900.63,1,1,0
54,0.35,0.05,0.4,2487.72,1,1,0
55,217.34,0.06,217.41,4.6,1,1,0
56,0.28,345.65,345.93,2.89,1,1,0
57,0.41,0.05,0.46,2168.72,1,1,0
58,0.3,0.07,0.37,2707.75,1,1,0
59,1.19,0.06,1.24,803.97,1,1,0
60,183.51,0.06,183.56,5.45,1,1,0
61,0.33,0.05,0.39,2571.61,1,1,0
62,0.25,0.05,0.3,3300.0,1,1,0
63,0.25,0.05,0.3,3323.54,1,1,0
64,0.25,335.55,335.8,2.98,1,1,0
65,202.24,0.06,202.3,4.94,1,1,0
66,0.28,0.05,0.33,3041.55,1,1,0
67,0.27,0.05,0.31,3175.1,1,1,0
68,0.26,0.05,0.31,3209.11,1,1,0
69,0.41,0.05,0.45,2207.53,1,1,0
70,196.45,0.06,196.51,5.09,1,1,0
71,0.35,0.06,0.41,2427.26,1,1,0
72,0.37,358.24,358.62,2.79,1,1,0
73,0.34,0.06,0.4,2481.84,1,1,0
74,0.3,0.05,0.35,2849.39,1,1,0
75,295.18,0.06,295.24,3.39,1,1,0
76,0.37,0.06,0.43,2325.0,1,1,0
77,0.54,0.05,0.59,1683.11,1,1,0
78,0.28,0.05,0.33,3048.19,1,1,0
79,0.34,0.06,0.4,2499.59,1,1,0
80,470.93,346.84,817.78,1.22,1,1,0
81,0.58,0.06,0.64,1555.17,1,1,0
82,0.3,0.05,0.35,2888.64,1,1,0
83,0.6,0.05,0.65,1540.89,1,1,0
84,0.3,0.05,0.35,2880.7,1,1,0
85,218.88,0.06,218.94,4.57,1,1,0
86,0.27,0.05,0.31,3175.1,1,1,0
87,0.35,0.05,0.4,2487.72,1,1,0
88,0.33,341.03,341.35,2.93,1,1,0
89,0.33,0.06,0.39,2579.52,1,1,0
90,187.7,0.06,187.77,5.33,1,1,0
91,0.33,0.06,0.39,2543.54,1,1,0
92,0.49,0.05,0.54,1838.8,1,1,0
93,0.3,0.06,0.36,2763.05,1,1,0
94,0.35,0.05,0.41,2451.38,1,1,0
95,197.14,0.09,197.23,5.07,1,1,0
96,0.3,349.51,349.8,2.86,1,1,0
97,0.36,0.05,0.41,2414.68,1,1,0
98,0.3,0.05,0.35,2833.99,1,1,0
99,0.33,0.05,0.39,2590.68,1,1,0
100,234.06,0.06,234.12,4.27,1,1,0
101,0.28,0.06,0.34,2908.67,1,1,0
102,0.41,0.05,0.46,2197.12,1,1,0
103,0.26,0.05,0.31,3258.98,1,1,0
104,0.32,346.47,346.79,2.88,1,1,0
105,194.09,0.06,194.15,5.15,1,1,0
106,0.29,0.05,0.34,2933.08,1,1,0
107,0.75,0.06,0.81,1231.45,1,1,0
108,0.35,0.05,0.4,2470.14,1,1,0
109,0.29,0.05,0.33,2993.79,1,1,0
110,214.42,0.06,214.48,4.66,1,1,0
111,0.47,0.06,0.53,1875.81,1,1,0
112,0.36,334.99,335.35,2.98,1,1,0
113,0.42,0.12,0.54,1862.48,1,1,0
114,0.39,0.07,0.46,2177.73,1,1,0
115,201.04,0.06,201.1,4.97,1,1,0
116,0.32,0.06,0.38,2666.44,1,1,0
117,0.31,0.06,0.37,2700.78,1,1,0
118,0.4,0.06,0.46,2158.67,1,1,0
119,0.29,0.06,0.35,2890.63,1,1,0
120,211.52,392.86,604.38,1.65,1,1,0
121,0.6,0.08,0.68,1466.54,1,1,0
122,0.51,0.06,0.57,1747.63,1,1,0
123,0.29,0.05,0.34,2898.62,1,1,0
124,0.49,0.06,0.55,1815.72,1,1,0
125,308.31,0.06,308.37,3.24,1,1,0
126,0.37,0.05,0.42,2371.0,1,1,0
127,0.29,0.05,0.34,2976.79,1,1,0
128,0.3,382.54,382.84,2.61,1,1,0
129,0.37,0.06,0.43,2327.58,1,1,0
130,191.1,0.06,191.15,5.23,1,1,0
131,0.31,0.05,0.36,2785.06,1,1,0
132,0.26,0.05,0.3,3300.0,1,1,0
133,0.25,0.05,0.3,3334.1,1,1,0
134,0.25,0.05,0.3,3379.78,1,1,0
135,174.55,0.06,174.61,5.73,1,1,0
136,0.36,348.74,349.1,2.86,1,1,0
137,0.42,0.06,0.48,2097.15,1,1,0
138,0.75,0.07,0.82,1220.69,1,1,0
139,0.33,0.07,0.39,2538.92,1,1,0
140,240.19,0.06,240.25,4.16,1,1,0
141,0.35,0.05,0.4,2517.59,1,1,0
142,0.3,0.05,0.36,2809.31,1,1,0
143,0.27,0.05,0.32,3134.76,1,1,0
144,0.27,378.89,379.17,2.64,1,1,0
145,271.7,0.06,271.76,3.68,1,1,0
146,0.17,0.05,0.22,4583.94,1,1,0
147,0.43,0.06,0.48,2069.22,1,1,0
148,0.27,0.06,0.33,2991.66,1,1,0
149,0.41,0.06,0.47,2149.82,1,1,0
150,268.91,0.06,268.97,3.72,1,1,0
151,0.44,0.06,0.5,1981.25,1,1,0
152,0.36,596.1,596.46,1.68,1,1,0
153,0.53,0.1,0.63,1579.18,1,1,0
154,0.32,0.06,0.38,2631.31,1,1,0
155,345.71,0.09,345.81,2.89,1,1,0
156,0.4,0.07,0.46,2158.67,1,1,0
157,0.34,0.07,0.4,2481.84,1,1,0
158,0.31,0.05,0.36,2753.98,1,1,0
159,0.46,0.05,0.51,1949.03,1,1,0
160,205.78,385.19,590.97,1.69,1,1,0
161,0.45,0.06,0.5,1987.82,1,1,0
162,0.3,0.05,0.36,2816.86,1,1,0
163,0.28,0.06,0.34,2949.58,1,1,0
164,0.74,0.05,0.8,1255.78,1,1,0
165,184.47,0.06,184.52,5.42,1,1,0
166,0.32,0.05,0.38,2659.67,1,1,0
167,0.28,0.05,0.32,3079.52,1,1,0
168,0.26,338.14,338.39,2.96,1,1,0
169,0.35,0.07,0.41,2414.68,1,1,0
170,196.63,0.06,196.69,5.08,1,1,0
171,0.3,0.05,0.35,2818.75,1,1,0
172,0.28,0.05,0.33,3066.01,1,1,0
173,0.3,0.06,0.36,2770.35,1,1,0
174,0.42,0.11,0.53,1894.45,1,1,0
175,203.69,0.06,203.75,4.91,1,1,0
176,0.17,349.18,349.35,2.86,1,1,0
177,0.28,0.1,0.39,2590.68,1,1,0
178,0.47,0.05,0.52,1915.21,1,1,0
179,0.18,0.05,0.23,4382.76,1,1,0
180,187.41,0.06,187.46,5.33,2,2,0
181,0.45,0.05,0.5,1995.39,1,1,0
182,0.25,0.05,0.3,3355.44,1,1,0
183,0.24,0.05,0.29,3435.14,1,1,0
184,0.26,359.15,359.41,2.78,1,1,0
