frame_idx,class,x1,y1,x2,y2
0,NO-Safety Vest,301,194,558,474
0,Hardhat,372,52,482,124
8,NO-Safety Vest,300,194,560,475
8,Hardhat,373,52,483,121
16,NO-Safety Vest,301,195,561,474
16,Hardhat,374,52,484,125
24,NO-Safety Vest,302,194,561,474
24,Hardhat,374,53,485,125
32,NO-Safety Vest,299,193,563,476
32,Hardhat,374,52,485,121
40,NO-Safety Vest,301,194,560,475
40,Hardhat,374,52,485,126
48,NO-Safety Vest,301,195,560,475
48,Hardhat,373,52,484,126
56,NO-Safety Vest,298,193,563,474
56,Hardhat,373,52,485,121
64,NO-Safety Vest,301,195,566,464
64,Hardhat,375,53,485,125
72,NO-Safety Vest,303,195,567,465
72,Hardhat,372,53,483,126
80,NO-Safety Vest,300,194,566,467
80,Hardhat,374,53,484,123
88,NO-Safety Vest,300,195,565,464
88,Hardhat,373,53,484,127
96,NO-Safety Vest,300,195,565,467
96,Hardhat,372,53,483,126
104,NO-Safety Vest,299,194,566,468
104,Hardhat,373,53,483,121
112,NO-Safety Vest,300,195,565,466
112,Hardhat,373,53,483,126
120,NO-Safety Vest,299,195,565,467
120,Hardhat,373,53,483,126
128,NO-Safety Vest,301,194,566,468
128,Hardhat,373,53,484,122
136,NO-Safety Vest,303,195,564,466
136,Hardhat,373,53,483,126
144,NO-Safety Vest,302,195,565,465
144,Hardhat,373,53,483,126
152,NO-Safety Vest,302,194,567,466
152,Hardhat,373,53,483,122
160,NO-Safety Vest,302,195,565,465
160,Hardhat,373,53,484,126
168,NO-Safety Vest,301,195,565,465
168,Hardhat,373,53,483,127
176,NO-Safety Vest,301,194,566,466
176,Hardhat,374,53,483,122
184,NO-Safety Vest,301,195,565,463
184,Hardhat,373,54,483,126
