ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758416782.459795,301dfcc8,0,1,1,0,worker1,0.9143,391,89,466,182
1758416782.4803572,301dfcc8,1,1,1,0,worker1,0.9143,391,89,466,182
1758416782.7366772,301dfcc8,2,1,1,0,worker1,0.9157,391,89,467,182
1758416782.7593532,301dfcc8,3,1,1,0,worker1,0.9157,391,89,467,182
1758416782.972841,301dfcc8,4,1,1,0,worker1,0.9078,392,89,467,182
1758416782.990356,301dfcc8,5,1,1,0,worker1,0.9078,392,89,467,182
1758416783.1949959,301dfcc8,6,1,1,0,worker1,0.9219,392,89,467,182
1758416783.2115579,301dfcc8,7,1,1,0,worker1,0.9219,392,89,467,182
1758416783.747284,301dfcc8,8,1,1,0,worker1,0.9228,392,89,468,182
1758416783.768925,301dfcc8,9,1,1,0,worker1,0.9228,392,89,468,182
1758416783.950188,301dfcc8,10,1,1,0,worker1,0.9235,393,90,468,182
1758416783.966437,301dfcc8,11,1,1,0,worker1,0.9235,394,92,466,180
1758416784.1449249,301dfcc8,12,1,1,0,worker1,0.9178,393,90,468,182
1758416784.160953,301dfcc8,13,1,1,0,worker1,0.9178,393,90,468,182
1758416784.339558,301dfcc8,14,1,1,0,worker1,0.9273,393,90,469,182
1758416784.3552861,301dfcc8,15,1,1,0,worker1,0.9273,394,92,467,180
1758416784.891582,301dfcc8,16,1,1,0,worker1,0.9311,393,90,469,182
1758416784.907979,301dfcc8,17,1,1,0,worker1,0.9311,393,90,469,182
1758416785.093921,301dfcc8,18,1,1,0,worker1,0.9337,394,90,469,182
1758416785.1101382,301dfcc8,19,1,1,0,worker1,0.9337,392,88,470,184
1758416785.292137,301dfcc8,20,1,1,0,worker1,0.9372,394,91,470,182
1758416785.307803,301dfcc8,21,1,1,0,worker1,0.9372,394,91,470,182
1758416785.492446,301dfcc8,22,1,1,0,worker1,0.9362,394,90,470,182
1758416785.5089269,301dfcc8,23,1,1,0,worker1,0.9362,394,90,470,182
1758416786.007251,301dfcc8,24,1,1,0,worker1,0.9354,394,90,470,182
1758416786.0232818,301dfcc8,25,1,1,0,worker1,0.9354,395,91,470,181
1758416786.2251499,301dfcc8,26,1,1,0,worker1,0.9436,394,90,470,182
1758416786.241614,301dfcc8,27,1,1,0,worker1,0.9436,394,90,470,182
1758416786.539176,301dfcc8,28,1,1,0,worker1,0.9387,394,90,470,182
1758416786.556989,301dfcc8,29,1,1,0,worker1,0.9387,394,90,470,182
1758416786.790092,301dfcc8,30,1,1,0,worker1,0.9441,394,90,470,182
1758416786.806836,301dfcc8,31,1,1,0,worker1,0.9441,394,90,470,182
1758416787.3449621,301dfcc8,32,1,1,0,worker1,0.9441,394,90,469,183
1758416787.361422,301dfcc8,33,1,1,0,worker1,0.9441,394,90,469,183
1758416787.55879,301dfcc8,34,1,1,0,worker1,0.9467,393,90,470,182
1758416787.580408,301dfcc8,35,1,1,0,worker1,0.9467,393,90,470,182
1758416787.765701,301dfcc8,36,1,1,0,worker1,0.947,393,90,469,182
1758416787.781734,301dfcc8,37,1,1,0,worker1,0.947,393,90,469,182
1758416787.964703,301dfcc8,38,1,1,0,worker1,0.9466,393,90,469,183
1758416787.9856231,301dfcc8,39,1,1,0,worker1,0.9466,393,90,469,183
1758416788.549977,301dfcc8,40,1,1,0,worker1,0.9459,393,90,469,183
1758416788.572056,301dfcc8,41,1,1,0,worker1,0.9459,393,90,469,183
1758416788.7573,301dfcc8,42,1,1,0,worker1,0.9468,393,89,469,183
1758416788.7741811,301dfcc8,43,1,1,0,worker1,0.9468,393,89,469,183
1758416788.9554718,301dfcc8,44,1,1,0,worker1,0.9403,393,89,469,183
1758416788.97311,301dfcc8,45,1,1,0,worker1,0.9403,394,91,467,181
1758416789.192218,301dfcc8,46,1,1,0,worker1,0.9361,393,88,469,185
1758416789.208628,301dfcc8,47,1,1,0,worker1,0.9361,393,88,469,185
1758416789.765281,301dfcc8,48,1,1,0,worker1,0.933,392,88,468,185
1758416789.783315,301dfcc8,49,1,1,0,worker1,0.933,392,88,468,185
1758416790.011393,301dfcc8,50,1,1,0,worker1,0.9391,392,88,468,185
1758416790.02769,301dfcc8,51,1,1,0,worker1,0.9391,392,88,468,185
1758416790.226065,301dfcc8,52,1,1,0,worker1,0.934,392,88,468,186
1758416790.24271,301dfcc8,53,1,1,0,worker1,0.934,390,85,471,189
1758416790.440691,301dfcc8,54,1,1,0,worker1,0.9376,392,88,468,186
1758416790.456671,301dfcc8,55,1,1,0,worker1,0.9376,392,88,468,186
1758416791.010985,301dfcc8,56,1,1,0,worker1,0.9256,392,88,468,186
1758416791.027609,301dfcc8,57,1,1,0,worker1,0.9256,393,89,468,185
1758416791.232594,301dfcc8,58,1,1,0,worker1,0.9186,392,89,468,185
