frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,333.25,383.35,716.6,1.4,1,1,0
1,18.53,0.36,18.89,52.94,1,1,0
2,253.26,0.17,253.43,3.95,1,1,0
3,20.96,0.18,21.15,47.29,1,1,0
4,211.77,0.19,211.97,4.72,1,1,0
5,15.83,0.19,16.02,62.44,1,1,0
6,203.05,0.17,203.21,4.92,1,1,0
7,15.04,0.15,15.18,65.86,1,1,0
8,203.25,330.99,534.23,1.87,1,1,0
9,19.92,0.14,20.06,49.85,1,1,0
10,179.85,0.17,180.02,5.55,1,1,0
11,14.75,0.15,14.9,67.09,1,1,0
12,176.98,0.17,177.15,5.64,1,1,0
13,14.53,0.14,14.67,68.14,1,1,0
14,177.23,0.15,177.38,5.64,1,1,0
15,14.31,0.12,14.43,69.3,1,1,0
16,204.69,330.37,535.05,1.87,1,1,0
17,14.84,0.15,14.99,66.71,1,1,0
18,184.5,0.19,184.68,5.41,1,1,0
19,14.74,0.13,14.87,67.26,1,1,0
20,180.38,0.16,180.54,5.54,1,1,0
21,14.19,0.13,14.32,69.85,1,1,0
22,183.16,0.17,183.33,5.45,1,1,0
23,14.97,0.14,15.1,66.22,1,1,0
24,177.75,319.34,497.08,2.01,1,1,0
25,14.42,0.14,14.55,68.71,1,1,0
26,200.48,0.16,200.64,4.98,1,1,0
27,14.97,0.14,15.1,66.21,1,1,0
28,296.15,0.2,296.35,3.37,1,1,0
29,16.11,0.19,16.3,61.34,1,1,0
30,231.25,0.17,231.42,4.32,1,1,0
31,15.22,0.14,15.36,65.1,1,1,0
32,185.14,351.73,536.87,1.86,1,1,0
33,14.9,0.14,15.04,66.48,1,1,0
34,195.61,0.18,195.8,5.11,1,1,0
35,20.05,0.13,20.19,49.54,1,1,0
36,183.87,0.16,184.04,5.43,1,1,0
37,14.6,0.17,14.77,67.72,1,1,0
38,181.62,0.17,181.79,5.5,1,1,0
39,19.42,0.14,19.56,51.12,1,1,0
40,219.04,344.0,563.03,1.78,1,1,0
41,20.17,0.14,20.31,49.23,1,1,0
42,183.77,0.18,183.95,5.44,1,1,0
43,15.26,0.2,15.46,64.67,1,1,0
44,179.7,0.16,179.87,5.56,1,1,0
45,15.94,0.2,16.13,61.98,1,1,0
46,217.57,0.15,217.72,4.59,1,1,0
47,14.96,0.15,15.11,66.19,1,1,0
48,195.95,359.47,555.42,1.8,1,1,0
49,16.13,0.17,16.3,61.36,1,1,0
50,226.56,0.16,226.72,4.41,1,1,0
51,14.76,0.13,14.9,67.12,1,1,0
52,196.95,0.15,197.11,5.07,1,1,0
53,15.11,0.16,15.27,65.5,1,1,0
54,196.5,0.15,196.65,5.09,1,1,0
55,14.58,0.13,14.71,67.99,1,1,0
56,214.8,338.31,553.11,1.81,1,1,0
57,15.08,0.13,15.21,65.75,1,1,0
58,203.48,0.17,203.65,4.91,1,1,0
59,19.97,0.14,20.11,49.72,1,1,0
60,186.56,0.17,186.72,5.36,1,1,0
61,14.95,0.13,15.08,66.33,1,1,0
62,176.76,0.15,176.91,5.65,1,1,0
63,14.79,0.14,14.93,66.98,1,1,0
64,186.77,330.51,517.28,1.93,1,1,0
65,20.92,0.15,21.07,47.46,1,1,0
66,200.26,0.17,200.42,4.99,1,1,0
67,22.49,0.18,22.67,44.12,1,1,0
68,200.59,0.16,200.75,4.98,1,1,0
69,14.78,0.12,14.9,67.12,1,1,0
70,206.58,0.17,206.75,4.84,1,1,0
71,14.87,0.13,15.0,66.67,1,1,0
72,210.07,337.05,547.12,1.83,1,1,0
73,15.89,0.15,16.04,62.33,1,1,0
74,207.79,0.15,207.95,4.81,1,1,0
75,16.72,0.2,16.91,59.12,1,1,0
76,221.23,0.15,221.37,4.52,1,1,0
77,14.78,0.15,14.93,67.0,1,1,0
78,214.22,0.14,214.36,4.66,1,1,0
79,14.72,0.13,14.85,67.34,1,1,0
80,207.41,334.32,541.73,1.85,1,1,0
81,15.57,0.17,15.74,63.53,1,1,0
82,229.59,0.18,229.77,4.35,1,1,0
83,20.13,0.16,20.29,49.28,1,1,0
84,230.94,0.16,231.11,4.33,1,1,0
85,21.9,0.15,22.04,45.37,1,1,0
86,215.16,0.16,215.33,4.64,1,1,0
87,15.17,0.12,15.3,65.38,1,1,0
88,200.63,332.25,532.88,1.88,1,1,0
89,14.91,0.14,15.05,66.43,1,1,0
90,204.97,0.39,205.36,4.87,1,1,0
91,20.71,0.19,20.89,47.87,1,1,0
92,204.93,0.17,205.11,4.88,1,1,0
93,22.01,0.21,22.22,45.01,1,1,0
94,263.58,0.49,264.07,3.79,1,1,0
95,33.75,0.31,34.06,29.36,1,1,0
96,230.81,769.89,1000.7,1.0,1,1,0
97,19.57,0.17,19.74,50.66,1,1,0
98,578.54,0.17,578.71,1.73,1,1,0
99,17.95,0.28,18.23,54.85,1,1,0
100,303.25,0.17,303.43,3.3,1,1,0
101,16.3,0.16,16.47,60.73,1,1,0
102,213.6,0.17,213.76,4.68,1,1,0
103,15.57,0.17,15.74,63.55,1,1,0
104,203.55,365.57,569.12,1.76,1,1,0
105,16.24,0.16,16.4,60.96,1,1,0
106,214.03,0.17,214.2,4.67,1,1,0
107,24.37,0.18,24.55,40.73,1,1,0
108,221.28,0.18,221.46,4.52,1,1,0
109,16.27,0.17,16.44,60.81,1,1,0
110,201.3,0.18,201.48,4.96,1,1,0
111,22.3,0.17,22.47,44.5,1,1,0
112,209.94,358.24,568.18,1.76,1,1,0
113,22.42,0.19,22.61,44.23,1,1,0
114,186.05,0.15,186.2,5.37,1,1,0
115,20.05,0.13,20.18,49.55,1,1,0
116,238.73,0.18,238.91,4.19,1,1,0
117,22.11,0.16,22.28,44.89,1,1,0
118,205.7,0.16,205.86,4.86,1,1,0
119,21.42,0.13,21.55,46.4,1,1,0
120,201.95,327.58,529.53,1.89,1,1,0
121,22.29,0.2,22.5,44.45,1,1,0
122,217.25,0.16,217.41,4.6,1,1,0
123,15.75,0.15,15.91,62.87,1,1,0
124,199.91,0.15,200.06,5.0,1,1,0
125,15.42,0.13,15.55,64.32,1,1,0
126,208.88,0.16,209.05,4.78,1,1,0
127,16.47,0.17,16.64,60.08,1,1,0
128,197.91,360.5,558.41,1.79,1,1,0
129,15.6,0.18,15.78,63.38,1,1,0
130,214.49,0.17,214.66,4.66,1,1,0
131,21.55,0.23,21.77,45.93,1,1,0
132,215.44,0.17,215.61,4.64,1,1,0
133,20.62,0.16,20.77,48.14,1,1,0
134,228.78,0.17,228.95,4.37,1,1,0
135,20.99,0.16,21.15,47.27,1,1,0
136,220.63,339.1,559.74,1.79,1,1,0
137,21.77,0.17,21.94,45.57,1,1,0
138,207.23,0.17,207.4,4.82,1,1,0
139,20.81,0.17,20.98,47.67,1,1,0
140,200.18,0.18,200.36,4.99,1,1,0
141,21.13,0.16,21.3,46.95,1,1,0
142,210.78,0.16,210.95,4.74,1,1,0
143,21.17,0.2,21.37,46.8,1,1,0
144,189.26,351.63,540.89,1.85,1,1,0
145,21.27,0.17,21.44,46.64,1,1,0
146,203.25,0.16,203.42,4.92,1,1,0
147,21.55,0.19,21.75,45.99,1,1,0
148,191.19,0.19,191.39,5.23,1,1,0
149,20.75,0.19,20.94,47.76,1,1,0
150,189.08,0.15,189.23,5.28,1,1,0
151,21.11,0.15,21.25,47.05,1,1,0
152,186.91,330.33,517.24,1.93,1,1,0
153,16.71,0.18,16.89,59.22,1,1,0
154,185.71,0.41,186.12,5.37,1,1,0
155,14.87,0.13,15.0,66.66,1,1,0
156,209.42,0.16,209.58,4.77,1,1,0
157,21.08,0.16,21.24,47.08,1,1,0
158,202.48,0.22,202.69,4.93,1,1,0
159,20.79,0.18,20.96,47.7,1,1,0
160,382.32,399.48,781.79,1.28,1,1,0
161,21.29,0.16,21.45,46.62,1,1,0
162,341.62,0.18,341.8,2.93,1,1,0
163,22.31,0.2,22.51,44.42,1,1,0
164,248.83,0.9,249.73,4.0,1,1,0
165,44.28,0.28,44.56,22.44,1,1,0
166,372.62,0.2,372.82,2.68,1,1,0
167,16.33,0.22,16.55,60.43,1,1,0
168,203.39,391.78,595.17,1.68,1,1,0
169,16.72,0.15,16.87,59.28,1,1,0
170,221.43,0.17,221.6,4.51,1,1,0
171,16.52,0.17,16.68,59.94,1,1,0
172,215.59,0.17,215.76,4.63,1,1,0
173,16.4,0.16,16.57,60.37,1,1,0
174,216.76,0.17,216.92,4.61,1,1,0
175,16.44,0.17,16.61,60.2,1,1,0
176,198.45,336.48,534.93,1.87,1,1,0
177,16.34,0.19,16.53,60.51,1,1,0
178,196.31,0.17,196.48,5.09,1,1,0
179,15.7,0.15,15.85,63.08,1,1,0
180,220.32,0.17,220.49,4.54,1,1,0
181,17.05,0.2,17.25,57.98,1,1,0
182,201.36,0.17,201.53,4.96,1,1,0
183,16.55,0.15,16.7,59.88,1,1,0
184,192.9,363.07,555.97,1.8,1,1,0
