ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758345048.97616,308bbe63,0,1,0,1,Unknown,0.3167,878,232,1322,827
1758345050.704336,308bbe63,5,1,1,0,anish,0.5434,874,274,1299,842
1758345051.89204,308bbe63,10,1,1,0,anish,0.5208,879,282,1304,841
1758345052.391242,308bbe63,15,1,1,0,anish,0.5254,910,288,1330,852
1758345053.28082,308bbe63,20,2,1,0,anish,0.5222,892,290,1324,866
1758345053.28082,308bbe63,20,2,1,0,anish,0.5222,1101,286,1568,874
1758345054.2349749,308bbe63,25,2,1,0,anish,0.5287,934,270,1379,860
1758345054.2349749,308bbe63,25,2,1,0,anish,0.5287,1120,261,1600,861
1758345054.7082481,308bbe63,30,2,1,0,anish,0.5566,999,214,1449,814
1758345054.7082481,308bbe63,30,2,1,0,anish,0.5566,783,282,1259,878
1758345055.55762,308bbe63,35,2,1,0,anish,0.4698,993,197,1443,797
1758345055.55762,308bbe63,35,2,1,0,anish,0.4698,762,289,1260,878
1758345056.016535,308bbe63,40,2,1,0,anish,0.4366,1044,200,1494,800
1758345056.016535,308bbe63,40,2,1,0,anish,0.4366,805,276,1288,864
1758345056.938884,308bbe63,45,2,1,0,anish,0.5281,1058,227,1508,827
1758345056.938884,308bbe63,45,2,1,0,anish,0.5281,821,272,1281,871
1758345057.916375,308bbe63,50,3,1,0,anish,0.5751,961,228,1411,828
1758345057.916375,308bbe63,50,3,1,0,anish,0.5751,760,241,1240,841
1758345057.916375,308bbe63,50,3,1,0,anish,0.5751,574,356,1073,932
1758345058.4854589,308bbe63,55,3,1,0,anish,0.5108,1184,216,1634,816
1758345058.4854589,308bbe63,55,3,1,0,anish,0.5108,933,267,1364,844
1758345058.4854589,308bbe63,55,3,1,0,anish,0.5108,746,316,1246,892
1758345059.505329,308bbe63,60,3,1,0,anish,0.5214,1142,301,1604,852
1758345059.505329,308bbe63,60,3,1,0,anish,0.5214,954,238,1386,838
1758345059.505329,308bbe63,60,3,1,0,anish,0.5214,703,313,1203,889
1758345060.4533398,308bbe63,65,3,1,0,anish,0.5345,1093,275,1545,842
1758345060.4533398,308bbe63,65,3,1,0,anish,0.5345,888,243,1320,843
1758345060.4533398,308bbe63,65,3,1,0,anish,0.5345,703,313,1203,889
1758345061.0616908,308bbe63,70,3,1,0,anish,0.5618,1049,272,1495,842
1758345061.0616908,308bbe63,70,3,1,0,anish,0.5618,825,255,1257,855
1758345061.0616908,308bbe63,70,3,1,0,anish,0.5618,703,313,1203,889
1758345062.0450208,308bbe63,75,3,1,0,anish,0.5548,1018,268,1452,842
1758345062.0450208,308bbe63,75,3,1,0,anish,0.5548,784,266,1216,866
1758345062.0450208,308bbe63,75,3,1,0,anish,0.5548,703,313,1203,889
1758345062.650016,308bbe63,80,3,1,0,anish,0.535,966,269,1399,843
1758345062.650016,308bbe63,80,3,1,0,anish,0.535,717,285,1149,885
1758345062.650016,308bbe63,80,3,1,0,anish,0.535,703,313,1203,889
1758345063.6598651,308bbe63,85,3,1,0,anish,0.5662,1025,246,1475,822
1758345063.6598651,308bbe63,85,3,1,0,anish,0.5662,569,340,1001,940
1758345063.6598651,308bbe63,85,3,1,0,anish,0.5662,818,277,1278,871
1758345064.589518,308bbe63,90,3,1,0,anish,0.5508,1032,246,1482,822
1758345064.589518,308bbe63,90,3,1,0,anish,0.5508,570,340,1002,940
1758345064.589518,308bbe63,90,3,1,0,anish,0.5508,829,276,1283,869
1758345065.165366,308bbe63,95,3,1,0,anish,0.544,1036,246,1486,822
1758345065.165366,308bbe63,95,3,1,0,anish,0.544,570,340,1002,940
1758345065.165366,308bbe63,95,3,1,0,anish,0.544,835,273,1285,868
1758345066.144692,308bbe63,100,3,1,0,anish,0.5619,1041,247,1491,823
1758345066.144692,308bbe63,100,3,1,0,anish,0.5619,570,340,1002,940
1758345066.144692,308bbe63,100,3,1,0,anish,0.5619,839,276,1294,861
1758345067.094097,308bbe63,105,3,1,0,anish,0.5115,1047,247,1497,823
1758345067.094097,308bbe63,105,3,1,0,anish,0.5115,570,340,1002,940
1758345067.094097,308bbe63,105,3,1,0,anish,0.5115,847,268,1306,859
