frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,1191.92,935.58,2127.5,0.47,1,0,1
1,10.64,0.01,10.65,93.91,1,0,1
2,24.58,0.01,24.59,40.67,1,0,1
3,13.62,0.01,13.63,73.36,1,0,1
4,11.0,0.0,11.01,90.86,1,0,1
5,608.17,0.02,608.19,1.64,1,1,0
6,9.63,0.01,9.63,103.81,1,1,0
7,10.78,0.01,10.79,92.69,1,1,0
8,34.52,557.42,591.93,1.69,1,1,0
9,70.22,0.13,70.35,14.21,1,1,0
10,392.42,0.1,392.51,2.55,1,1,0
11,9.28,0.09,9.37,106.76,1,1,0
12,9.97,0.09,10.06,99.45,1,1,0
13,12.53,0.09,12.61,79.28,1,1,0
14,29.85,0.08,29.94,33.4,1,1,0
15,324.31,0.11,324.42,3.08,1,1,0
16,13.83,396.33,410.16,2.44,1,1,0
17,18.35,0.05,18.4,54.36,1,1,0
18,9.4,0.04,9.44,105.9,1,1,0
19,11.63,0.07,11.69,85.51,1,1,0
20,316.46,0.05,316.51,3.16,2,2,0
21,22.32,0.05,22.37,44.7,2,2,0
22,22.6,0.09,22.69,44.07,2,2,0
23,31.65,0.06,31.71,31.54,2,2,0
24,21.46,398.55,420.01,2.38,2,2,0
25,367.41,0.09,367.5,2.72,2,2,0
26,20.89,0.08,20.97,47.69,2,2,0
27,22.7,0.09,22.78,43.89,2,2,0
28,21.14,0.09,21.23,47.1,2,2,0
29,21.02,0.09,21.11,47.37,2,2,0
30,308.93,0.09,309.02,3.24,2,2,0
31,20.07,0.08,20.15,49.62,2,2,0
32,20.59,387.66,408.24,2.45,2,2,0
33,21.75,0.05,21.8,45.87,2,2,0
34,19.88,0.07,19.95,50.13,2,2,0
35,291.05,0.04,291.09,3.44,2,2,0
36,21.37,0.05,21.43,46.67,2,2,0
37,20.39,0.06,20.44,48.91,2,2,0
38,22.9,0.06,22.95,43.57,2,2,0
39,20.84,0.05,20.88,47.88,2,2,0
40,313.09,398.44,711.53,1.41,2,2,0
41,23.86,0.09,23.95,41.76,2,2,0
42,21.13,0.09,21.21,47.14,2,2,0
43,22.8,0.1,22.9,43.67,2,2,0
44,21.64,0.12,21.76,45.96,2,2,0
45,303.7,0.08,303.78,3.29,2,2,0
46,19.76,0.08,19.84,50.39,2,2,0
47,19.31,0.11,19.42,51.49,2,2,0
48,20.02,478.25,498.27,2.01,2,2,0
49,21.58,0.05,21.64,46.22,2,2,0
50,315.05,0.04,315.09,3.17,3,3,0
51,28.66,0.05,28.71,34.83,3,3,0
52,34.68,0.05,34.73,28.8,3,3,0
53,33.95,0.05,34.0,29.41,3,3,0
54,29.17,0.05,29.21,34.23,3,3,0
55,283.77,0.05,283.82,3.52,3,3,0
56,37.75,419.03,456.78,2.19,3,3,0
57,29.68,0.06,29.74,33.62,3,3,0
58,28.84,0.05,28.89,34.61,3,3,0
59,28.87,0.06,28.93,34.57,3,3,0
60,337.3,0.05,337.36,2.96,3,3,0
61,29.68,0.05,29.73,33.63,3,3,0
62,28.57,0.05,28.62,34.94,3,3,0
63,27.57,0.05,27.62,36.21,3,3,0
64,30.66,356.51,387.17,2.58,3,3,0
65,315.96,0.12,316.08,3.16,3,3,0
66,25.6,0.09,25.69,38.93,3,3,0
67,35.72,0.08,35.81,27.93,3,3,0
68,28.53,0.08,28.61,34.95,3,3,0
69,29.74,0.1,29.83,33.52,3,3,0
70,325.73,0.08,325.81,3.07,3,3,0
71,27.3,0.11,27.41,36.48,3,3,0
72,30.36,384.69,415.05,2.41,3,3,0
73,32.71,0.16,32.87,30.42,3,3,0
74,27.59,0.09,27.67,36.14,3,3,0
75,309.77,0.08,309.85,3.23,3,3,0
76,30.06,0.12,30.17,33.14,3,3,0
77,26.84,0.08,26.92,37.14,3,3,0
78,39.39,0.08,39.48,25.33,3,3,0
79,31.24,0.09,31.33,31.92,3,3,0
80,312.7,380.12,692.82,1.44,3,3,0
81,32.78,0.09,32.87,30.42,3,3,0
82,28.16,0.08,28.25,35.4,3,3,0
83,27.76,0.12,27.88,35.87,3,3,0
84,28.3,0.08,28.39,35.23,3,3,0
85,321.5,0.08,321.59,3.11,3,3,0
86,28.55,0.09,28.64,34.92,3,3,0
87,28.27,0.09,28.37,35.25,3,3,0
88,31.22,373.65,404.87,2.47,3,3,0
89,32.03,0.16,32.19,31.07,3,3,0
90,284.3,0.05,284.35,3.52,3,3,0
91,31.62,0.05,31.67,31.58,3,3,0
92,27.36,0.05,27.41,36.48,3,3,0
93,25.23,0.05,25.28,39.56,3,3,0
94,24.2,0.05,24.24,41.25,3,3,0
95,291.56,0.05,291.61,3.43,3,3,0
96,26.88,375.0,401.88,2.49,3,3,0
97,29.45,0.07,29.52,33.88,3,3,0
98,24.93,0.05,24.98,40.04,3,3,0
99,27.68,0.06,27.75,36.04,3,3,0
100,304.81,0.05,304.86,3.28,3,3,0
101,27.24,0.05,27.29,36.64,3,3,0
102,27.99,0.05,28.05,35.66,3,3,0
103,30.59,0.07,30.66,32.62,3,3,0
104,31.11,375.3,406.42,2.46,3,3,0
105,288.63,0.05,288.68,3.46,3,3,0
106,28.04,0.05,28.09,35.6,3,3,0
107,28.67,0.05,28.71,34.83,3,3,0
108,28.52,0.05,28.56,35.01,3,3,0
109,28.09,0.07,28.16,35.51,3,3,0
110,332.32,0.08,332.4,3.01,3,3,0
111,28.04,0.05,28.09,35.6,3,3,0
112,30.46,371.7,402.17,2.49,3,3,0
113,31.28,0.05,31.34,31.91,3,3,0
114,32.57,0.05,32.62,30.65,3,3,0
115,311.3,0.05,311.35,3.21,3,3,0
116,32.28,0.06,32.34,30.92,3,3,0
117,29.0,0.05,29.05,34.42,3,3,0
118,30.31,0.05,30.36,32.94,3,3,0
119,30.26,0.05,30.31,32.99,3,3,0
120,302.24,380.06,682.3,1.47,3,3,0
121,31.97,0.09,32.06,31.19,3,3,0
122,32.37,0.05,32.42,30.84,3,3,0
123,31.25,0.06,31.31,31.94,3,3,0
124,25.7,0.05,25.75,38.84,3,3,0
125,331.08,0.05,331.13,3.02,3,3,0
126,26.81,0.05,26.86,37.24,3,3,0
127,35.83,0.05,35.87,27.88,3,3,0
128,30.05,381.74,411.79,2.43,3,3,0
129,31.85,0.06,31.91,31.33,3,3,0
130,304.19,0.05,304.24,3.29,3,0,3
131,27.92,0.05,27.97,35.75,3,0,3
132,28.22,0.07,28.3,35.34,3,0,3
133,32.42,0.06,32.47,30.79,3,0,3
134,30.24,0.08,30.32,32.98,3,0,3
135,334.2,0.05,334.25,2.99,3,0,3
136,25.17,418.28,443.44,2.26,3,0,3
137,28.26,0.05,28.31,35.32,3,0,3
138,28.02,0.05,28.07,35.62,3,0,3
139,30.84,0.1,30.93,32.33,3,0,3
140,339.18,0.05,339.22,2.95,3,0,3
141,26.82,0.05,26.87,37.21,3,0,3
142,27.86,0.05,27.91,35.83,3,0,3
143,28.67,0.06,28.73,34.8,3,0,3
144,25.32,420.47,445.79,2.24,3,0,3
145,344.48,0.0,344.49,2.9,3,0,3
146,29.41,0.01,29.41,34.0,3,0,3
147,30.25,0.01,30.25,33.05,3,0,3
148,28.35,0.01,28.36,35.26,3,0,3
149,28.84,0.01,28.85,34.67,3,0,3
150,321.54,0.0,321.54,3.11,3,3,0
151,29.57,0.01,29.58,33.81,3,3,0
152,37.85,368.2,406.05,2.46,3,3,0
153,28.64,0.09,28.74,34.8,3,3,0
154,24.81,0.09,24.9,40.16,3,3,0
155,281.65,0.08,281.73,3.55,3,3,0
156,30.01,0.09,30.1,33.22,3,3,0
157,28.81,0.09,28.89,34.61,3,3,0
158,25.52,0.09,25.61,39.05,3,3,0
159,27.64,0.11,27.75,36.03,3,3,0
160,266.98,353.29,620.28,1.61,3,0,3
161,27.63,0.07,27.7,36.11,3,0,3
162,26.53,0.05,26.58,37.63,3,0,3
163,26.43,0.05,26.47,37.78,3,0,3
164,37.19,0.05,37.24,26.85,3,0,3
165,351.16,0.05,351.21,2.85,3,0,3
166,27.38,0.05,27.43,36.45,3,0,3
167,27.44,0.05,27.5,36.37,3,0,3
168,27.23,416.46,443.68,2.25,3,0,3
169,29.44,0.05,29.49,33.91,3,0,3
170,356.27,0.05,356.31,2.81,3,0,3
171,26.4,0.06,26.46,37.8,3,0,3
172,29.9,0.05,29.95,33.39,3,0,3
173,28.17,0.05,28.22,35.43,3,0,3
174,27.04,0.05,27.09,36.91,3,0,3
175,325.57,0.05,325.62,3.07,3,0,3
176,30.07,423.19,453.25,2.21,3,0,3
177,30.61,0.09,30.7,32.58,3,0,3
178,27.58,0.08,27.67,36.14,3,0,3
179,26.82,0.09,26.91,37.16,3,0,3
180,293.51,0.08,293.6,3.41,3,3,0
181,27.93,0.1,28.03,35.67,3,3,0
182,30.95,0.09,31.04,32.21,3,3,0
183,26.88,0.1,26.98,37.07,3,3,0
184,28.14,368.18,396.32,2.52,3,3,0
185,491.18,0.05,491.22,2.04,3,3,0
186,28.58,0.06,28.64,34.92,3,3,0
187,29.6,0.06,29.66,33.72,3,3,0
188,33.54,0.06,33.6,29.76,3,3,0
189,28.42,0.05,28.47,35.13,3,3,0
