frame_idx,class,x1,y1,x2,y2
8,NO-Hardhat,826,269,1325,944
8,NO-Mask,827,270,1325,947
16,NO-Hardhat,861,281,1379,907
24,NO-Mask,1006,275,1583,913
24,NO-Hardhat,1007,274,1583,909
32,NO-Hardhat,730,285,1262,899
40,NO-Hardhat,785,258,1312,900
40,NO-Mask,787,255,1316,900
48,NO-Hardhat,691,280,1250,911
56,NO-Mask,1031,267,1629,913
64,NO-Hardhat,1037,264,1648,916
64,NO-Mask,1034,269,1648,913
72,NO-Mask,970,259,1498,953
72,NO-Hardhat,971,260,1497,953
80,NO-Mask,920,262,1433,944
80,NO-Hardhat,921,262,1433,944
88,NO-Hardhat,792,270,1340,904
96,NO-Hardhat,797,265,1344,909
104,NO-Hardhat,812,271,1342,913
112,NO-Hardhat,813,277,1346,908
120,NO-Hardhat,820,274,1347,905
128,NO-Hardhat,816,273,1348,915
136,NO-Hardhat,888,280,1390,937
152,NO-Hardhat,883,276,1394,951
152,NO-Mask,883,272,1394,951
160,NO-Hardhat,890,284,1391,948
168,NO-Hardhat,892,282,1395,948
176,NO-Hardhat,888,272,1397,950
176,NO-Mask,888,271,1397,945
184,NO-Hardhat,890,273,1398,920
192,NO-Hardhat,878,266,1387,951
192,NO-Mask,877,267,1388,945
200,NO-Hardhat,875,266,1386,946
208,NO-Hardhat,890,273,1392,937
216,NO-Hardhat,874,265,1386,956
216,NO-Mask,874,265,1386,950
224,NO-Hardhat,873,267,1384,951
224,NO-Mask,873,267,1385,946
232,NO-Hardhat,884,285,1401,951
240,NO-Hardhat,869,270,1381,949
240,NO-Mask,871,266,1379,946
248,NO-Hardhat,860,259,1359,941
248,NO-Mask,863,256,1360,934
256,NO-Hardhat,864,262,1369,895
256,NO-Mask,866,261,1368,892
264,NO-Hardhat,877,268,1382,935
272,NO-Hardhat,877,270,1379,937
280,NO-Mask,878,256,1374,898
280,NO-Hardhat,880,256,1372,900
288,NO-Mask,895,261,1385,918
288,NO-Hardhat,895,263,1383,916
