ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758352559.8735502,33d21718,5,1,1,0,anish,0.556,951,189,1393,784
1758352560.7970948,33d21718,10,2,1,0,anish,0.552,898,200,1348,800
1758352560.7970948,33d21718,10,2,1,0,anish,0.552,1101,217,1566,800
1758352561.2417011,33d21718,15,3,1,0,anish,0.5795,994,204,1444,804
1758352561.2417011,33d21718,15,3,1,0,anish,0.5795,954,181,1434,781
1758352561.2417011,33d21718,15,3,1,0,anish,0.5795,1173,247,1665,819
1758352562.2843258,33d21718,20,3,1,0,anish,0.5374,902,218,1356,807
1758352562.2843258,33d21718,20,3,1,0,anish,0.5374,840,253,1320,853
1758352562.2843258,33d21718,20,3,1,0,anish,0.5374,1072,242,1572,818
1758352563.676712,33d21718,25,3,1,0,anish,0.5625,901,213,1360,811
1758352563.676712,33d21718,25,3,1,0,anish,0.5625,846,252,1326,852
1758352563.676712,33d21718,25,3,1,0,anish,0.5625,1082,241,1582,817
1758352564.3439941,33d21718,30,3,1,0,anish,0.5448,905,174,1370,803
1758352564.3439941,33d21718,30,3,1,0,anish,0.5448,848,221,1328,821
1758352564.3439941,33d21718,30,3,1,0,anish,0.5448,1087,220,1587,796
1758352565.388851,33d21718,35,3,1,0,anish,0.5647,901,183,1360,802
1758352565.388851,33d21718,35,3,1,0,anish,0.5647,843,227,1323,827
1758352565.388851,33d21718,35,3,1,0,anish,0.5647,1082,224,1582,800
1758352565.966309,33d21718,40,3,1,0,anish,0.5634,897,179,1355,803
1758352565.966309,33d21718,40,3,1,0,anish,0.5634,839,225,1319,825
1758352565.966309,33d21718,40,3,1,0,anish,0.5634,1078,222,1578,798
1758352567.0435562,33d21718,45,3,1,0,anish,0.5933,900,182,1356,802
1758352567.0435562,33d21718,45,3,1,0,anish,0.5933,840,226,1320,826
1758352567.0435562,33d21718,45,3,1,0,anish,0.5933,1078,222,1578,798
