frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,191.52,1555.99,1747.51,0.57,0,0,0
1,0.73,0.01,0.74,1355.19,0,0,0
2,1.25,0.01,1.26,793.02,0,0,0
3,0.75,0.01,0.76,1318.13,0,0,0
4,0.91,0.01,0.92,1084.64,0,0,0
5,606.98,0.01,606.98,1.65,1,1,0
6,9.91,0.0,9.91,100.86,1,1,0
7,10.92,0.01,10.93,91.5,1,1,0
8,11.28,458.64,469.93,2.13,1,1,0
9,11.11,0.05,11.16,89.6,1,1,0
10,292.33,0.06,292.38,3.42,2,2,0
11,22.86,0.16,23.02,43.44,2,2,0
12,24.77,0.08,24.85,40.24,2,2,0
13,21.86,0.05,21.91,45.65,2,2,0
14,20.98,0.05,21.03,47.55,2,2,0
15,273.66,0.05,273.7,3.65,3,3,0
16,29.6,359.08,388.67,2.57,3,3,0
17,32.01,0.14,32.15,31.11,3,3,0
18,32.52,0.1,32.62,30.66,3,3,0
19,35.36,0.11,35.47,28.19,3,3,0
20,372.06,0.09,372.15,2.69,3,3,0
21,32.55,0.13,32.68,30.6,3,3,0
22,33.72,0.09,33.81,29.57,3,3,0
23,31.56,0.09,31.64,31.6,3,3,0
24,30.8,463.25,494.05,2.02,3,3,0
25,639.84,0.1,639.94,1.56,3,3,0
26,36.03,0.1,36.13,27.68,3,3,0
27,35.61,0.1,35.71,28.0,3,3,0
28,32.21,0.09,32.31,30.95,3,3,0
29,43.06,0.1,43.16,23.17,3,3,0
30,372.92,0.09,373.01,2.68,3,3,0
31,33.9,0.11,34.01,29.4,3,3,0
32,33.29,450.68,483.97,2.07,3,3,0
33,39.64,0.05,39.69,25.2,3,3,0
34,36.48,0.08,36.56,27.36,3,3,0
35,317.59,0.05,317.64,3.15,3,3,0
36,33.54,0.06,33.6,29.76,3,3,0
37,35.76,0.06,35.83,27.91,3,3,0
38,39.49,0.05,39.54,25.29,3,3,0
39,34.8,0.05,34.85,28.7,3,3,0
40,293.54,377.44,670.98,1.49,3,3,0
41,33.95,0.09,34.04,29.38,3,3,0
42,32.35,0.12,32.47,30.8,3,3,0
43,33.46,0.09,33.55,29.81,3,3,0
44,37.97,0.09,38.06,26.27,3,3,0
45,403.78,0.15,403.92,2.48,3,3,0
46,38.89,0.12,39.01,25.63,3,3,0
