ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758288056.8745081,3bc1ff83,0,1,1,0,anish,0.465,925,174,1311,699
1758288059.4541,3bc1ff83,5,1,1,0,anish,0.541,898,170,1297,712
1758288060.499341,3bc1ff83,10,1,1,0,anish,0.5491,892,166,1289,709
1758288060.9549062,3bc1ff83,15,2,1,0,anish,0.5416,1025,123,1425,699
1758288060.9549062,3bc1ff83,15,2,1,0,anish,0.5416,825,162,1230,702
1758288061.98528,3bc1ff83,20,2,1,0,anish,0.4991,898,130,1298,706
1758288061.98528,3bc1ff83,20,2,1,0,anish,0.4991,710,180,1139,718
1758288062.8252,3bc1ff83,25,2,1,0,anish,0.5178,905,136,1305,712
1758288062.8252,3bc1ff83,25,2,1,0,anish,0.5178,715,182,1137,723
1758288063.339382,3bc1ff83,30,2,1,0,anish,0.5054,987,141,1387,717
1758288063.339382,3bc1ff83,30,2,1,0,anish,0.5054,779,172,1191,717
1758288064.244997,3bc1ff83,35,3,1,0,anish,0.5062,1114,171,1514,747
1758288064.244997,3bc1ff83,35,3,1,0,anish,0.5062,680,181,1112,757
1758288064.244997,3bc1ff83,35,3,1,0,anish,0.5062,888,178,1288,724
1758288064.756012,3bc1ff83,40,3,1,0,anish,0.5077,1082,157,1482,733
1758288064.756012,3bc1ff83,40,3,1,0,anish,0.5077,646,179,1078,755
1758288064.756012,3bc1ff83,40,3,1,0,anish,0.5077,862,172,1266,715
1758288065.749613,3bc1ff83,45,4,1,0,anish,0.4946,1005,144,1405,720
1758288065.749613,3bc1ff83,45,4,1,0,anish,0.4946,575,189,1007,765
1758288065.749613,3bc1ff83,45,4,1,0,anish,0.4946,1006,131,1411,707
1758288065.749613,3bc1ff83,45,4,1,0,anish,0.4946,798,174,1205,716
1758288066.7032902,3bc1ff83,50,4,1,0,anish,0.5181,1019,147,1419,723
1758288066.7032902,3bc1ff83,50,4,1,0,anish,0.5181,586,190,1018,766
1758288066.7032902,3bc1ff83,50,4,1,0,anish,0.5181,1019,135,1424,711
1758288066.7032902,3bc1ff83,50,4,1,0,anish,0.5181,808,171,1220,720
