frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,697.75,1783.78,2481.53,0.4,1,1,0
1,20.78,0.01,20.79,48.11,1,1,0
2,8.49,0.01,8.49,117.73,1,1,0
3,9.1,0.01,9.11,109.78,1,1,0
4,7.93,0.01,7.94,125.99,1,1,0
5,623.33,0.01,623.34,1.6,1,1,0
6,20.15,0.01,20.15,49.62,1,1,0
7,10.74,0.01,10.75,93.06,1,1,0
8,11.14,498.28,509.41,1.96,1,1,0
9,8.7,0.05,8.75,114.27,1,1,0
10,371.23,0.05,371.29,2.69,1,1,0
11,10.02,0.05,10.07,99.28,1,1,0
12,8.56,0.05,8.61,116.12,1,1,0
13,10.55,0.05,10.6,94.33,1,1,0
14,8.41,0.05,8.47,118.1,1,1,0
15,293.31,0.06,293.38,3.41,2,2,0
16,19.08,460.3,479.38,2.09,2,2,0
17,26.93,0.11,27.04,36.99,2,2,0
18,24.23,0.09,24.32,41.11,2,2,0
19,19.95,0.09,20.04,49.89,2,2,0
20,356.81,0.09,356.9,2.8,2,2,0
21,16.65,0.12,16.78,59.6,2,2,0
22,17.26,0.09,17.35,57.63,2,2,0
23,19.64,0.1,19.74,50.66,2,2,0
24,19.03,373.87,392.9,2.55,2,2,0
25,321.09,0.1,321.19,3.11,2,2,0
26,18.29,0.05,18.34,54.52,2,2,0
27,18.35,0.08,18.43,54.25,2,2,0
28,18.52,0.06,18.58,53.82,2,2,0
29,22.73,0.12,22.85,43.76,2,2,0
30,308.64,0.05,308.69,3.24,2,2,0
31,17.22,0.05,17.28,57.88,2,2,0
32,22.28,413.32,435.61,2.3,2,2,0
33,26.1,0.07,26.16,38.22,2,2,0
34,18.96,0.05,19.01,52.6,2,2,0
35,279.68,0.04,279.72,3.58,3,3,0
36,26.32,0.04,26.37,37.93,3,3,0
37,25.48,0.06,25.53,39.16,3,3,0
38,32.17,0.05,32.22,31.03,3,3,0
39,25.73,0.05,25.78,38.79,3,3,0
40,292.5,378.33,670.83,1.49,3,3,0
41,33.63,0.07,33.7,29.67,3,3,0
42,25.33,0.04,25.38,39.4,3,3,0
43,24.72,0.05,24.76,40.39,3,3,0
44,27.52,0.05,27.57,36.27,3,3,0
45,317.39,0.06,317.45,3.15,4,4,0
46,31.88,0.06,31.94,31.31,4,4,0
47,35.28,0.04,35.32,28.31,4,4,0
48,32.69,384.99,417.68,2.39,4,4,0
49,45.27,0.07,45.34,22.06,4,4,0
50,306.19,0.05,306.24,3.27,4,4,0
51,35.01,0.04,35.06,28.53,4,4,0
52,33.62,0.05,33.67,29.7,4,4,0
