frame_idx,class,x1,y1,x2,y2
8,NO-Hardhat,857,36,1357,778
16,NO-Mask,750,68,1235,754
16,NO-Hardhat,750,58,1237,757
24,NO-Hardhat,679,55,1189,766
32,NO-Mask,831,162,1313,779
40,NO-Mask,829,162,1314,776
48,NO-Mask,843,135,1363,787
56,NO-Mask,832,162,1323,780
64,NO-Mask,796,48,1262,768
64,NO-Hardhat,790,27,1265,772
72,NO-Hardhat,788,24,1270,772
80,NO-Hardhat,791,28,1270,774
88,NO-Mask,824,121,1261,750
88,NO-Hardhat,826,121,1262,754
96,NO-Mask,835,69,1330,797
104,NO-Mask,829,78,1311,782
104,NO-Hardhat,824,25,1313,787
112,NO-Mask,821,31,1306,772
112,NO-Hardhat,815,24,1306,775
120,NO-Hardhat,817,26,1305,774
