ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758356373.738612,3fac4f6f,5,1,1,0,anish,0.5983,749,215,1219,846
1758356374.6041238,3fac4f6f,10,1,1,0,anish,0.5719,785,223,1244,850
1758356375.003613,3fac4f6f,15,1,1,0,anish,0.5885,750,216,1222,844
1758356375.83555,3fac4f6f,20,1,1,0,anish,0.5955,837,235,1315,852
1758356376.649206,3fac4f6f,25,2,1,0,anish,0.5532,837,235,1315,852
1758356376.649206,3fac4f6f,25,2,1,0,anish,0.5532,1026,294,1556,906
1758356377.274859,3fac4f6f,30,2,1,0,anish,0.568,705,207,1170,817
1758356377.274859,3fac4f6f,30,2,1,0,anish,0.568,823,196,1363,821
1758356378.14735,3fac4f6f,35,2,1,0,anish,0.5644,705,207,1170,817
1758356378.14735,3fac4f6f,35,2,1,0,anish,0.5644,404,233,974,834
1758356378.593196,3fac4f6f,40,1,1,0,anish,0.5771,452,222,1000,826
1758356379.4125,3fac4f6f,45,2,1,0,anish,0.573,377,271,953,896
1758356379.4125,3fac4f6f,45,2,1,0,anish,0.573,630,209,1101,814
1758356380.387365,3fac4f6f,50,2,1,0,anish,0.5816,388,273,964,898
1758356380.387365,3fac4f6f,50,2,1,0,anish,0.5816,643,212,1109,815
1758356380.940029,3fac4f6f,55,2,1,0,anish,0.5615,385,284,961,909
1758356380.940029,3fac4f6f,55,2,1,0,anish,0.5615,635,215,1107,824
1758356381.969954,3fac4f6f,60,2,1,0,anish,0.5871,385,287,961,912
1758356381.969954,3fac4f6f,60,2,1,0,anish,0.5871,635,216,1108,829
1758356382.7585878,3fac4f6f,65,2,1,0,anish,0.5774,384,288,960,913
1758356382.7585878,3fac4f6f,65,2,1,0,anish,0.5774,633,218,1105,827
1758356383.43389,3fac4f6f,70,2,1,0,anish,0.5443,393,291,969,916
1758356383.43389,3fac4f6f,70,2,1,0,anish,0.5443,641,221,1115,831
1758356384.485125,3fac4f6f,75,2,1,0,anish,0.5487,406,272,982,897
1758356384.485125,3fac4f6f,75,2,1,0,anish,0.5487,652,208,1126,820
1758356384.9389179,3fac4f6f,80,2,1,0,anish,0.5486,713,171,1151,740
1758356384.9389179,3fac4f6f,80,2,1,0,anish,0.5486,511,151,991,776
1758356385.697221,3fac4f6f,85,2,1,0,anish,0.5732,719,162,1154,717
1758356385.697221,3fac4f6f,85,2,1,0,anish,0.5732,522,132,1002,757
1758356386.4785988,3fac4f6f,90,2,1,0,anish,0.5837,719,164,1152,711
1758356386.4785988,3fac4f6f,90,2,1,0,anish,0.5837,523,130,1003,755
1758356386.9130518,3fac4f6f,95,2,1,0,anish,0.5479,706,162,1142,727
1758356386.9130518,3fac4f6f,95,2,1,0,anish,0.5479,498,144,978,769
1758356387.786168,3fac4f6f,100,2,1,0,anish,0.592,696,207,1153,813
1758356387.786168,3fac4f6f,100,2,1,0,anish,0.592,450,222,930,847
1758356388.683881,3fac4f6f,105,2,1,0,anish,0.5908,708,208,1161,815
1758356388.683881,3fac4f6f,105,2,1,0,anish,0.5908,466,223,946,848
1758356389.1638122,3fac4f6f,110,2,1,0,anish,0.5919,700,207,1157,814
1758356389.1638122,3fac4f6f,110,2,1,0,anish,0.5919,458,222,938,847
1758356390.0507991,3fac4f6f,115,2,1,0,anish,0.6007,697,207,1147,813
1758356390.0507991,3fac4f6f,115,2,1,0,anish,0.6007,449,221,929,846
1758356390.495009,3fac4f6f,120,2,1,0,anish,0.5955,699,206,1151,809
1758356390.495009,3fac4f6f,120,2,1,0,anish,0.5955,453,217,933,842
1758356391.610507,3fac4f6f,125,2,1,0,anish,0.5655,696,210,1149,815
1758356391.610507,3fac4f6f,125,2,1,0,anish,0.5655,449,226,929,851
1758356393.1156092,3fac4f6f,130,2,1,0,anish,0.5924,703,220,1161,834
1758356393.1156092,3fac4f6f,130,2,1,0,anish,0.5924,457,251,937,876
1758356393.6083999,3fac4f6f,135,2,1,0,anish,0.5763,699,216,1156,831
1758356393.6083999,3fac4f6f,135,2,1,0,anish,0.5763,453,248,933,873
1758356395.213512,3fac4f6f,140,2,1,0,anish,0.5685,692,219,1145,823
1758356395.213512,3fac4f6f,140,2,1,0,anish,0.5685,444,240,924,865
1758356396.445461,3fac4f6f,145,2,1,0,anish,0.5739,693,211,1143,817
1758356396.445461,3fac4f6f,145,2,1,0,anish,0.5739,445,234,925,859
1758356396.867605,3fac4f6f,150,2,1,0,anish,0.5687,713,189,1159,784
1758356396.867605,3fac4f6f,150,2,1,0,anish,0.5687,497,196,977,821
1758356397.740748,3fac4f6f,155,2,1,0,anish,0.5749,702,212,1153,804
1758356397.740748,3fac4f6f,155,2,1,0,anish,0.5749,474,233,954,858
1758356398.209541,3fac4f6f,160,2,1,0,anish,0.5788,703,213,1154,812
1758356398.209541,3fac4f6f,160,2,1,0,anish,0.5788,473,239,953,864
1758356399.326638,3fac4f6f,165,2,1,0,anish,0.5746,700,216,1151,813
1758356399.326638,3fac4f6f,165,2,1,0,anish,0.5746,466,235,946,860
1758356400.245499,3fac4f6f,170,2,1,0,anish,0.569,710,222,1158,808
1758356400.245499,3fac4f6f,170,2,1,0,anish,0.569,479,230,959,855
1758356400.696543,3fac4f6f,175,2,1,0,anish,0.576,712,220,1160,809
1758356400.696543,3fac4f6f,175,2,1,0,anish,0.576,480,231,960,856
