frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,183.98,479.09,663.07,1.51,0,0,0
1,0.86,0.01,0.87,1152.28,0,0,0
2,0.69,0.0,0.69,1447.31,0,0,0
3,0.72,0.01,0.73,1375.63,0,0,0
4,0.55,0.01,0.55,1818.08,0,0,0
5,529.16,0.0,529.17,1.89,1,1,0
6,13.04,0.01,13.04,76.66,1,1,0
7,10.26,0.01,10.26,97.46,1,1,0
8,10.89,396.29,407.17,2.46,1,1,0
9,12.37,0.1,12.47,80.21,1,1,0
10,293.61,0.11,293.72,3.4,1,1,0
11,9.83,0.11,9.94,100.61,1,1,0
12,14.21,0.16,14.37,69.6,1,1,0
13,11.41,0.1,11.51,86.91,1,1,0
14,12.19,0.11,12.3,81.28,1,1,0
15,259.97,0.11,260.08,3.85,1,1,0
16,12.34,355.7,368.04,2.72,1,1,0
17,11.61,0.1,11.7,85.43,1,1,0
18,15.67,0.17,15.84,63.14,1,1,0
19,13.65,0.1,13.75,72.72,1,1,0
20,323.67,0.09,323.77,3.09,1,1,0
21,5.7,0.1,5.81,172.23,1,1,0
22,5.74,0.1,5.84,171.15,1,1,0
23,6.12,0.1,6.22,160.8,1,1,0
24,5.95,368.38,374.33,2.67,1,1,0
25,301.89,0.13,302.02,3.31,2,2,0
26,24.34,0.09,24.43,40.94,2,2,0
27,25.59,0.1,25.69,38.92,2,2,0
28,24.2,0.12,24.31,41.13,2,2,0
29,26.49,0.09,26.58,37.62,2,2,0
30,322.45,0.1,322.55,3.1,2,2,0
31,16.72,0.1,16.82,59.47,2,2,0
32,17.97,403.67,421.64,2.37,2,2,0
33,20.15,0.1,20.25,49.39,2,2,0
34,16.83,0.1,16.93,59.07,2,2,0
35,302.1,0.09,302.19,3.31,2,2,0
36,21.04,0.12,21.16,47.26,1,1,0
37,17.6,0.09,17.69,56.53,1,1,0
38,14.15,0.1,14.25,70.17,1,1,0
39,15.22,0.1,15.32,65.29,1,1,0
40,281.85,357.37,639.21,1.56,1,1,0
41,14.27,0.06,14.33,69.76,1,1,0
42,13.81,0.06,13.87,72.08,1,1,0
43,15.86,0.08,15.94,62.74,1,1,0
44,18.31,0.06,18.37,54.43,1,1,0
45,300.69,0.07,300.77,3.32,2,2,0
46,26.6,0.05,26.65,37.52,2,2,0
47,25.83,0.06,25.89,38.63,2,2,0
48,23.3,398.23,421.53,2.37,2,2,0
49,27.07,0.09,27.16,36.82,2,2,0
50,306.42,0.12,306.54,3.26,2,2,0
51,20.55,0.09,20.64,48.46,2,2,0
52,23.37,0.09,23.46,42.63,2,2,0
53,26.06,0.09,26.15,38.23,2,2,0
54,26.07,0.1,26.16,38.22,2,2,0
55,320.41,0.13,320.54,3.12,2,2,0
56,23.65,449.68,473.33,2.11,2,2,0
57,25.86,0.09,25.96,38.52,2,2,0
58,25.31,0.12,25.43,39.33,2,2,0
59,21.99,0.1,22.09,45.28,2,2,0
60,354.28,0.13,354.4,2.82,2,2,0
61,25.75,0.09,25.84,38.7,2,2,0
62,24.81,0.09,24.91,40.15,2,2,0
63,28.08,0.25,28.33,35.3,2,2,0
64,24.08,353.69,377.77,2.65,2,2,0
65,278.57,0.09,278.66,3.59,2,2,0
