frame_idx,class,x1,y1,x2,y2
8,NO-Mask,748,60,1312,945
8,NO-Hardhat,749,60,1312,944
16,NO-Mask,695,63,1240,924
16,NO-Hardhat,694,59,1239,926
24,NO-Hardhat,1063,221,1694,977
24,NO-Mask,1063,241,1692,976
32,NO-Hardhat,431,124,1096,889
32,NO-Mask,438,135,1106,883
40,NO-Hardhat,375,123,1037,881
48,NO-Hardhat,569,67,1143,881
48,NO-Mask,570,67,1144,882
56,NO-Hardhat,566,65,1143,890
56,NO-Mask,569,65,1146,894
64,NO-Hardhat,563,64,1139,883
64,NO-Mask,564,67,1139,881
72,NO-Hardhat,580,62,1154,901
72,NO-Mask,583,64,1158,902
80,NO-Mask,635,108,1177,866
80,NO-Hardhat,631,97,1177,880
88,NO-Hardhat,631,84,1179,894
88,NO-Mask,637,94,1178,896
96,NO-Mask,607,73,1152,896
96,NO-Hardhat,606,72,1153,899
104,NO-Mask,654,57,1194,936
104,NO-Hardhat,654,57,1192,927
112,NO-Mask,643,60,1187,898
112,NO-Hardhat,643,59,1186,901
120,NO-Mask,651,63,1189,904
120,NO-Hardhat,651,59,1188,909
128,NO-Mask,643,56,1193,913
128,NO-Hardhat,643,56,1191,912
136,NO-Hardhat,638,57,1189,899
136,NO-Mask,638,57,1190,897
144,NO-Hardhat,634,60,1185,885
144,NO-Mask,635,59,1184,886
152,NO-Hardhat,636,96,1186,897
152,NO-Mask,647,111,1185,889
160,NO-Hardhat,627,61,1179,912
168,NO-Hardhat,644,60,1185,913
168,NO-Mask,646,62,1187,920
