ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758342355.135146,45fd831a,0,1,1,0,worker1,0.9129,391,88,467,182
1758342355.781358,45fd831a,5,1,1,0,worker1,0.85,392,89,465,182
1758342356.349476,45fd831a,10,1,1,0,worker1,0.9314,393,90,468,182
1758342356.5590389,45fd831a,15,1,1,0,worker1,0.9223,393,90,469,182
1758342357.0912309,45fd831a,20,1,1,0,worker1,0.8556,395,90,468,180
1758342357.734514,45fd831a,25,1,1,0,worker1,0.9311,394,90,470,182
1758342357.929753,45fd831a,30,1,1,0,worker1,0.9224,394,90,469,182
1758342358.504131,45fd831a,35,1,1,0,worker1,0.8525,394,89,468,180
1758342358.745913,45fd831a,40,1,1,0,worker1,0.9289,393,89,469,182
1758342359.357214,45fd831a,45,2,1,0,worker1,0.9068,393,89,469,182
1758342359.357214,45fd831a,45,2,1,0,worker1,0.9068,392,88,469,184
1758342359.9118001,45fd831a,50,1,1,0,worker1,0.8287,394,89,467,183
1758342360.1194031,45fd831a,55,1,1,0,worker1,0.9268,392,87,468,185
1758342360.706733,45fd831a,60,1,1,0,worker1,0.8905,392,88,469,185
1758342361.390741,45fd831a,65,1,1,0,worker1,0.814,394,90,469,185
1758342361.616174,45fd831a,70,1,1,0,worker1,0.9183,391,89,467,186
1758342362.220829,45fd831a,75,1,1,0,worker1,0.8926,390,88,466,185
1758342362.441186,45fd831a,80,1,1,0,worker1,0.7955,393,88,468,184
1758342363.095826,45fd831a,85,1,1,0,worker1,0.9182,392,88,468,186
1758342363.9384499,45fd831a,90,1,1,0,worker1,0.9157,391,88,468,187
1758342364.1627781,45fd831a,95,1,1,0,worker1,0.8154,392,90,466,185
1758342364.781099,45fd831a,100,1,1,0,worker1,0.9109,391,89,467,187
1758342365.381216,45fd831a,105,1,1,0,worker1,0.9093,391,89,467,187
1758342365.587926,45fd831a,110,1,1,0,worker1,0.8341,392,90,466,184
1758342366.640219,45fd831a,115,1,1,0,worker1,0.9064,392,88,468,187
1758342367.894559,45fd831a,120,1,1,0,worker1,0.9163,392,88,468,187
1758342369.211906,45fd831a,125,1,1,0,worker1,0.8247,393,88,467,184
1758342369.7898061,45fd831a,130,1,1,0,worker1,0.8891,391,88,468,186
1758342369.9916549,45fd831a,135,1,1,0,worker1,0.8854,391,87,468,186
1758342370.6162229,45fd831a,140,1,1,0,worker1,0.8093,392,89,466,184
1758342371.87609,45fd831a,145,1,1,0,worker1,0.8896,391,88,468,186
1758342372.295796,45fd831a,150,1,1,0,worker1,0.8763,391,87,468,186
1758342372.976371,45fd831a,155,1,1,0,worker1,0.7969,393,89,467,184
1758342373.225295,45fd831a,160,1,1,0,worker1,0.8768,392,88,469,186
1758342374.316104,45fd831a,165,1,1,0,worker1,0.8856,392,88,468,186
1758342374.9541838,45fd831a,170,1,1,0,worker1,0.8017,392,88,467,185
1758342375.166943,45fd831a,175,1,1,0,worker1,0.8699,391,88,468,186
1758342375.7695549,45fd831a,180,2,1,0,worker1,0.8748,391,88,468,186
1758342375.7695549,45fd831a,180,2,1,0,worker1,0.8748,392,89,468,186
