frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,358.11,389.59,747.7,1.34,1,1,0
1,0.37,0.06,0.43,2331.46,1,1,0
2,0.28,0.05,0.33,3050.4,1,1,0
3,0.31,0.06,0.36,2741.38,1,1,0
4,0.26,0.05,0.31,3204.2,1,1,0
5,240.96,0.07,241.03,4.15,1,1,0
6,0.31,0.07,0.38,2618.17,1,1,0
7,0.44,0.08,0.53,1887.63,1,1,0
8,0.36,360.12,360.48,2.77,1,1,0
9,0.92,0.11,1.03,970.01,1,1,0
10,197.38,0.06,197.44,5.06,1,1,0
11,0.31,0.05,0.36,2794.34,1,1,0
12,0.26,0.05,0.31,3184.74,1,1,0
13,0.27,0.05,0.32,3153.61,1,1,0
14,0.27,0.08,0.35,2872.81,1,1,0
15,201.96,0.06,202.03,4.95,1,1,0
16,0.32,330.13,330.45,3.03,1,1,0
17,0.38,0.06,0.43,2321.14,1,1,0
18,0.26,0.05,0.31,3258.98,1,1,0
19,0.28,0.05,0.34,2966.27,1,1,0
20,194.32,0.14,194.46,5.14,1,1,0
21,0.38,0.06,0.44,2278.27,1,1,0
22,0.28,0.05,0.32,3077.26,1,1,0
23,0.3,0.05,0.36,2814.97,1,1,0
24,0.26,356.04,356.3,2.81,1,1,0
25,278.96,0.1,279.06,3.58,1,1,0
26,0.32,0.05,0.37,2680.07,1,1,0
27,0.25,0.05,0.3,3368.92,1,1,0
28,0.24,0.05,0.29,3472.11,1,1,0
29,0.24,0.05,0.29,3460.65,1,1,0
30,187.93,0.06,187.99,5.32,1,1,0
31,0.33,0.05,0.38,2598.7,1,1,0
32,0.26,346.14,346.4,2.89,1,1,0
33,0.46,0.06,0.51,1957.21,1,1,0
34,0.29,0.05,0.34,2947.51,1,1,0
35,220.23,0.07,220.3,4.54,1,1,0
36,0.33,0.05,0.39,2592.28,1,1,0
37,0.27,0.05,0.32,3134.76,1,1,0
38,0.3,0.05,0.34,2900.63,1,1,0
39,0.3,0.05,0.35,2824.45,1,1,0
40,234.11,369.05,603.16,1.66,1,1,0
41,0.31,0.05,0.36,2768.52,1,1,0
42,0.17,0.07,0.24,4236.67,1,1,0
43,0.22,0.06,0.28,3572.66,1,1,0
44,0.36,0.06,0.42,2356.35,1,1,0
45,233.52,0.06,233.58,4.28,2,2,0
46,0.38,0.05,0.44,2283.24,1,1,0
47,0.44,0.07,0.51,1952.66,1,1,0
48,0.32,362.89,363.21,2.75,1,1,0
49,0.4,0.06,0.46,2178.86,1,1,0
50,182.72,0.06,182.78,5.47,1,1,0
51,0.33,0.05,0.38,2616.53,1,1,0
52,0.27,0.05,0.32,3163.13,1,1,0
53,0.26,0.05,0.31,3226.39,1,1,0
54,0.26,0.05,0.31,3223.91,1,1,0
55,200.37,0.06,200.43,4.99,1,1,0
56,0.43,372.29,372.71,2.68,1,1,0
57,0.48,0.1,0.58,1724.63,1,1,0
58,0.35,0.06,0.4,2475.98,1,1,0
59,0.46,0.05,0.52,1940.91,1,1,0
60,205.57,0.06,205.63,4.86,1,1,0
61,0.46,0.06,0.52,1923.11,1,1,0
62,0.38,0.05,0.43,2343.19,1,1,0
63,0.28,0.05,0.33,3028.38,1,1,0
64,0.25,452.59,452.85,2.21,1,1,0
65,222.54,0.06,222.6,4.49,1,1,0
66,0.28,0.05,0.33,3057.07,1,1,0
67,0.47,0.05,0.51,1941.81,1,1,0
68,0.26,0.05,0.31,3246.37,1,1,0
69,0.26,0.05,0.3,3289.65,1,1,0
70,217.46,0.06,217.52,4.6,1,1,0
71,0.41,0.05,0.46,2187.95,1,1,0
72,0.25,363.92,364.17,2.75,1,1,0
73,0.95,0.07,1.02,982.27,1,1,0
74,0.39,0.06,0.45,2232.2,1,1,0
75,228.32,0.07,228.4,4.38,1,1,0
76,0.4,0.06,0.45,2202.89,1,1,0
77,0.53,0.05,0.58,1727.47,1,1,0
78,0.34,0.05,0.39,2563.76,1,1,0
79,0.32,0.06,0.39,2584.29,1,1,0
80,211.28,388.54,599.82,1.67,1,1,0
81,0.45,0.06,0.51,1942.71,1,1,0
82,0.48,0.06,0.54,1864.96,1,1,0
83,0.6,0.06,0.66,1519.12,1,1,0
84,0.35,0.05,0.4,2486.25,1,1,0
85,257.47,0.13,257.6,3.88,1,1,0
86,0.86,0.14,1.0,1001.03,1,1,0
87,0.37,0.06,0.43,2321.14,1,1,0
88,0.31,521.58,521.89,1.92,1,1,0
89,0.45,0.05,0.5,1984.06,1,1,0
90,309.93,0.08,310.0,3.23,1,1,0
91,0.35,0.05,0.41,2468.69,1,1,0
92,0.28,0.05,0.33,3002.37,1,1,0
93,0.39,0.05,0.44,2277.04,1,1,0
94,0.32,0.05,0.38,2646.25,1,1,0
95,216.04,0.06,216.1,4.63,1,1,0
96,0.33,371.0,371.32,2.69,1,1,0
97,0.37,0.06,0.43,2352.39,1,1,0
98,0.37,0.06,0.43,2347.12,1,1,0
