ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758349914.6871512,4637b55a,5,1,1,0,anish,0.5265,928,156,1399,799
1758349916.1306932,4637b55a,10,1,1,0,anish,0.5202,918,156,1382,780
1758349916.5626,4637b55a,15,1,1,0,anish,0.505,917,156,1386,774
1758349917.4544792,4637b55a,20,2,1,0,anish,0.5056,1382,194,1932,820
1758349918.500679,4637b55a,25,3,1,0,anish,0.5514,1525,209,2101,849
1758349918.500679,4637b55a,25,3,1,0,anish,0.5514,1333,206,1827,788
1758349919.187613,4637b55a,30,3,1,0,anish,0.5247,738,198,1218,823
1758349919.187613,4637b55a,30,3,1,0,anish,0.5247,1315,155,1891,795
1758349919.187613,4637b55a,30,3,1,0,anish,0.5247,1175,167,1626,753
1758349920.1407192,4637b55a,35,3,1,0,anish,0.5432,755,197,1235,822
1758349920.1407192,4637b55a,35,3,1,0,anish,0.5432,962,171,1419,762
1758349920.1407192,4637b55a,35,3,1,0,anish,0.5432,1157,133,1637,733
1758349920.7457762,4637b55a,40,3,1,0,anish,0.458,813,176,1293,801
1758349920.7457762,4637b55a,40,3,1,0,anish,0.458,1018,164,1459,737
1758349920.7457762,4637b55a,40,3,1,0,anish,0.458,1215,125,1695,725
1758349921.672231,4637b55a,45,3,1,0,anish,0.4663,876,169,1356,794
1758349921.672231,4637b55a,45,3,1,0,anish,0.4663,1073,172,1505,742
1758349921.672231,4637b55a,45,3,1,0,anish,0.4663,1287,139,1767,739
1758349922.573761,4637b55a,50,3,1,0,anish,0.4927,1263,215,1727,756
1758349922.573761,4637b55a,50,3,1,0,anish,0.4927,1104,181,1536,757
1758349922.573761,4637b55a,50,3,1,0,anish,0.4927,1532,188,2012,788
1758349923.114797,4637b55a,55,3,1,0,anish,0.4771,1149,168,1571,737
1758349923.114797,4637b55a,55,3,1,0,anish,0.4771,922,183,1354,759
1758349923.114797,4637b55a,55,3,1,0,anish,0.4771,1359,136,1839,736
1758349924.105377,4637b55a,60,3,1,0,anish,0.5037,925,186,1341,688
1758349924.105377,4637b55a,60,3,1,0,anish,0.5037,683,195,1115,771
1758349924.105377,4637b55a,60,3,1,0,anish,0.5037,1077,69,1557,669
1758349924.9509828,4637b55a,65,3,1,0,anish,0.5658,677,197,1174,807
1758349924.9509828,4637b55a,65,3,1,0,anish,0.5658,450,307,882,883
1758349924.9509828,4637b55a,65,3,1,0,anish,0.5658,860,137,1340,737
1758349925.5514581,4637b55a,70,3,1,0,anish,0.4831,716,183,1211,804
1758349925.5514581,4637b55a,70,3,1,0,anish,0.4831,490,294,922,870
1758349925.5514581,4637b55a,70,3,1,0,anish,0.4831,912,135,1392,735
1758349926.46298,4637b55a,75,3,1,0,anish,0.5924,749,192,1233,800
1758349926.46298,4637b55a,75,3,1,0,anish,0.5924,516,291,948,867
1758349926.46298,4637b55a,75,3,1,0,anish,0.5924,950,144,1430,744
1758349927.049879,4637b55a,80,3,1,0,anish,0.5582,761,189,1250,786
1758349927.049879,4637b55a,80,3,1,0,anish,0.5582,532,284,964,860
1758349927.049879,4637b55a,80,3,1,0,anish,0.5582,971,143,1451,743
1758349927.9665449,4637b55a,85,3,1,0,anish,0.5743,793,164,1268,787
1758349927.9665449,4637b55a,85,3,1,0,anish,0.5743,561,270,993,846
1758349927.9665449,4637b55a,85,3,1,0,anish,0.5743,1003,136,1483,736
1758349928.878019,4637b55a,90,3,1,0,anish,0.5647,794,168,1270,790
1758349928.878019,4637b55a,90,3,1,0,anish,0.5647,561,271,993,847
