frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,183.38,674.41,857.79,1.17,0,0,0
1,1.08,0.1,1.18,847.51,0,0,0
2,3.63,0.11,3.75,266.83,0,0,0
3,1.61,0.04,1.66,604.19,0,0,0
4,1.47,0.01,1.48,675.74,0,0,0
5,871.46,0.01,871.47,1.15,1,1,0
6,18.54,0.01,18.55,53.91,1,1,0
7,13.26,0.01,13.27,75.39,1,1,0
8,17.86,603.16,621.03,1.61,1,1,0
9,11.73,0.13,11.86,84.32,1,1,0
10,653.68,0.3,653.98,1.53,1,1,0
11,12.89,0.11,12.99,76.96,1,1,0
12,11.9,0.16,12.06,82.89,1,1,0
13,12.39,0.09,12.48,80.12,1,1,0
14,11.62,0.09,11.71,85.39,1,1,0
15,277.82,0.11,277.93,3.6,1,1,0
16,12.42,421.33,433.75,2.31,1,1,0
17,11.51,0.05,11.56,86.51,1,1,0
18,12.31,0.05,12.36,80.94,1,1,0
19,12.69,0.05,12.74,78.5,1,1,0
20,403.97,0.12,404.09,2.47,2,2,0
21,25.61,0.05,25.66,38.98,2,2,0
22,26.96,0.06,27.02,37.01,2,2,0
23,26.34,0.05,26.39,37.89,2,2,0
24,26.46,353.73,380.19,2.63,2,2,0
25,422.95,0.12,423.07,2.36,3,3,0
26,34.29,0.09,34.37,29.09,3,3,0
27,37.7,0.08,37.79,26.47,3,3,0
28,40.51,0.08,40.59,24.64,3,3,0
29,35.43,0.08,35.51,28.16,3,3,0
30,302.22,0.08,302.3,3.31,3,3,0
31,31.65,0.08,31.73,31.51,3,3,0
32,32.12,361.25,393.37,2.54,3,3,0
33,38.51,0.08,38.59,25.91,3,3,0
34,35.07,0.08,35.15,28.45,3,3,0
35,287.48,0.09,287.57,3.48,3,3,0
36,34.71,0.1,34.8,28.73,3,3,0
37,32.54,0.09,32.63,30.64,3,3,0
38,35.79,0.1,35.89,27.86,3,3,0
39,31.88,0.1,31.97,31.28,3,3,0
40,324.95,355.0,679.95,1.47,3,3,0
41,35.29,0.08,35.37,28.28,3,3,0
42,33.9,0.08,33.99,29.42,3,3,0
43,30.09,0.11,30.2,33.11,3,3,0
44,33.23,0.08,33.32,30.02,3,3,0
45,284.31,0.09,284.4,3.52,3,3,0
46,37.42,0.09,37.5,26.67,3,3,0
47,28.89,0.09,28.98,34.51,3,3,0
48,30.17,342.99,373.17,2.68,3,3,0
49,28.72,0.05,28.77,34.76,3,3,0
50,284.4,0.05,284.44,3.52,3,3,0
51,28.07,0.05,28.12,35.57,3,3,0
52,28.89,0.06,28.95,34.54,3,3,0
53,26.6,0.05,26.65,37.52,3,3,0
54,28.3,0.05,28.35,35.27,3,3,0
55,258.5,0.05,258.55,3.87,3,3,0
56,27.41,398.53,425.94,2.35,3,3,0
57,25.96,0.11,26.07,38.35,3,3,0
58,31.25,0.11,31.36,31.89,3,3,0
59,28.18,0.09,28.27,35.37,3,3,0
60,284.34,0.09,284.42,3.52,3,3,0
61,25.78,0.08,25.86,38.67,3,3,0
62,24.67,0.09,24.76,40.4,3,3,0
63,31.5,0.15,31.65,31.59,3,3,0
64,25.18,354.22,379.4,2.64,3,3,0
65,298.25,0.08,298.33,3.35,3,3,0
66,29.6,0.16,29.76,33.6,3,3,0
67,31.42,0.09,31.51,31.73,3,3,0
68,32.01,0.09,32.1,31.15,3,3,0
69,37.06,0.08,37.15,26.92,3,3,0
70,296.83,0.09,296.91,3.37,3,3,0
71,29.79,0.09,29.88,33.47,3,3,0
72,31.93,359.56,391.49,2.55,3,3,0
73,30.22,0.06,30.28,33.03,3,3,0
74,30.95,0.07,31.01,32.24,3,3,0
75,274.17,0.05,274.22,3.65,3,3,0
76,33.7,0.06,33.76,29.62,3,3,0
77,32.31,0.06,32.37,30.9,3,3,0
78,30.12,0.05,30.17,33.15,3,3,0
79,30.91,0.05,30.97,32.29,3,3,0
80,292.34,341.93,634.27,1.58,3,3,0
81,30.15,0.11,30.26,33.05,3,3,0
82,30.78,0.11,30.89,32.37,3,3,0
83,29.53,0.13,29.66,33.72,3,3,0
84,27.14,0.08,27.22,36.74,3,3,0
85,273.18,0.08,273.26,3.66,3,3,0
86,29.06,0.08,29.15,34.31,3,3,0
87,34.89,0.09,34.98,28.59,3,3,0
88,30.58,350.18,380.76,2.63,3,3,0
89,29.28,0.05,29.34,34.08,3,3,0
90,286.14,0.05,286.19,3.49,3,3,0
91,31.6,0.05,31.65,31.59,3,3,0
92,29.01,0.05,29.06,34.41,3,3,0
93,32.83,0.05,32.88,30.41,3,3,0
94,40.59,0.06,40.64,24.61,3,3,0
95,275.23,0.05,275.28,3.63,3,3,0
96,29.74,372.09,401.83,2.49,3,3,0
97,34.91,0.05,34.97,28.6,3,3,0
98,30.37,0.05,30.42,32.88,3,3,0
99,34.83,0.05,34.87,28.67,3,3,0
100,407.37,0.05,407.42,2.45,3,3,0
101,36.32,0.05,36.37,27.49,3,3,0
102,29.98,0.08,30.06,33.27,3,3,0
103,30.68,0.06,30.74,32.53,3,3,0
104,29.95,371.07,401.02,2.49,3,3,0
105,293.07,0.08,293.15,3.41,3,3,0
106,30.0,0.05,30.05,33.28,3,3,0
107,35.23,0.05,35.29,28.34,3,3,0
108,30.09,0.06,30.16,33.16,3,3,0
109,29.22,0.06,29.28,34.16,3,3,0
110,335.77,0.05,335.81,2.98,3,3,0
111,31.05,0.08,31.13,32.13,3,3,0
112,37.41,433.6,471.01,2.12,3,3,0
113,30.72,0.05,30.77,32.5,3,3,0
114,32.79,0.06,32.84,30.45,3,3,0
115,319.93,0.05,319.98,3.13,3,3,0
116,30.07,0.06,30.12,33.2,3,3,0
117,30.78,0.05,30.83,32.44,3,3,0
118,31.13,0.05,31.19,32.06,3,3,0
119,29.96,0.05,30.01,33.32,3,3,0
120,286.28,389.02,675.3,1.48,3,3,0
121,35.56,0.09,35.65,28.05,3,3,0
122,35.54,0.09,35.63,28.06,3,3,0
123,33.74,0.09,33.83,29.56,3,3,0
124,36.06,0.09,36.15,27.66,3,3,0
125,311.91,0.09,312.0,3.21,3,3,0
126,32.58,0.11,32.68,30.6,3,3,0
127,31.11,0.12,31.23,32.03,3,3,0
128,29.5,357.93,387.43,2.58,3,3,0
129,31.86,0.1,31.95,31.3,3,3,0
130,272.09,0.08,272.17,3.67,3,3,0
131,29.62,0.08,29.7,33.67,3,3,0
132,30.37,0.11,30.48,32.8,3,3,0
133,35.49,0.08,35.57,28.11,3,3,0
134,29.5,0.1,29.6,33.79,3,3,0
135,297.88,0.09,297.96,3.36,3,3,0
136,30.81,380.39,411.2,2.43,3,3,0
137,32.71,0.09,32.8,30.48,3,3,0
138,30.3,0.11,30.41,32.88,3,3,0
139,32.01,0.12,32.12,31.13,3,3,0
140,338.59,0.11,338.69,2.95,3,3,0
141,30.11,0.08,30.19,33.12,3,3,0
142,37.64,0.09,37.73,26.51,3,3,0
143,31.02,0.08,31.11,32.15,3,3,0
144,30.93,383.48,414.41,2.41,3,3,0
145,293.4,0.09,293.49,3.41,3,3,0
146,54.93,0.18,55.11,18.14,3,3,0
147,37.92,0.11,38.02,26.3,3,3,0
148,33.78,0.1,33.87,29.52,3,3,0
