frame_idx,class,x1,y1,x2,y2
8,NO-Mask,862,137,1436,836
8,NO-Hardhat,860,136,1433,834
16,NO-Mask,909,132,1507,813
24,NO-Mask,1300,179,1916,819
24,NO-Hardhat,1293,176,1916,819
32,NO-Mask,990,118,1512,791
32,NO-Hardhat,990,115,1513,792
40,NO-Hardhat,978,130,1489,785
40,NO-Mask,978,130,1489,783
48,NO-Mask,1141,82,1744,809
56,NO-Mask,1038,115,1529,776
56,NO-Hardhat,1035,118,1529,776
64,NO-Hardhat,702,141,1285,799
64,NO-Mask,704,142,1291,794
72,NO-Hardhat,693,158,1304,820
80,NO-Hardhat,727,164,1307,816
80,NO-Mask,727,159,1309,816
88,NO-Hardhat,752,146,1320,808
96,NO-Hardhat,755,151,1319,809
104,NO-Hardhat,754,156,1319,812
112,NO-Hardhat,762,161,1317,813
120,NO-Mask,864,79,1469,855
120,NO-Hardhat,866,82,1468,854
128,NO-Hardhat,855,135,1392,832
128,NO-Mask,856,132,1392,833
136,NO-Mask,858,139,1398,810
136,NO-Hardhat,857,138,1397,811
144,NO-Hardhat,852,133,1408,816
144,NO-Mask,854,138,1412,818
152,NO-Mask,806,139,1366,838
152,NO-Hardhat,806,139,1364,841
160,NO-Mask,810,140,1367,842
160,NO-Hardhat,809,140,1364,843
168,NO-Mask,778,128,1326,820
168,NO-Hardhat,776,130,1329,824
176,NO-Hardhat,763,125,1316,816
176,NO-Mask,765,126,1316,817
184,NO-Hardhat,783,161,1352,871
192,NO-Mask,755,136,1315,842
192,NO-Hardhat,755,140,1316,846
200,NO-Hardhat,786,135,1339,824
200,NO-Mask,786,134,1337,822
208,NO-Mask,779,122,1323,834
208,NO-Hardhat,777,124,1323,836
216,NO-Mask,804,153,1370,850
216,NO-Hardhat,804,151,1368,852
224,NO-Mask,810,165,1377,875
224,NO-Hardhat,808,166,1377,880
232,NO-Hardhat,823,176,1407,871
240,NO-Mask,797,114,1377,885
240,NO-Hardhat,795,115,1377,890
248,NO-Mask,777,104,1350,850
248,NO-Hardhat,778,100,1350,850
256,NO-Hardhat,775,114,1352,863
256,NO-Mask,774,110,1352,860
264,NO-Hardhat,786,110,1360,884
264,NO-Mask,782,107,1361,887
272,NO-Mask,782,114,1349,839
272,NO-Hardhat,782,115,1350,842
280,NO-Mask,777,117,1344,848
280,NO-Hardhat,777,116,1343,845
288,NO-Mask,778,127,1367,845
288,NO-Hardhat,779,131,1368,848
296,NO-Mask,785,139,1368,866
296,NO-Hardhat,785,137,1365,863
304,NO-Hardhat,776,145,1376,866
312,NO-Hardhat,778,149,1371,858
320,NO-Hardhat,784,153,1375,888
328,NO-Hardhat,779,152,1369,865
336,NO-Hardhat,780,154,1358,878
344,NO-Hardhat,777,146,1359,865
352,NO-Hardhat,777,147,1371,881
360,NO-Hardhat,777,148,1352,867
368,NO-Hardhat,776,146,1355,873
376,NO-Mask,774,139,1352,875
376,NO-Hardhat,775,140,1353,876
384,NO-Mask,771,144,1356,879
384,NO-Hardhat,770,146,1357,883
392,NO-Hardhat,771,148,1349,863
400,NO-Mask,776,143,1354,860
400,NO-Hardhat,777,143,1355,862
408,NO-Mask,778,141,1358,857
408,NO-Hardhat,779,140,1357,858
416,NO-Hardhat,762,114,1315,818
416,NO-Mask,764,115,1315,818
424,NO-Mask,771,121,1324,824
424,NO-Hardhat,770,122,1324,824
432,NO-Hardhat,781,118,1359,850
