ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758259077.2561066,463b1880,0,1,1,0,worker1,0.9171,391,89,466,182
1758259079.6570537,463b1880,5,1,1,0,worker1,0.9194,392,89,467,182
1758259080.458164,463b1880,10,1,1,0,worker1,0.9259,393,90,468,182
1758259081.1324198,463b1880,15,1,1,0,worker1,0.9211,393,90,469,182
1758259081.780284,463b1880,20,1,1,0,worker1,0.9385,394,91,470,182
1758259082.559098,463b1880,25,1,1,0,worker1,0.9405,394,90,470,182
1758259083.186701,463b1880,30,1,1,0,worker1,0.9457,394,90,470,182
1758259083.8230624,463b1880,35,1,1,0,worker1,0.9477,394,90,469,182
1758259084.470583,463b1880,40,1,1,0,worker1,0.9465,393,90,469,183
1758259085.1957674,463b1880,45,1,1,0,worker1,0.9283,393,89,469,184
1758259086.0446818,463b1880,50,1,1,0,worker1,0.9379,392,88,468,185
1758259086.641518,463b1880,55,1,1,0,worker1,0.9332,392,88,468,186
1758259087.3489673,463b1880,60,1,1,0,worker1,0.9028,392,89,469,186
1758259087.818615,463b1880,65,1,1,0,worker1,0.9253,394,89,469,186
1758259088.2615712,463b1880,70,1,1,0,worker1,0.9355,391,90,467,187
1758259088.748663,463b1880,75,1,1,0,worker1,0.9096,390,88,466,186
1758259089.24951,463b1880,80,1,1,0,worker1,0.9203,392,88,468,186
1758259089.9469042,463b1880,85,1,1,0,worker1,0.9313,392,89,468,186
1758259090.6583717,463b1880,90,1,1,0,worker1,0.9315,391,89,467,186
1758259091.283425,463b1880,95,1,1,0,worker1,0.9297,391,89,467,187
1758259092.0343578,463b1880,100,1,1,0,worker1,0.9331,391,89,467,187
1758259092.6350958,463b1880,105,1,1,0,worker1,0.9325,391,89,467,187
1758259093.1962202,463b1880,110,1,1,0,worker1,0.9319,391,89,467,187
1758259093.875227,463b1880,115,1,1,0,worker1,0.9307,392,88,468,187
1758259094.4239862,463b1880,120,1,1,0,worker1,0.9277,392,88,468,187
1758259094.9861565,463b1880,125,1,1,0,worker1,0.9234,392,88,468,186
1758259095.510736,463b1880,130,1,1,0,worker1,0.8814,391,88,468,186
1758259096.2112496,463b1880,135,1,1,0,worker1,0.8839,391,88,468,186
1758259096.680014,463b1880,140,1,1,0,worker1,0.8885,391,88,468,186
1758259097.1340458,463b1880,145,1,1,0,worker1,0.8903,391,88,468,186
1758259097.598055,463b1880,150,1,1,0,worker1,0.8887,391,88,468,186
1758259098.142737,463b1880,155,1,1,0,worker1,0.8936,392,88,468,186
1758259098.7797706,463b1880,160,1,1,0,worker1,0.886,392,88,469,186
1758259099.2421155,463b1880,165,1,1,0,worker1,0.8955,392,88,468,186
1758259099.6629472,463b1880,170,1,1,0,worker1,0.8899,392,88,468,186
1758259100.0809062,463b1880,175,1,1,0,worker1,0.8848,392,88,468,186
1758259100.8252554,463b1880,180,1,1,0,worker1,0.8881,392,89,468,186
