frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,511.64,1729.47,2241.11,0.45,1,1,0
1,100.08,0.12,100.2,9.98,1,1,0
2,69.43,0.11,69.55,14.38,1,1,0
3,73.03,0.12,73.15,13.67,1,1,0
4,69.85,0.11,69.96,14.29,1,1,0
5,338.98,0.12,339.1,2.95,1,1,0
6,75.33,0.11,75.43,13.26,1,1,0
7,88.88,0.22,89.1,11.22,1,1,0
8,75.54,22.59,98.13,10.19,1,1,0
9,73.11,0.21,73.32,13.64,1,1,0
10,454.88,0.11,455.0,2.2,1,1,0
11,93.7,0.28,93.98,10.64,1,1,0
12,71.11,0.12,71.23,14.04,1,1,0
13,75.41,0.12,75.53,13.24,1,1,0
14,72.02,0.11,72.14,13.86,1,1,0
15,350.36,0.11,350.48,2.85,1,1,0
16,74.0,20.39,94.39,10.59,1,1,0
17,66.93,0.1,67.03,14.92,1,1,0
18,71.44,0.1,71.54,13.98,1,1,0
19,67.73,0.1,67.83,14.74,1,1,0
20,337.74,0.22,337.95,2.96,1,1,0
21,77.35,0.22,77.56,12.89,1,1,0
22,70.82,0.21,71.03,14.08,1,1,0
23,74.7,0.22,74.92,13.35,1,1,0
24,71.58,48.19,119.78,8.35,1,1,0
25,424.01,0.21,424.22,2.36,1,1,0
26,77.48,0.22,77.7,12.87,1,1,0
27,71.54,0.23,71.77,13.93,1,1,0
28,74.14,0.17,74.31,13.46,1,1,0
29,70.87,0.13,71.0,14.08,1,1,0
30,322.39,0.11,322.51,3.1,1,1,0
31,77.24,0.13,77.37,12.92,1,1,0
32,68.36,45.95,114.31,8.75,1,1,0
33,77.51,0.13,77.64,12.88,1,1,0
34,69.83,0.12,69.95,14.3,1,1,0
35,285.13,0.12,285.24,3.51,1,1,0
36,93.8,0.28,94.08,10.63,1,1,0
37,72.63,0.19,72.82,13.73,1,1,0
38,75.61,0.21,75.81,13.19,1,1,0
39,71.75,0.23,71.97,13.89,1,1,0
40,320.43,47.72,368.15,2.72,1,1,0
41,79.38,0.24,79.62,12.56,1,1,0
42,71.47,0.15,71.62,13.96,1,1,0
43,74.35,0.25,74.6,13.4,1,1,0
44,72.32,0.12,72.44,13.8,1,1,0
45,367.99,0.22,368.22,2.72,1,1,0
46,76.21,0.18,76.39,13.09,1,1,0
47,70.64,0.22,70.86,14.11,1,1,0
48,75.61,21.73,97.34,10.27,1,1,0
49,72.24,0.16,72.4,13.81,1,1,0
50,521.31,0.2,521.51,1.92,1,1,0
51,76.31,0.22,76.53,13.07,1,1,0
