frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,184.22,1737.85,1922.07,0.52,0,0,0
1,0.67,0.01,0.68,1479.47,0,0,0
2,1.02,0.01,1.03,967.1,0,0,0
3,1.44,0.01,1.45,688.38,0,0,0
4,0.73,0.01,0.74,1357.38,0,0,0
5,811.32,0.01,811.32,1.23,1,1,0
6,11.9,0.01,11.91,83.97,1,1,0
7,12.07,0.01,12.08,82.77,1,1,0
8,12.92,419.9,432.82,2.31,1,1,0
9,30.4,0.11,30.5,32.78,1,1,0
10,284.64,0.15,284.79,3.51,1,1,0
11,13.06,0.11,13.17,75.94,1,1,0
12,12.53,0.15,12.68,78.9,1,1,0
13,12.02,0.09,12.12,82.51,1,1,0
14,11.34,0.09,11.43,87.46,1,1,0
15,282.52,0.1,282.62,3.54,1,1,0
16,11.41,365.06,376.47,2.66,1,1,0
17,12.25,0.06,12.3,81.28,1,1,0
18,13.8,0.06,13.86,72.13,1,1,0
19,11.9,0.1,11.99,83.38,1,1,0
20,285.65,0.06,285.71,3.5,1,1,0
21,12.74,0.07,12.81,78.09,1,1,0
22,14.42,0.06,14.48,69.07,1,1,0
23,16.38,0.06,16.44,60.82,1,1,0
24,13.96,404.79,418.75,2.39,1,1,0
25,284.81,0.05,284.86,3.51,2,2,0
26,19.34,0.05,19.39,51.57,2,2,0
27,19.21,0.06,19.26,51.91,2,2,0
28,32.45,0.06,32.51,30.76,2,2,0
29,26.52,0.07,26.59,37.61,2,2,0
30,413.84,0.05,413.89,2.42,3,3,0
31,29.11,0.06,29.17,34.28,3,3,0
32,34.6,430.41,465.01,2.15,3,3,0
33,37.52,0.06,37.58,26.61,3,3,0
34,35.05,0.08,35.13,28.47,3,3,0
35,345.9,0.05,345.95,2.89,3,3,0
36,33.0,0.08,33.08,30.23,2,2,0
37,23.51,0.05,23.56,42.44,2,2,0
38,26.28,0.06,26.34,37.96,2,2,0
39,25.53,0.05,25.58,39.09,2,2,0
40,327.44,370.31,697.75,1.43,2,2,0
41,25.58,0.06,25.65,38.99,2,2,0
42,29.13,0.07,29.2,34.25,2,2,0
43,28.86,0.06,28.93,34.57,2,2,0
44,28.41,0.06,28.47,35.13,2,2,0
45,307.01,0.06,307.07,3.26,2,2,0
46,24.38,0.06,24.44,40.92,2,2,0
47,25.73,0.06,25.79,38.77,2,2,0
48,25.84,342.57,368.4,2.71,2,2,0
49,26.1,0.13,26.23,38.13,2,2,0
50,270.33,0.1,270.44,3.7,2,2,0
51,24.84,0.21,25.05,39.92,2,2,0
52,22.52,0.11,22.62,44.2,2,2,0
53,24.27,0.11,24.38,41.02,2,2,0
54,25.69,0.11,25.8,38.75,2,2,0
55,467.17,0.26,467.43,2.14,2,2,0
56,22.77,479.26,502.03,1.99,2,2,0
57,32.12,0.15,32.27,30.99,2,2,0
58,25.62,0.12,25.74,38.84,2,2,0
59,24.2,0.11,24.3,41.15,2,2,0
60,787.44,0.27,787.71,1.27,2,2,0
61,32.44,0.26,32.7,30.58,2,2,0
62,23.71,0.11,23.82,41.98,2,2,0
63,23.67,0.14,23.81,42.0,2,2,0
64,26.87,413.25,440.12,2.27,2,2,0
65,316.52,0.11,316.63,3.16,2,2,0
66,27.16,0.12,27.28,36.65,2,2,0
67,26.7,0.11,26.81,37.3,2,2,0
68,25.39,0.15,25.54,39.15,2,2,0
69,27.11,0.16,27.26,36.68,2,2,0
70,327.08,0.1,327.18,3.06,2,2,0
71,23.66,0.11,23.77,42.07,2,2,0
72,24.08,384.01,408.09,2.45,2,2,0
73,22.25,0.11,22.36,44.73,2,2,0
74,22.17,0.11,22.29,44.87,2,2,0
