ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758416952.987259,53dab363,0,1,1,0,anish,0.5316,825,305,1258,893
1758416953.23437,53dab363,1,1,1,0,anish,0.5316,815,308,1240,884
1758416953.403764,53dab363,2,1,1,0,anish,0.5316,803,304,1228,880
1758416953.5469928,53dab363,3,1,1,0,anish,0.5316,801,304,1226,880
1758416953.6828978,53dab363,4,1,1,0,anish,0.5316,798,304,1223,880
1758416953.818999,53dab363,5,1,1,0,anish,0.5316,797,306,1222,882
1758416953.977036,53dab363,6,1,1,0,anish,0.5316,795,307,1220,883
1758416954.086713,53dab363,7,1,1,0,anish,0.5316,793,309,1218,885
1758416954.674123,53dab363,8,1,1,0,anish,0.5316,796,317,1212,882
1758416954.791819,53dab363,9,1,1,0,anish,0.5316,672,333,1088,898
1758416954.907325,53dab363,10,1,1,0,anish,0.5316,633,343,1041,897
1758416955.0181608,53dab363,11,1,1,0,anish,0.5316,600,346,1016,911
1758416955.118491,53dab363,12,1,1,0,anish,0.5316,583,351,999,916
1758416955.2110121,53dab363,13,1,1,0,anish,0.5316,582,358,990,912
1758416955.30713,53dab363,14,1,1,0,anish,0.5316,579,359,987,913
1758416955.407418,53dab363,15,1,1,0,anish,0.5316,578,360,986,914
1758416955.873661,53dab363,16,1,1,0,anish,0.5316,579,361,987,915
1758416955.989986,53dab363,17,1,1,0,anish,0.5316,891,304,1324,892
1758416956.1134279,53dab363,18,1,1,0,anish,0.5316,1092,328,1517,904
1758416956.2120042,53dab363,19,1,1,0,anish,0.5316,1159,336,1592,924
1758416956.339066,53dab363,20,1,1,0,anish,0.5316,1148,334,1590,934
1758416956.448855,53dab363,21,1,1,0,anish,0.5316,1051,306,1493,906
1758416956.558094,53dab363,22,1,1,0,anish,0.5316,911,283,1361,895
1758416956.6883452,53dab363,23,1,1,0,anish,0.5316,714,293,1164,905
1758416957.205484,53dab363,24,1,1,0,anish,0.5316,549,348,991,948
1758416957.31854,53dab363,25,1,1,0,anish,0.5316,461,423,903,1023
1758416957.420081,53dab363,26,1,1,0,anish,0.5316,540,387,965,963
1758416957.510494,53dab363,27,1,1,0,anish,0.5316,547,361,972,937
1758416957.609163,53dab363,28,1,1,0,anish,0.5316,630,334,1046,899
1758416957.709606,53dab363,29,1,1,0,anish,0.5316,730,306,1163,894
1758416957.803861,53dab363,30,1,1,0,anish,0.5316,854,314,1270,879
1758416957.923156,53dab363,31,1,1,0,anish,0.5316,952,303,1385,891
1758416958.390534,53dab363,32,1,1,0,anish,0.5316,1064,319,1497,907
1758416958.509784,53dab363,33,1,1,0,anish,0.5316,954,311,1379,887
1758416958.615665,53dab363,34,1,1,0,anish,0.5316,916,302,1349,890
1758416958.719903,53dab363,35,1,1,0,anish,0.5316,897,300,1330,888
1758416958.806056,53dab363,36,1,1,0,anish,0.5316,885,302,1318,890
1758416958.909694,53dab363,37,1,1,0,anish,0.5316,884,311,1309,887
1758416959.0068312,53dab363,38,1,1,0,anish,0.5316,880,311,1305,887
1758416959.127104,53dab363,39,1,1,0,anish,0.5316,878,312,1303,888
1758416959.6212301,53dab363,40,1,1,0,anish,0.5316,877,311,1302,887
1758416959.7087228,53dab363,41,1,1,0,anish,0.5316,855,322,1263,876
1758416959.8068821,53dab363,42,1,1,0,anish,0.5316,853,324,1253,867
1758416959.915492,53dab363,43,1,1,0,anish,0.5316,850,327,1242,860
1758416960.002408,53dab363,44,1,1,0,anish,0.5316,850,330,1234,852
1758416960.100091,53dab363,45,1,1,0,anish,0.5316,851,333,1228,845
1758416960.194103,53dab363,46,1,1,0,anish,0.5316,853,337,1223,839
1758416960.294878,53dab363,47,1,1,0,anish,0.5316,857,342,1219,834
1758416960.754744,53dab363,48,1,1,0,anish,0.5316,857,342,1219,834
1758416960.83224,53dab363,49,1,1,0,anish,0.5316,856,361,1204,834
1758416960.939146,53dab363,50,1,1,0,anish,0.5316,848,369,1189,833
1758416961.023912,53dab363,51,1,1,0,anish,0.5316,835,389,1170,844
1758416961.117166,53dab363,52,1,1,0,anish,0.5316,829,427,1151,864
1758416961.189748,53dab363,53,1,1,0,anish,0.5316,823,450,1145,887
1758416961.295529,53dab363,54,1,1,0,anish,0.5316,813,476,1141,922
1758416961.400511,53dab363,55,1,1,0,anish,0.5316,812,502,1140,948
1758416961.854344,53dab363,56,1,1,0,anish,0.5316,808,519,1143,974
1758416961.9249659,53dab363,57,1,1,0,anish,0.5316,785,511,1126,975
1758416962.030113,53dab363,58,1,1,0,anish,0.5316,775,493,1130,975
1758416962.131584,53dab363,59,1,1,0,anish,0.5316,768,470,1130,962
1758416962.226026,53dab363,60,1,1,0,anish,0.5316,782,453,1137,935
1758416962.334502,53dab363,61,1,1,0,anish,0.5316,796,426,1173,938
1758416962.43564,53dab363,62,1,1,0,anish,0.5316,816,405,1200,927
1758416962.537452,53dab363,63,1,1,0,anish,0.5316,823,392,1215,925
1758416962.9825149,53dab363,64,1,1,0,anish,0.5316,827,382,1227,925
1758416963.083159,53dab363,65,1,1,0,anish,0.5316,823,386,1215,919
1758416963.178949,53dab363,66,1,1,0,anish,0.5316,820,384,1212,917
1758416963.267763,53dab363,67,1,1,0,anish,0.5316,821,387,1205,909
1758416963.3701031,53dab363,68,1,1,0,anish,0.5316,819,386,1203,908
1758416963.4686332,53dab363,69,1,1,0,anish,0.5316,817,386,1201,908
1758416963.571748,53dab363,70,1,1,0,anish,0.5316,815,386,1199,908
1758416963.668154,53dab363,71,1,1,0,anish,0.5316,814,385,1198,907
1758416964.104535,53dab363,72,1,1,0,anish,0.5316,813,385,1197,907
1758416964.203083,53dab363,73,1,1,0,anish,0.5316,818,449,1195,961
1758416964.302944,53dab363,74,1,1,0,anish,0.5316,819,462,1181,954
1758416964.395819,53dab363,75,1,1,0,anish,0.5316,816,462,1178,954
1758416964.501771,53dab363,76,1,1,0,anish,0.5316,815,459,1177,951
1758416964.594953,53dab363,77,1,1,0,anish,0.5316,812,448,1182,950
1758416964.699486,53dab363,78,1,1,0,anish,0.5316,812,443,1182,945
1758416964.792452,53dab363,79,1,1,0,anish,0.5316,811,438,1181,940
1758416965.2598941,53dab363,80,1,1,0,anish,0.5316,811,434,1181,936
1758416965.371077,53dab363,81,1,1,0,anish,0.5316,805,410,1182,922
1758416965.466093,53dab363,82,1,1,0,anish,0.5316,818,402,1195,914
1758416965.570483,53dab363,83,1,1,0,anish,0.5316,837,385,1229,918
1758416965.677539,53dab363,84,1,1,0,anish,0.5316,864,368,1272,922
1758416965.788026,53dab363,85,1,1,0,anish,0.5316,885,345,1318,933
1758416965.887168,53dab363,86,1,1,0,anish,0.5316,913,342,1346,930
1758416966.0060842,53dab363,87,1,1,0,anish,0.5316,928,323,1378,935
1758416966.6845849,53dab363,88,1,1,0,anish,0.5316,947,307,1416,943
1758416966.821791,53dab363,89,1,1,0,anish,0.5316,923,299,1392,935
1758416967.248584,53dab363,90,1,1,0,anish,0.4784,909,351,1339,877
1758416967.34597,53dab363,91,1,1,0,anish,0.4784,893,356,1315,872
1758416967.4558551,53dab363,92,1,1,0,anish,0.4784,887,355,1309,871
1758416967.542497,53dab363,93,1,1,0,anish,0.4784,885,359,1298,865
1758416967.646454,53dab363,94,1,1,0,anish,0.4784,885,363,1290,859
1758416967.731366,53dab363,95,1,1,0,anish,0.4784,879,362,1284,858
1758416968.208931,53dab363,96,1,1,0,anish,0.4784,878,365,1275,851
1758416968.330328,53dab363,97,1,1,0,anish,0.4784,832,352,1237,848
1758416968.440348,53dab363,98,1,1,0,anish,0.4784,826,353,1223,839
1758416968.5402298,53dab363,99,1,1,0,anish,0.4784,818,354,1207,830
1758416968.6312819,53dab363,100,1,1,0,anish,0.4784,818,359,1192,817
1758416968.74473,53dab363,101,1,1,0,anish,0.4784,796,338,1193,824
1758416968.8277671,53dab363,102,1,1,0,anish,0.4784,786,336,1191,832
1758416968.94693,53dab363,103,1,1,0,anish,0.4784,770,333,1183,839
