frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,534.01,537.96,1071.97,0.93,1,1,0
1,200.29,0.34,200.63,4.98,1,1,0
2,136.23,0.51,136.73,7.31,1,1,0
3,112.57,0.41,112.98,8.85,1,1,0
4,120.35,0.65,121.01,8.26,1,1,0
5,120.11,0.4,120.5,8.3,1,1,0
6,99.16,14.37,113.53,8.81,1,1,0
7,92.18,0.27,92.45,10.82,1,1,0
8,87.66,455.11,542.77,1.84,1,1,0
9,94.83,0.25,95.08,10.52,1,1,0
10,78.02,0.3,78.32,12.77,1,1,0
11,87.42,0.37,87.79,11.39,1,1,0
12,90.31,0.23,90.53,11.05,1,1,0
13,83.59,0.2,83.79,11.93,1,1,0
14,78.62,0.21,78.83,12.69,1,1,0
15,79.74,0.19,79.93,12.51,1,1,0
16,82.86,361.77,444.63,2.25,1,1,0
17,95.16,0.29,95.45,10.48,1,1,0
18,82.72,0.25,82.97,12.05,1,1,0
19,84.51,0.19,84.7,11.81,1,1,0
20,111.25,0.28,111.53,8.97,1,1,0
21,86.03,0.2,86.23,11.6,1,1,0
22,95.34,0.22,95.56,10.46,1,1,0
23,90.02,0.23,90.25,11.08,1,1,0
24,100.29,373.91,474.2,2.11,1,1,0
25,87.77,0.2,87.97,11.37,1,1,0
26,90.19,0.23,90.42,11.06,1,1,0
27,81.3,0.2,81.5,12.27,1,1,0
28,81.15,0.22,81.37,12.29,1,1,0
29,81.32,0.21,81.53,12.27,1,1,0
30,75.64,0.17,75.81,13.19,1,1,0
31,91.96,0.36,92.32,10.83,1,1,0
32,82.57,343.31,425.87,2.35,1,1,0
33,79.03,0.22,79.25,12.62,1,1,0
34,86.64,0.23,86.87,11.51,1,1,0
35,86.14,0.22,86.36,11.58,1,1,0
36,76.06,0.23,76.29,13.11,1,1,0
37,73.42,0.27,73.69,13.57,1,1,0
38,77.94,0.22,78.15,12.8,1,1,0
39,94.0,0.26,94.26,10.61,1,1,0
40,85.67,371.53,457.2,2.19,1,1,0
41,77.88,0.23,78.11,12.8,1,1,0
42,76.05,0.21,76.26,13.11,1,1,0
43,80.85,0.24,81.09,12.33,1,1,0
44,72.71,0.21,72.92,13.71,1,1,0
45,68.6,0.19,68.79,14.54,1,1,0
46,62.09,0.18,62.27,16.06,1,1,0
47,64.13,0.2,64.32,15.55,1,1,0
48,59.95,359.77,419.71,2.38,1,1,0
49,68.04,0.23,68.28,14.65,1,1,0
50,73.09,0.21,73.3,13.64,1,1,0
51,59.67,0.19,59.85,16.71,1,1,0
52,51.28,0.24,51.52,19.41,1,1,0
53,59.87,0.23,60.1,16.64,1,1,0
54,64.85,0.26,65.11,15.36,1,1,0
55,68.34,0.21,68.55,14.59,1,1,0
56,66.66,356.9,423.56,2.36,1,1,0
57,58.5,0.22,58.72,17.03,1,1,0
58,63.77,0.29,64.06,15.61,1,1,0
59,63.65,0.32,63.97,15.63,1,1,0
60,59.31,0.23,59.53,16.8,1,1,0
61,65.11,0.23,65.34,15.3,1,1,0
62,66.38,0.26,66.64,15.01,1,1,0
63,68.77,0.21,68.98,14.5,1,1,0
64,72.9,342.48,415.38,2.41,1,1,0
65,85.07,0.3,85.37,11.71,1,1,0
66,80.12,0.21,80.32,12.45,1,1,0
67,70.18,0.2,70.38,14.21,1,1,0
68,69.35,0.21,69.56,14.38,1,1,0
69,68.99,0.24,69.22,14.45,1,1,0
70,71.39,0.22,71.61,13.97,1,1,0
71,68.25,0.21,68.45,14.61,1,1,0
72,62.92,341.43,404.35,2.47,1,1,0
73,66.36,0.2,66.56,15.02,1,1,0
74,62.51,0.21,62.72,15.94,1,1,0
75,60.81,0.25,61.06,16.38,1,1,0
76,65.0,0.2,65.2,15.34,1,1,0
77,58.54,0.24,58.78,17.01,1,1,0
78,64.92,0.24,65.16,15.35,1,1,0
79,56.74,0.28,57.02,17.54,1,1,0
80,64.9,357.51,422.41,2.37,1,1,0
81,69.13,0.22,69.35,14.42,1,1,0
82,62.08,0.3,62.38,16.03,1,1,0
83,67.45,0.19,67.64,14.78,1,1,0
84,75.96,0.41,76.36,13.1,1,1,0
85,85.77,0.2,85.97,11.63,1,1,0
