frame_idx,class,x1,y1,x2,y2
0,NO-Mask,770,301,1278,932
8,NO-Mask,744,292,1246,941
16,NO-Mask,553,336,1098,956
24,NO-Mask,532,336,1080,957
32,NO-Mask,939,242,1499,970
32,NO-Hardhat,938,242,1500,969
40,NO-Mask,822,296,1323,928
48,NO-Mask,810,334,1244,964
56,NO-Mask,744,440,1210,987
56,NO-Hardhat,742,435,1211,988
64,NO-Mask,778,360,1257,965
72,NO-Mask,761,365,1235,956
80,NO-Mask,751,369,1231,972
88,NO-Mask,853,248,1353,969
88,NO-Hardhat,851,238,1355,984
96,NO-Mask,829,297,1311,987
104,NO-Mask,758,328,1219,994
112,NO-Mask,911,258,1395,977
120,Person,852,339,1920,1080
120,NO-Mask,1654,2,1920,399
120,NO-Hardhat,0,341,331,869
120,NO-Hardhat,1653,0,1919,391
120,Mask,0,334,339,869
128,NO-Mask,1620,1,1920,547
128,NO-Hardhat,1621,3,1920,549
144,Mask,475,502,898,937
152,NO-Hardhat,196,270,673,857
160,Mask,283,314,737,878
160,NO-Hardhat,281,263,753,881
176,NO-Hardhat,341,441,747,864
200,NO-Hardhat,709,414,1029,787
208,NO-Mask,1556,15,1919,636
208,NO-Hardhat,1559,16,1918,640
208,NO-Hardhat,315,538,622,870
216,NO-Mask,1124,2,1563,549
224,NO-Mask,1097,125,1509,639
232,NO-Mask,1073,173,1483,668
232,NO-Hardhat,1074,173,1483,668
240,NO-Mask,1051,172,1460,688
248,NO-Mask,1048,178,1455,693
248,NO-Hardhat,377,661,596,902
256,NO-Mask,1039,185,1447,693
256,NO-Hardhat,1035,156,1448,694
256,NO-Hardhat,370,666,579,902
264,NO-Mask,1032,188,1443,696
264,NO-Hardhat,1030,145,1445,696
272,NO-Mask,1021,207,1424,700
272,NO-Hardhat,410,681,609,911
280,NO-Mask,1010,190,1417,694
280,NO-Hardhat,1010,142,1420,695
288,NO-Mask,1004,173,1409,679
296,NO-Mask,1001,164,1408,666
304,NO-Mask,1027,70,1431,578
312,NO-Mask,999,118,1396,625
320,NO-Mask,988,126,1390,627
320,NO-Hardhat,302,641,521,890
328,NO-Mask,980,128,1379,631
336,NO-Mask,971,127,1369,647
336,NO-Hardhat,971,115,1373,651
336,NO-Hardhat,306,636,543,888
344,NO-Mask,969,130,1370,648
344,NO-Hardhat,969,96,1374,653
344,NO-Hardhat,309,636,543,882
352,NO-Mask,966,127,1368,636
360,NO-Mask,1138,731,1348,958
360,NO-Hardhat,1135,727,1357,960
376,NO-Hardhat,1624,633,1902,911
384,NO-Hardhat,1456,639,1704,904
400,NO-Hardhat,1165,658,1383,901
408,NO-Mask,1701,222,1918,788
408,NO-Hardhat,1701,221,1919,787
416,NO-Mask,1107,122,1518,635
416,NO-Hardhat,116,577,369,843
416,NO-Mask,112,575,368,842
416,NO-Safety Vest,761,609,1917,1077
424,NO-Mask,1182,138,1601,649
424,NO-Hardhat,218,567,464,828
432,NO-Mask,1273,127,1719,656
432,NO-Hardhat,315,544,557,810
440,NO-Mask,1175,37,1631,631
440,NO-Hardhat,306,540,544,805
440,NO-Mask,307,548,536,803
448,NO-Mask,1132,2,1692,622
456,NO-Mask,761,4,1432,610
464,NO-Mask,872,53,1433,877
472,NO-Mask,863,83,1400,824
480,NO-Mask,860,70,1395,802
488,NO-Mask,823,128,1324,753
488,NO-Hardhat,821,130,1323,765
496,NO-Mask,817,124,1328,738
496,NO-Hardhat,815,124,1327,752
504,NO-Mask,822,124,1328,734
504,NO-Hardhat,823,120,1330,730
512,NO-Mask,829,123,1331,740
512,NO-Hardhat,829,122,1332,735
520,NO-Mask,831,126,1331,732
520,NO-Hardhat,831,129,1331,732
528,NO-Mask,836,121,1350,748
528,NO-Hardhat,835,123,1349,744
536,NO-Mask,908,114,1407,809
544,NO-Mask,830,112,1342,818
552,NO-Mask,694,129,1231,798
560,NO-Mask,952,90,1491,868
568,NO-Mask,876,95,1385,792
576,NO-Mask,864,189,1392,891
584,NO-Mask,887,110,1385,842
592,NO-Mask,869,114,1380,806
600,NO-Mask,852,146,1373,830
608,NO-Mask,864,139,1379,821
616,NO-Mask,865,126,1379,813
624,NO-Mask,863,132,1377,859
632,NO-Mask,859,121,1374,825
640,NO-Mask,862,124,1376,795
