ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758357390.117483,56bb52f6,0,1,1,0,worker1,0.9143,391,89,466,182
1758357390.158049,56bb52f6,1,1,1,0,worker1,0.9143,391,89,466,182
1758357390.428925,56bb52f6,2,1,1,0,worker1,0.9157,391,89,467,182
1758357390.454678,56bb52f6,3,1,1,0,worker1,0.9157,391,89,467,182
1758357390.6856608,56bb52f6,4,1,1,0,worker1,0.9078,392,89,467,182
1758357390.701866,56bb52f6,5,1,1,0,worker1,0.9078,392,89,467,182
1758357390.9180312,56bb52f6,6,1,1,0,worker1,0.9219,392,89,467,182
1758357390.935429,56bb52f6,7,1,1,0,worker1,0.9219,392,89,467,182
1758357391.5125902,56bb52f6,8,1,1,0,worker1,0.9228,392,89,468,182
1758357391.533715,56bb52f6,9,1,1,0,worker1,0.9228,392,89,468,182
1758357391.74206,56bb52f6,10,1,1,0,worker1,0.9235,393,90,468,182
1758357391.758622,56bb52f6,11,1,1,0,worker1,0.9235,394,92,466,180
1758357391.948631,56bb52f6,12,1,1,0,worker1,0.9178,393,90,468,182
1758357391.96684,56bb52f6,13,1,1,0,worker1,0.9178,393,90,468,182
1758357392.1843588,56bb52f6,14,1,1,0,worker1,0.9273,393,90,469,182
1758357392.201162,56bb52f6,15,1,1,0,worker1,0.9273,394,92,467,180
1758357392.78721,56bb52f6,16,1,1,0,worker1,0.9311,393,90,469,182
1758357392.8037639,56bb52f6,17,1,1,0,worker1,0.9311,393,90,469,182
1758357393.0075421,56bb52f6,18,1,1,0,worker1,0.9337,394,90,469,182
1758357393.026154,56bb52f6,19,1,1,0,worker1,0.9337,392,88,470,184
1758357393.248692,56bb52f6,20,1,1,0,worker1,0.9372,394,91,470,182
1758357393.264863,56bb52f6,21,1,1,0,worker1,0.9372,394,91,470,182
1758357393.570911,56bb52f6,22,1,1,0,worker1,0.9362,394,90,470,182
1758357393.5889869,56bb52f6,23,1,1,0,worker1,0.9362,394,90,470,182
1758357394.117152,56bb52f6,24,1,1,0,worker1,0.9354,394,90,470,182
1758357394.133127,56bb52f6,25,1,1,0,worker1,0.9354,395,91,470,181
1758357394.3197188,56bb52f6,26,1,1,0,worker1,0.9436,394,90,470,182
1758357394.3354251,56bb52f6,27,1,1,0,worker1,0.9436,394,90,470,182
1758357394.5122502,56bb52f6,28,1,1,0,worker1,0.9387,394,90,470,182
1758357394.527838,56bb52f6,29,1,1,0,worker1,0.9387,394,90,470,182
1758357394.735991,56bb52f6,30,1,1,0,worker1,0.9441,394,90,470,182
1758357394.752274,56bb52f6,31,1,1,0,worker1,0.9441,394,90,470,182
1758357395.313828,56bb52f6,32,1,1,0,worker1,0.9441,394,90,469,183
1758357395.3304179,56bb52f6,33,1,1,0,worker1,0.9441,394,90,469,183
