frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,411.96,473.51,885.47,1.13,1,1,0
1,34.43,0.3,34.73,28.79,1,1,0
2,265.74,0.22,265.96,3.76,1,1,0
3,23.2,0.17,23.38,42.78,1,1,0
4,229.4,0.15,229.55,4.36,1,1,0
5,14.54,0.14,14.68,68.11,1,1,0
6,214.61,0.17,214.78,4.66,1,1,0
7,15.76,0.13,15.9,62.9,1,1,0
8,226.78,349.07,575.85,1.74,1,1,0
9,19.51,0.13,19.64,50.91,1,1,0
10,206.94,0.16,207.1,4.83,1,1,0
11,15.01,0.15,15.15,65.99,1,1,0
12,188.58,0.16,188.74,5.3,1,1,0
13,16.64,0.15,16.8,59.52,1,1,0
14,216.03,0.16,216.19,4.63,1,1,0
15,15.34,0.17,15.51,64.47,1,1,0
16,226.77,357.92,584.68,1.71,1,1,0
17,14.96,0.14,15.11,66.2,1,1,0
18,202.16,0.18,202.35,4.94,1,1,0
19,17.13,0.17,17.3,57.82,1,1,0
20,220.03,0.15,220.19,4.54,1,1,0
21,14.69,0.13,14.82,67.49,1,1,0
22,304.57,0.17,304.73,3.28,1,1,0
23,16.38,0.16,16.54,60.44,1,1,0
24,201.86,324.83,526.69,1.9,1,1,0
25,14.25,0.13,14.38,69.52,1,1,0
26,185.11,0.16,185.27,5.4,1,1,0
27,14.21,0.13,14.34,69.74,1,1,0
28,175.45,0.15,175.6,5.69,1,1,0
29,14.22,0.11,14.33,69.77,1,1,0
30,206.75,0.2,206.95,4.83,1,1,0
31,14.8,0.13,14.93,66.97,1,1,0
32,215.5,344.56,560.06,1.79,1,1,0
33,14.97,0.12,15.1,66.24,1,1,0
34,205.82,0.15,205.97,4.86,1,1,0
35,19.1,0.12,19.23,52.02,1,1,0
36,201.41,0.16,201.57,4.96,1,1,0
37,15.54,0.17,15.71,63.65,1,1,0
38,192.24,0.17,192.41,5.2,1,1,0
39,20.52,0.13,20.65,48.42,1,1,0
40,201.39,350.54,551.93,1.81,1,1,0
41,19.93,0.15,20.07,49.82,1,1,0
42,191.88,0.15,192.04,5.21,1,1,0
43,15.12,0.12,15.24,65.62,1,1,0
44,184.14,0.15,184.28,5.43,1,1,0
45,16.2,0.14,16.34,61.2,1,1,0
46,183.99,0.17,184.16,5.43,1,1,0
47,14.32,0.13,14.44,69.23,1,1,0
48,187.41,318.48,505.89,1.98,1,1,0
49,14.66,0.12,14.78,67.67,1,1,0
50,183.36,0.15,183.51,5.45,1,1,0
51,14.39,0.11,14.51,68.92,1,1,0
52,179.45,0.14,179.59,5.57,1,1,0
53,14.5,0.12,14.62,68.38,1,1,0
54,176.43,0.15,176.58,5.66,1,1,0
55,15.09,0.14,15.23,65.66,1,1,0
56,179.8,345.51,525.31,1.9,1,1,0
57,15.02,0.16,15.18,65.88,1,1,0
58,194.6,0.15,194.75,5.13,1,1,0
59,19.35,0.12,19.47,51.36,1,1,0
60,196.29,0.16,196.45,5.09,1,1,0
61,13.92,0.12,14.04,71.21,1,1,0
62,189.95,0.17,190.12,5.26,1,1,0
63,15.35,0.13,15.48,64.6,1,1,0
64,185.81,330.15,515.95,1.94,1,1,0
65,20.87,0.17,21.05,47.51,1,1,0
66,213.86,0.17,214.03,4.67,1,1,0
67,19.43,0.13,19.56,51.13,1,1,0
68,218.16,0.16,218.33,4.58,1,1,0
69,15.21,0.17,15.38,65.04,1,1,0
70,201.2,0.16,201.36,4.97,1,1,0
71,15.8,0.16,15.97,62.63,1,1,0
72,191.89,338.02,529.91,1.89,1,1,0
73,15.12,0.14,15.26,65.51,1,1,0
74,187.56,0.15,187.71,5.33,1,1,0
75,15.16,0.13,15.29,65.4,1,1,0
76,214.61,0.15,214.76,4.66,1,1,0
77,14.86,0.12,14.97,66.79,1,1,0
78,185.32,0.15,185.46,5.39,1,1,0
79,15.56,0.13,15.69,63.75,1,1,0
80,211.37,324.63,536.0,1.87,1,1,0
81,14.79,0.13,14.92,67.04,1,1,0
82,203.09,0.14,203.23,4.92,1,1,0
83,19.95,0.12,20.06,49.85,1,1,0
84,185.25,0.16,185.4,5.39,1,1,0
85,20.82,0.14,20.96,47.71,1,1,0
86,181.28,0.15,181.43,5.51,1,1,0
87,15.72,0.12,15.84,63.14,1,1,0
88,183.25,333.84,517.09,1.93,1,1,0
89,16.08,0.15,16.24,61.59,1,1,0
90,199.54,0.15,199.69,5.01,1,1,0
91,21.17,0.14,21.31,46.93,1,1,0
92,204.81,0.14,204.95,4.88,1,1,0
93,20.79,0.12,20.91,47.82,1,1,0
94,196.96,0.17,197.13,5.07,1,1,0
95,20.77,0.15,20.92,47.8,1,1,0
96,199.07,331.58,530.66,1.88,1,1,0
97,15.67,0.13,15.8,63.28,1,1,0
98,221.67,0.44,222.11,4.5,1,1,0
99,15.59,0.29,15.89,62.94,1,1,0
100,222.32,0.18,222.5,4.49,1,1,0
101,15.36,0.16,15.52,64.42,1,1,0
102,194.69,0.17,194.86,5.13,1,1,0
103,17.27,0.16,17.43,57.38,1,1,0
104,191.04,377.04,568.08,1.76,1,1,0
105,14.29,0.14,14.44,69.28,1,1,0
106,186.86,0.17,187.03,5.35,1,1,0
107,15.11,0.12,15.24,65.63,1,1,0
108,191.28,0.16,191.44,5.22,1,1,0
109,14.6,0.15,14.74,67.84,1,1,0
110,192.8,0.15,192.95,5.18,1,1,0
111,20.79,0.15,20.93,47.77,1,1,0
112,189.83,339.9,529.73,1.89,1,1,0
113,19.62,0.13,19.75,50.63,1,1,0
114,184.39,0.14,184.53,5.42,1,1,0
115,20.13,0.11,20.24,49.41,1,1,0
116,190.0,0.21,190.2,5.26,1,1,0
117,21.65,0.16,21.81,45.85,1,1,0
118,187.97,0.16,188.13,5.32,1,1,0
119,20.61,0.12,20.73,48.24,1,1,0
120,189.79,321.08,510.87,1.96,1,1,0
121,19.46,0.13,19.58,51.06,1,1,0
122,189.6,0.15,189.76,5.27,1,1,0
123,14.41,0.11,14.52,68.85,1,1,0
124,199.65,0.16,199.8,5.0,1,1,0
125,16.46,0.19,16.64,60.09,1,1,0
126,228.95,0.15,229.1,4.36,1,1,0
127,15.15,0.13,15.28,65.46,1,1,0
128,193.55,329.2,522.75,1.91,1,1,0
129,14.62,0.13,14.76,67.77,1,1,0
130,206.35,0.17,206.52,4.84,1,1,0
131,20.4,0.13,20.53,48.7,1,1,0
132,196.91,0.14,197.05,5.07,1,1,0
133,20.14,0.13,20.27,49.33,1,1,0
134,198.22,0.16,198.38,5.04,1,1,0
135,21.19,0.12,21.31,46.94,1,1,0
136,197.31,330.94,528.25,1.89,1,1,0
137,20.2,0.15,20.34,49.16,1,1,0
138,193.1,0.27,193.36,5.17,1,1,0
139,21.22,0.14,21.36,46.82,1,1,0
140,187.97,0.16,188.13,5.32,1,1,0
141,21.0,0.12,21.12,47.36,1,1,0
142,198.59,0.16,198.75,5.03,1,1,0
143,21.45,0.15,21.6,46.29,1,1,0
144,221.11,332.09,553.21,1.81,1,1,0
145,21.56,0.16,21.73,46.03,1,1,0
146,210.28,0.17,210.44,4.75,1,1,0
147,21.93,0.17,22.1,45.25,1,1,0
148,209.66,0.15,209.82,4.77,1,1,0
149,20.57,0.13,20.69,48.32,1,1,0
150,233.43,0.14,233.57,4.28,1,1,0
151,20.41,0.13,20.54,48.69,1,1,0
152,220.55,358.02,578.57,1.73,1,1,0
153,15.89,0.15,16.04,62.35,1,1,0
154,200.83,0.16,200.99,4.98,1,1,0
155,15.74,0.16,15.9,62.91,1,1,0
156,214.97,0.18,215.15,4.65,1,1,0
157,22.36,0.15,22.51,44.42,1,1,0
158,200.5,0.15,200.65,4.98,1,1,0
159,20.81,0.14,20.94,47.74,1,1,0
160,198.55,327.52,526.07,1.9,1,1,0
161,20.11,0.14,20.25,49.37,1,1,0
162,219.1,0.17,219.27,4.56,1,1,0
163,22.69,0.17,22.86,43.75,1,1,0
164,221.6,0.16,221.75,4.51,1,1,0
165,16.02,0.15,16.17,61.84,1,1,0
166,219.31,0.15,219.45,4.56,1,1,0
167,15.3,0.14,15.44,64.77,1,1,0
168,203.73,328.98,532.72,1.88,1,1,0
169,16.63,0.25,16.88,59.23,1,1,0
170,213.74,0.16,213.9,4.68,1,1,0
171,15.34,0.11,15.45,64.71,1,1,0
172,191.16,0.17,191.33,5.23,1,1,0
173,16.28,0.12,16.4,60.98,1,1,0
174,189.01,0.15,189.16,5.29,1,1,0
175,16.16,0.12,16.27,61.46,1,1,0
176,195.47,350.78,546.25,1.83,1,1,0
177,16.51,0.17,16.67,59.97,1,1,0
178,194.96,0.17,195.13,5.12,1,1,0
179,15.52,0.15,15.67,63.8,1,1,0
180,188.84,0.18,189.01,5.29,1,1,0
181,15.62,0.12,15.74,63.52,1,1,0
182,187.69,0.17,187.85,5.32,1,1,0
183,15.33,0.12,15.45,64.71,1,1,0
184,190.97,322.92,513.88,1.95,1,1,0
