ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758344230.764801,56bd0feb,0,1,1,0,anish,0.4226,992,179,1440,792
1758344232.266413,56bd0feb,5,1,1,0,anish,0.5201,947,160,1411,773
1758344233.193334,56bd0feb,10,1,1,0,anish,0.5056,901,162,1383,791
1758344233.6377301,56bd0feb,15,2,1,0,anish,0.5466,996,112,1482,752
1758344233.6377301,56bd0feb,15,2,1,0,anish,0.5466,781,212,1280,810
1758344234.542378,56bd0feb,20,2,1,0,anish,0.5167,839,150,1325,790
1758344234.542378,56bd0feb,20,2,1,0,anish,0.5167,647,277,1160,845
1758344235.372879,56bd0feb,25,2,1,0,anish,0.5016,785,196,1287,808
1758344235.372879,56bd0feb,25,2,1,0,anish,0.5016,602,308,1142,884
1758344235.923628,56bd0feb,30,2,1,0,anish,0.5302,1074,178,1544,789
1758344235.923628,56bd0feb,30,2,1,0,anish,0.5302,602,308,1142,884
1758344236.814241,56bd0feb,35,2,1,0,anish,0.5019,857,213,1332,826
1758344236.814241,56bd0feb,35,2,1,0,anish,0.5019,602,308,1142,884
1758344237.250325,56bd0feb,40,2,1,0,anish,0.5503,774,251,1288,859
1758344237.250325,56bd0feb,40,2,1,0,anish,0.5503,611,299,1151,875
1758344238.174619,56bd0feb,45,2,1,0,anish,0.5327,852,217,1331,823
1758344238.174619,56bd0feb,45,2,1,0,anish,0.5327,602,308,1142,884
1758344239.100744,56bd0feb,50,2,1,0,anish,0.5246,857,209,1332,818
1758344239.100744,56bd0feb,50,2,1,0,anish,0.5246,602,308,1142,884
1758344239.645525,56bd0feb,55,2,1,0,anish,0.5289,859,210,1336,819
1758344239.645525,56bd0feb,55,2,1,0,anish,0.5289,602,308,1142,884
1758344241.010475,56bd0feb,60,2,1,0,anish,0.495,811,214,1309,820
1758344241.010475,56bd0feb,60,2,1,0,anish,0.495,602,308,1142,884
1758344242.03141,56bd0feb,65,2,1,0,anish,0.5142,792,157,1292,782
1758344242.03141,56bd0feb,65,2,1,0,anish,0.5142,600,301,1128,870
1758344242.520608,56bd0feb,70,2,1,0,anish,0.487,970,81,1470,706
1758344242.520608,56bd0feb,70,2,1,0,anish,0.487,738,199,1246,814
1758344243.5115452,56bd0feb,75,2,1,0,anish,0.587,1024,92,1524,717
1758344243.5115452,56bd0feb,75,2,1,0,anish,0.587,1002,167,1446,770
1758344244.072428,56bd0feb,80,2,1,0,anish,0.5727,1023,91,1523,716
1758344244.072428,56bd0feb,80,2,1,0,anish,0.5727,1000,167,1442,769
1758344244.996214,56bd0feb,85,2,1,0,anish,0.5571,1008,93,1508,718
1758344244.996214,56bd0feb,85,2,1,0,anish,0.5571,988,164,1432,770
1758344245.861172,56bd0feb,90,2,1,0,anish,0.545,996,96,1496,721
1758344245.861172,56bd0feb,90,2,1,0,anish,0.545,982,164,1423,772
1758344246.3589609,56bd0feb,95,2,1,0,anish,0.5529,1000,98,1500,723
1758344246.3589609,56bd0feb,95,2,1,0,anish,0.5529,986,161,1428,775
1758344247.416852,56bd0feb,100,2,1,0,anish,0.5517,1280,61,1780,686
1758344247.416852,56bd0feb,100,2,1,0,anish,0.5517,1167,191,1676,793
1758344248.339576,56bd0feb,105,2,1,0,anish,0.5705,1255,45,1755,670
1758344248.339576,56bd0feb,105,2,1,0,anish,0.5705,1164,190,1646,778
1758344248.913694,56bd0feb,110,2,1,0,anish,0.5391,1173,35,1673,660
1758344248.913694,56bd0feb,110,2,1,0,anish,0.5391,1115,172,1575,757
1758344249.969623,56bd0feb,115,3,1,0,anish,0.544,1232,-5,1732,619
1758344249.969623,56bd0feb,115,3,1,0,anish,0.544,1164,121,1644,721
1758344249.969623,56bd0feb,115,3,1,0,anish,0.544,1068,237,1404,658
1758344250.5306711,56bd0feb,120,3,1,0,anish,0.5542,1111,75,1611,700
1758344250.5306711,56bd0feb,120,3,1,0,anish,0.5542,1041,205,1521,805
1758344250.5306711,56bd0feb,120,3,1,0,anish,0.5542,970,315,1301,731
1758344251.538391,56bd0feb,125,3,1,0,anish,0.5343,1095,78,1595,703
1758344251.538391,56bd0feb,125,3,1,0,anish,0.5343,852,352,1221,788
1758344251.538391,56bd0feb,125,3,1,0,anish,0.5343,999,322,1359,754
1758344252.5997171,56bd0feb,130,3,1,0,anish,0.4882,1136,87,1636,712
1758344252.5997171,56bd0feb,130,3,1,0,anish,0.4882,901,336,1275,794
1758344252.5997171,56bd0feb,130,3,1,0,anish,0.4882,1062,324,1422,756
1758344253.146833,56bd0feb,135,3,1,0,anish,0.5108,1189,35,1689,660
1758344253.146833,56bd0feb,135,3,1,0,anish,0.5108,918,239,1323,772
1758344253.146833,56bd0feb,135,3,1,0,anish,0.5108,1130,265,1490,697
1758344254.144757,56bd0feb,140,3,1,0,anish,0.5195,1193,17,1693,642
1758344254.144757,56bd0feb,140,3,1,0,anish,0.5195,960,183,1382,760
1758344254.144757,56bd0feb,140,3,1,0,anish,0.5195,1212,239,1572,671
1758344255.220526,56bd0feb,145,3,1,0,anish,0.5257,1191,17,1691,642
1758344255.220526,56bd0feb,145,3,1,0,anish,0.5257,960,187,1392,770
1758344255.220526,56bd0feb,145,3,1,0,anish,0.5257,1219,251,1579,683
1758344255.804713,56bd0feb,150,3,1,0,anish,0.5373,1194,14,1694,639
1758344255.804713,56bd0feb,150,3,1,0,anish,0.5373,967,188,1398,764
1758344255.804713,56bd0feb,150,3,1,0,anish,0.5373,1225,249,1585,681
