frame_idx,class,x1,y1,x2,y2
0,NO-Hardhat,943,202,1481,810
8,NO-Hardhat,900,152,1438,811
16,NO-Hardhat,681,211,1298,867
32,NO-Mask,1010,168,1611,817
32,NO-Hardhat,1013,166,1612,817
40,NO-Hardhat,742,222,1366,891
48,NO-Hardhat,817,184,1389,852
56,NO-Hardhat,815,186,1389,851
64,Mask,595,283,1200,891
72,NO-Mask,867,150,1412,807
72,NO-Hardhat,865,151,1410,808
80,NO-Hardhat,927,151,1491,822
80,NO-Mask,930,147,1489,824
88,NO-Mask,911,148,1476,830
88,NO-Hardhat,912,147,1475,829
96,NO-Mask,958,156,1541,817
96,NO-Hardhat,959,156,1542,816
104,NO-Hardhat,1112,164,1714,806
112,NO-Hardhat,1067,176,1594,838
112,NO-Mask,1068,174,1591,831
120,NO-Hardhat,939,285,1324,786
120,NO-Mask,942,289,1324,784
128,NO-Hardhat,813,341,1256,826
136,NO-Hardhat,887,214,1382,815
136,NO-Mask,888,212,1381,817
144,NO-Mask,933,178,1445,808
144,NO-Hardhat,933,179,1444,808
152,NO-Hardhat,920,181,1423,801
152,NO-Mask,922,177,1423,801
