ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758344028.536188,5c37d360,0,1,1,0,anish,0.3552,1012,193,1419,799
1758344030.833598,5c37d360,5,1,1,0,anish,0.5489,925,165,1350,748
1758344031.705997,5c37d360,10,1,1,0,anish,0.5416,882,176,1321,760
1758344032.155877,5c37d360,15,1,1,0,anish,0.5754,846,174,1293,775
1758344033.0812201,5c37d360,20,1,1,0,anish,0.522,800,218,1264,808
1758344034.006156,5c37d360,25,1,1,0,anish,0.5452,734,247,1219,835
1758344034.475229,5c37d360,30,1,1,0,anish,0.5547,688,258,1192,844
1758344035.41522,5c37d360,35,1,1,0,anish,0.5673,699,238,1194,834
1758344035.854553,5c37d360,40,1,1,0,anish,0.4955,925,171,1347,763
1758344036.711467,5c37d360,45,2,1,0,anish,0.5034,704,132,1136,732
1758344036.711467,5c37d360,45,2,1,0,anish,0.5034,1018,181,1453,753
1758344037.591399,5c37d360,50,2,1,0,anish,0.5523,636,237,1110,812
1758344037.591399,5c37d360,50,2,1,0,anish,0.5523,757,212,1207,788
1758344038.0351539,5c37d360,55,2,1,0,anish,0.5526,756,181,1209,793
1758344038.0351539,5c37d360,55,2,1,0,anish,0.5526,667,248,1117,824
1758344038.9830751,5c37d360,60,2,1,0,anish,0.568,706,191,1175,795
1758344038.9830751,5c37d360,60,2,1,0,anish,0.568,618,265,1068,841
1758344040.242572,5c37d360,65,2,1,0,anish,0.4386,612,188,1092,813
1758344040.242572,5c37d360,65,2,1,0,anish,0.4386,452,354,933,868
1758344040.7802088,5c37d360,70,2,1,0,anish,0.5434,787,114,1267,739
1758344040.7802088,5c37d360,70,2,1,0,anish,0.5434,564,239,1055,820
1758344041.654171,5c37d360,75,2,1,0,anish,0.5168,898,171,1323,763
1758344041.654171,5c37d360,75,2,1,0,anish,0.5168,564,239,1055,820
1758344042.099668,5c37d360,80,1,1,0,anish,0.5453,958,187,1399,771
1758344042.98671,5c37d360,85,1,1,0,anish,0.5481,935,174,1368,768
1758344044.192159,5c37d360,90,1,1,0,anish,0.5131,831,246,1304,853
1758344044.95766,5c37d360,95,1,1,0,anish,0.5133,799,251,1276,872
1758344045.893068,5c37d360,100,1,1,0,anish,0.5556,898,207,1355,835
1758344046.812277,5c37d360,105,1,1,0,anish,0.5771,902,179,1320,752
1758344047.263863,5c37d360,110,1,1,0,anish,0.5815,887,188,1281,738
1758344048.06646,5c37d360,115,1,1,0,anish,0.5446,898,188,1293,732
1758344048.590283,5c37d360,120,1,1,0,anish,0.5123,930,180,1316,733
1758344049.448012,5c37d360,125,2,1,0,anish,0.4975,920,227,1320,803
