frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,585.31,1691.13,2276.44,0.44,1,1,0
1,7.94,0.01,7.95,125.74,1,1,0
2,6.35,0.01,6.36,157.33,1,1,0
3,7.05,0.01,7.06,141.71,1,1,0
4,15.0,0.01,15.01,66.62,1,1,0
5,431.85,0.0,431.85,2.32,1,1,0
6,10.03,0.01,10.04,99.62,1,1,0
7,21.58,0.01,21.58,46.33,1,1,0
8,17.16,433.87,451.03,2.22,1,1,0
9,9.77,0.06,9.82,101.8,1,1,0
10,268.26,0.05,268.32,3.73,1,1,0
11,10.69,0.05,10.75,93.07,1,1,0
12,12.19,0.08,12.27,81.52,1,1,0
13,10.55,0.05,10.61,94.29,1,1,0
14,12.43,0.05,12.49,80.09,1,1,0
15,286.81,0.06,286.87,3.49,1,1,0
16,11.44,413.11,424.56,2.36,1,1,0
17,11.42,0.05,11.47,87.21,1,1,0
18,12.72,0.05,12.77,78.31,1,1,0
19,11.54,0.05,11.59,86.3,1,1,0
20,377.93,0.05,377.98,2.65,1,1,0
21,11.28,0.05,11.33,88.28,1,1,0
22,13.55,0.05,13.6,73.54,1,1,0
23,12.69,0.06,12.75,78.43,1,1,0
24,11.17,435.56,446.73,2.24,1,1,0
25,334.21,0.05,334.26,2.99,1,1,0
26,10.85,0.05,10.9,91.72,1,1,0
27,13.49,0.05,13.54,73.87,1,1,0
28,11.09,0.05,11.13,89.83,1,1,0
29,11.74,0.05,11.79,84.82,1,1,0
30,302.7,0.06,302.75,3.3,1,1,0
31,15.07,0.05,15.13,66.11,1,1,0
32,11.23,431.75,442.98,2.26,1,1,0
33,13.08,0.08,13.16,75.97,1,1,0
34,15.26,0.09,15.35,65.14,1,1,0
35,345.06,0.08,345.14,2.9,1,1,0
36,13.16,0.1,13.26,75.42,1,1,0
37,10.85,0.08,10.93,91.51,1,1,0
38,14.73,0.11,14.83,67.43,1,1,0
39,11.92,0.08,12.0,83.33,1,1,0
40,281.64,394.64,676.28,1.48,1,1,0
41,10.62,0.08,10.7,93.43,1,1,0
42,11.36,0.11,11.47,87.22,1,1,0
43,10.41,0.09,10.5,95.26,1,1,0
44,9.58,0.08,9.67,103.47,1,1,0
45,305.25,0.08,305.33,3.28,2,2,0
46,18.89,0.08,18.97,52.71,2,2,0
47,19.69,0.08,19.78,50.56,2,2,0
48,19.53,396.81,416.34,2.4,2,2,0
49,20.09,0.09,20.18,49.55,2,2,0
50,319.35,0.09,319.44,3.13,2,2,0
51,14.36,0.08,14.44,69.28,2,2,0
52,17.98,0.08,18.06,55.37,2,2,0
53,19.97,0.08,20.05,49.88,2,2,0
54,19.25,0.08,19.33,51.74,2,2,0
55,295.93,0.08,296.01,3.38,2,2,0
56,22.82,403.64,426.46,2.34,2,2,0
57,21.85,0.05,21.89,45.67,2,2,0
58,21.89,0.05,21.94,45.57,2,2,0
59,20.5,0.05,20.55,48.67,2,2,0
60,338.3,0.05,338.35,2.96,2,2,0
61,22.77,0.05,22.83,43.81,2,2,0
62,156.03,0.1,156.13,6.4,2,2,0
63,33.97,0.07,34.03,29.38,2,2,0
64,24.6,482.93,507.54,1.97,2,2,0
65,401.5,0.01,401.51,2.49,2,2,0
66,22.62,0.01,22.62,44.2,2,2,0
67,32.84,0.0,32.85,30.45,2,2,0
68,21.89,0.0,21.9,45.67,2,2,0
69,28.66,0.01,28.66,34.89,2,2,0
70,302.51,0.01,302.51,3.31,2,2,0
71,20.96,0.01,20.97,47.7,2,2,0
72,16.79,400.6,417.39,2.4,2,2,0
73,19.53,0.19,19.72,50.7,2,2,0
74,19.59,0.08,19.67,50.84,2,2,0
75,311.95,0.09,312.04,3.2,2,2,0
76,14.67,0.09,14.76,67.77,1,1,0
77,9.02,0.08,9.11,109.81,1,1,0
78,10.28,0.09,10.37,96.44,1,1,0
79,9.07,0.08,9.15,109.31,1,1,0
80,290.53,405.69,696.22,1.44,1,1,0
81,12.1,0.09,12.19,82.01,1,1,0
82,10.88,0.1,10.98,91.06,1,1,0
83,10.85,0.1,10.95,91.36,1,1,0
84,10.39,0.08,10.48,95.45,1,1,0
85,303.09,0.1,303.19,3.3,1,1,0
86,11.08,0.08,11.16,89.6,1,1,0
87,10.52,0.09,10.61,94.27,1,1,0
88,13.31,528.28,541.59,1.85,1,1,0
89,12.47,0.06,12.53,79.8,1,1,0
90,514.31,0.11,514.42,1.94,1,1,0
91,17.17,0.09,17.26,57.93,1,1,0
92,13.45,0.05,13.51,74.04,1,1,0
93,12.59,0.05,12.64,79.1,1,1,0
94,22.81,0.06,22.88,43.71,1,1,0
95,588.69,0.05,588.73,1.7,1,1,0
96,14.51,423.31,437.82,2.28,1,1,0
97,12.52,0.06,12.58,79.47,1,1,0
98,12.14,0.06,12.2,81.95,1,1,0
99,12.07,0.05,12.12,82.52,1,1,0
100,347.09,0.07,347.16,2.88,1,1,0
101,11.48,0.05,11.53,86.75,1,1,0
102,16.8,0.11,16.91,59.15,1,1,0
103,20.43,0.07,20.5,48.78,1,1,0
104,12.81,413.05,425.86,2.35,1,1,0
105,297.09,0.05,297.14,3.37,1,1,0
106,9.12,0.07,9.19,108.86,1,1,0
107,8.87,0.06,8.94,111.9,1,1,0
108,8.35,0.05,8.4,119.1,1,1,0
109,9.52,0.05,9.57,104.53,1,1,0
110,283.82,0.05,283.87,3.52,1,1,0
111,9.19,0.05,9.24,108.23,1,1,0
112,9.65,407.67,417.32,2.4,1,1,0
113,9.1,0.05,9.15,109.31,1,1,0
114,9.98,0.05,10.03,99.69,1,1,0
115,253.73,0.05,253.78,3.94,1,1,0
116,8.13,0.05,8.19,122.16,1,1,0
117,17.92,0.51,18.43,54.27,1,1,0
118,9.09,0.06,9.14,109.36,1,1,0
119,7.01,0.05,7.06,141.6,1,1,0
120,376.44,423.01,799.44,1.25,1,1,0
121,8.63,0.09,8.72,114.66,1,1,0
122,9.58,0.09,9.67,103.39,1,1,0
123,8.15,0.1,8.24,121.29,1,1,0
124,8.55,0.12,8.67,115.29,1,1,0
125,266.17,0.28,266.45,3.75,2,2,0
126,15.53,0.09,15.61,64.04,2,2,0
127,18.13,0.09,18.22,54.87,2,2,0
128,22.35,439.35,461.7,2.17,2,2,0
129,16.39,0.12,16.51,60.57,2,2,0
130,415.39,0.1,415.5,2.41,3,2,1
131,17.06,0.12,17.18,58.2,3,2,1
132,20.43,0.1,20.54,48.69,3,2,1
133,19.97,0.11,20.08,49.8,3,2,1
134,15.81,0.12,15.93,62.77,3,2,1
135,410.86,0.1,410.96,2.43,4,2,2
136,24.25,378.87,403.12,2.48,4,2,2
