frame_idx,class,x1,y1,x2,y2
8,NO-Hardhat,852,141,1390,835
16,NO-Hardhat,799,164,1329,815
24,NO-Hardhat,714,200,1291,863
32,NO-Hardhat,641,224,1242,884
32,Mask,642,227,1237,883
40,NO-Mask,834,161,1412,814
40,NO-Hardhat,835,161,1413,813
48,NO-Mask,665,173,1254,815
48,NO-Hardhat,665,174,1251,815
56,NO-Hardhat,702,171,1264,817
72,NO-Hardhat,714,166,1234,806
72,NO-Mask,714,165,1235,806
80,NO-Mask,880,171,1465,821
80,NO-Hardhat,880,170,1464,822
88,NO-Hardhat,842,185,1403,830
96,NO-Hardhat,757,241,1337,899
104,NO-Hardhat,847,176,1395,823
112,NO-Hardhat,831,185,1319,837
120,NO-Hardhat,855,176,1357,814
120,NO-Mask,851,174,1357,811
128,NO-Hardhat,630,218,1148,782
128,NO-Mask,629,215,1148,782
128,NO-Mask,1759,621,1919,939
136,NO-Hardhat,418,254,939,805
136,NO-Mask,420,262,939,804
136,NO-Hardhat,1257,634,1506,909
144,NO-Hardhat,390,261,909,809
144,NO-Mask,390,257,908,810
144,NO-Hardhat,1258,633,1504,909
152,NO-Hardhat,307,242,791,810
152,NO-Mask,306,241,790,809
152,NO-Hardhat,1269,633,1506,907
160,NO-Hardhat,317,240,803,813
160,NO-Mask,313,242,806,812
160,NO-Hardhat,1328,624,1560,907
168,NO-Mask,319,246,804,809
168,NO-Hardhat,1298,587,1546,869
168,NO-Hardhat,323,244,801,811
176,NO-Mask,333,230,852,805
176,NO-Hardhat,1304,592,1544,882
176,NO-Hardhat,334,233,851,804
184,NO-Hardhat,1349,616,1572,892
184,NO-Mask,331,237,845,806
184,NO-Hardhat,331,240,844,803
192,NO-Hardhat,169,250,723,838
192,NO-Hardhat,1361,651,1597,912
200,NO-Mask,316,237,808,810
200,NO-Hardhat,319,242,807,808
200,NO-Hardhat,1282,583,1532,878
208,NO-Hardhat,1329,599,1563,888
208,Mask,584,314,1025,842
208,NO-Hardhat,582,314,1023,840
216,NO-Hardhat,1423,629,1666,908
216,NO-Hardhat,497,275,980,829
224,NO-Hardhat,1418,625,1659,907
224,NO-Hardhat,469,274,978,817
232,NO-Hardhat,1417,627,1654,909
232,NO-Hardhat,432,266,967,838
240,NO-Mask,385,244,904,818
240,NO-Hardhat,381,243,905,816
240,NO-Hardhat,1416,621,1650,907
248,NO-Mask,1474,654,1700,933
248,NO-Mask,394,235,917,804
248,NO-Hardhat,392,236,917,805
256,NO-Hardhat,963,177,1521,807
256,NO-Mask,963,178,1522,808
264,NO-Hardhat,963,183,1535,813
264,NO-Mask,963,184,1536,813
