ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758352529.976025,62f74751,5,1,1,0,anish,0.5217,885,217,1313,779
1758352530.8691342,62f74751,10,2,1,0,anish,0.5244,767,218,1199,794
1758352530.8691342,62f74751,10,2,1,0,anish,0.5244,991,213,1424,791
1758352531.3604102,62f74751,15,3,1,0,anish,0.5196,1048,235,1480,811
1758352531.3604102,62f74751,15,3,1,0,anish,0.5196,1029,207,1479,807
1758352531.3604102,62f74751,15,3,1,0,anish,0.5196,1223,257,1711,827
1758352532.3763509,62f74751,20,3,1,0,anish,0.5435,955,222,1401,791
1758352532.3763509,62f74751,20,3,1,0,anish,0.5435,923,219,1373,819
1758352532.3763509,62f74751,20,3,1,0,anish,0.5435,1117,222,1617,798
1758352533.307883,62f74751,25,3,1,0,anish,0.5624,922,217,1352,789
1758352533.307883,62f74751,25,3,1,0,anish,0.5624,896,219,1346,819
1758352533.307883,62f74751,25,3,1,0,anish,0.5624,1089,221,1589,797
1758352533.895502,62f74751,30,3,1,0,anish,0.5575,924,220,1350,789
1758352533.895502,62f74751,30,3,1,0,anish,0.5575,896,220,1346,820
1758352533.895502,62f74751,30,3,1,0,anish,0.5575,1090,223,1590,799
1758352534.8811572,62f74751,35,3,1,0,anish,0.5455,912,213,1341,782
1758352534.8811572,62f74751,35,3,1,0,anish,0.5455,886,215,1336,815
1758352534.8811572,62f74751,35,3,1,0,anish,0.5455,1078,217,1578,793
1758352535.4661078,62f74751,40,3,1,0,anish,0.5434,910,211,1340,785
1758352535.4661078,62f74751,40,3,1,0,anish,0.5434,883,215,1333,815
1758352535.4661078,62f74751,40,3,1,0,anish,0.5434,1075,217,1575,793
1758352536.418966,62f74751,45,3,1,0,anish,0.5523,911,215,1342,783
1758352536.418966,62f74751,45,3,1,0,anish,0.5523,886,215,1336,815
1758352536.418966,62f74751,45,3,1,0,anish,0.5523,1079,217,1579,793
1758352537.409961,62f74751,50,3,1,0,anish,0.543,911,213,1342,784
1758352537.409961,62f74751,50,3,1,0,anish,0.543,885,214,1335,814
1758352537.409961,62f74751,50,3,1,0,anish,0.543,1077,216,1577,792
1758352538.092078,62f74751,55,3,1,0,anish,0.5546,908,212,1340,785
1758352538.092078,62f74751,55,3,1,0,anish,0.5546,881,215,1331,815
1758352538.092078,62f74751,55,3,1,0,anish,0.5546,1075,217,1575,793
1758352539.2846131,62f74751,60,3,1,0,anish,0.5636,907,210,1334,786
1758352539.2846131,62f74751,60,3,1,0,anish,0.5636,878,217,1328,817
1758352539.2846131,62f74751,60,3,1,0,anish,0.5636,1071,218,1571,794
