frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,206.29,1695.45,1901.74,0.53,0,0,0
1,0.97,0.01,0.98,1016.31,0,0,0
2,2.0,0.13,2.13,469.95,0,0,0
3,0.94,0.01,0.94,1058.37,0,0,0
4,0.69,0.01,0.7,1434.44,0,0,0
5,680.22,0.01,680.23,1.47,1,1,0
6,13.64,0.01,13.65,73.25,1,1,0
7,10.08,0.01,10.09,99.15,1,1,0
8,12.32,413.44,425.75,2.35,1,1,0
9,8.69,0.09,8.77,113.96,1,1,0
10,340.49,0.09,340.58,2.94,2,2,0
11,19.11,0.13,19.24,51.96,2,2,0
12,22.54,0.1,22.64,44.17,2,2,0
13,20.3,0.09,20.39,49.04,2,2,0
14,20.0,0.12,20.12,49.7,2,2,0
15,334.62,0.14,334.76,2.99,3,3,0
16,28.42,369.52,397.94,2.51,3,3,0
17,28.23,0.09,28.32,35.31,3,3,0
18,35.18,0.09,35.27,28.35,3,3,0
19,32.98,0.1,33.08,30.23,3,3,0
20,350.23,0.13,350.36,2.85,3,3,0
21,29.22,0.09,29.31,34.12,3,3,0
22,31.97,0.08,32.06,31.2,3,3,0
23,31.39,0.11,31.5,31.75,3,3,0
24,30.5,362.64,393.14,2.54,3,3,0
25,275.51,0.09,275.59,3.63,3,3,0
26,28.1,0.11,28.21,35.45,3,3,0
27,34.01,0.11,34.12,29.31,3,3,0
28,28.22,0.12,28.34,35.29,3,3,0
29,29.08,0.1,29.18,34.27,3,3,0
30,297.93,0.1,298.04,3.36,3,3,0
31,29.64,0.09,29.74,33.63,3,3,0
32,33.36,423.88,457.24,2.19,3,3,0
33,32.22,0.2,32.42,30.85,3,3,0
34,32.26,0.09,32.35,30.91,3,3,0
35,285.51,0.1,285.6,3.5,3,3,0
36,31.39,0.13,31.53,31.72,3,3,0
37,30.06,0.09,30.15,33.16,3,3,0
38,29.17,0.1,29.27,34.16,3,3,0
39,28.95,0.11,29.06,34.42,3,3,0
40,305.6,360.74,666.34,1.5,3,3,0
41,31.83,0.09,31.92,31.33,3,3,0
42,27.62,0.1,27.72,36.08,3,3,0
43,28.79,0.09,28.89,34.62,3,3,0
44,31.67,0.13,31.8,31.45,3,3,0
45,288.88,0.09,288.96,3.46,3,3,0
46,27.94,0.09,28.04,35.67,3,3,0
47,30.21,0.1,30.31,33.0,3,3,0
48,34.32,401.72,436.04,2.29,3,3,0
49,32.85,0.11,32.96,30.34,3,3,0
50,314.7,0.09,314.79,3.18,3,3,0
51,36.72,0.1,36.82,27.16,3,3,0
52,36.3,0.11,36.41,27.47,3,3,0
53,31.72,0.14,31.86,31.38,3,3,0
54,33.14,0.15,33.29,30.04,3,3,0
55,397.36,0.1,397.46,2.52,3,3,0
56,32.32,435.24,467.57,2.14,3,3,0
57,36.54,0.09,36.63,27.3,3,3,0
58,33.79,0.1,33.89,29.51,3,3,0
59,28.98,0.09,29.07,34.4,3,3,0
60,454.74,0.15,454.89,2.2,3,3,0
