ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758416691.0666728,67ce2514,0,1,1,0,anish,0.5059,876,-71,1355,608
1758416691.316751,67ce2514,1,1,1,0,anish,0.5059,839,235,1282,862
1758416691.879972,67ce2514,2,1,1,0,anish,0.5323,828,258,1263,856
1758416691.98513,67ce2514,3,1,1,0,anish,0.5323,821,265,1247,851
1758416692.409069,67ce2514,4,1,1,0,anish,0.5299,808,262,1246,866
1758416692.5360498,67ce2514,5,1,1,0,anish,0.5299,808,284,1221,853
1758416692.981983,67ce2514,6,1,1,0,anish,0.5506,793,268,1234,881
1758416693.090584,67ce2514,7,1,1,0,anish,0.5506,793,271,1234,884
1758416694.007492,67ce2514,8,1,1,0,anish,0.5448,793,272,1232,891
1758416694.125748,67ce2514,9,1,1,0,anish,0.5448,798,270,1237,889
1758416694.671835,67ce2514,10,1,1,0,anish,0.5301,812,273,1255,891
1758416694.796461,67ce2514,11,1,1,0,anish,0.5301,843,279,1277,885
1758416695.2325609,67ce2514,12,1,0,1,Unknown,0.3222,838,275,1280,905
1758416695.360268,67ce2514,13,1,0,1,Unknown,0.3222,830,274,1272,904
1758416695.821491,67ce2514,14,1,0,1,Unknown,0.2994,834,275,1272,895
1758416695.95282,67ce2514,15,1,0,1,Unknown,0.2994,834,273,1272,893
1758416696.8122501,67ce2514,16,1,0,1,Unknown,0.3208,836,279,1273,896
1758416696.9307468,67ce2514,17,1,0,1,Unknown,0.3208,843,295,1263,888
1758416697.325932,67ce2514,18,1,0,1,Unknown,0.2346,826,294,1267,887
1758416697.46535,67ce2514,19,1,0,1,Unknown,0.2346,824,301,1256,882
1758416697.910923,67ce2514,20,1,0,1,Unknown,0.273,825,325,1232,886
1758416698.01591,67ce2514,21,1,0,1,Unknown,0.273,825,325,1232,886
1758416698.4517279,67ce2514,22,1,0,1,Unknown,0.2695,834,322,1240,889
1758416698.5594392,67ce2514,23,1,0,1,Unknown,0.2695,841,322,1247,889
1758416699.355074,67ce2514,24,1,0,1,Unknown,0.2193,839,316,1253,885
1758416699.4779909,67ce2514,25,1,0,1,Unknown,0.2193,830,342,1228,889
1758416699.767508,67ce2514,26,1,0,1,Unknown,0.2313,827,333,1245,904
1758416699.880058,67ce2514,27,1,0,1,Unknown,0.2313,827,333,1245,904
1758416700.2119339,67ce2514,28,1,0,1,Unknown,0.2379,829,330,1247,902
1758416700.320394,67ce2514,29,1,0,1,Unknown,0.2379,817,322,1227,883
1758416700.694218,67ce2514,30,1,1,0,anish,0.5095,804,305,1228,894
1758416700.846539,67ce2514,31,1,1,0,anish,0.5095,803,281,1253,906
1758416701.6229389,67ce2514,32,1,1,0,anish,0.5327,820,308,1233,888
1758416701.750837,67ce2514,33,1,1,0,anish,0.5327,821,307,1234,887
1758416702.07473,67ce2514,34,1,1,0,anish,0.5326,819,306,1232,887
1758416702.186719,67ce2514,35,1,1,0,anish,0.5326,818,306,1231,887
1758416702.493591,67ce2514,36,1,1,0,anish,0.5274,818,308,1231,887
1758416702.629799,67ce2514,37,1,1,0,anish,0.5274,817,309,1230,888
1758416702.98103,67ce2514,38,1,1,0,anish,0.5322,815,305,1231,887
1758416703.0916638,67ce2514,39,1,1,0,anish,0.5322,811,307,1227,889
1758416703.8782861,67ce2514,40,1,1,0,anish,0.5245,805,307,1225,893
1758416704.0050519,67ce2514,41,1,1,0,anish,0.5245,797,321,1225,919
1758416704.3573172,67ce2514,42,1,1,0,anish,0.5252,802,306,1239,906
1758416704.499615,67ce2514,43,1,1,0,anish,0.5252,767,429,1195,1017
1758416704.8326,67ce2514,44,1,1,0,anish,0.544,776,473,1206,1070
1758416704.944103,67ce2514,45,1,1,0,anish,0.544,778,453,1200,1038
1758416705.2459562,67ce2514,46,1,1,0,anish,0.5392,777,456,1198,1046
1758416705.350244,67ce2514,47,1,1,0,anish,0.5392,775,452,1196,1042
1758416706.030735,67ce2514,48,1,1,0,anish,0.5599,778,452,1196,1036
1758416706.1555781,67ce2514,49,1,1,0,anish,0.5599,799,450,1217,1034
1758416706.448242,67ce2514,50,1,1,0,anish,0.5411,793,454,1200,1032
1758416706.544393,67ce2514,51,1,1,0,anish,0.5411,794,449,1201,1027
1758416706.827647,67ce2514,52,1,1,0,anish,0.543,804,473,1190,1011
1758416706.9460502,67ce2514,53,1,1,0,anish,0.543,804,469,1190,1007
1758416707.2914848,67ce2514,54,1,1,0,anish,0.5591,808,478,1179,995
1758416707.3969789,67ce2514,55,1,1,0,anish,0.5591,809,484,1173,991
1758416708.10371,67ce2514,56,1,1,0,anish,0.55,805,488,1180,1000
1758416708.214596,67ce2514,57,1,1,0,anish,0.55,799,614,1167,1116
1758416708.575861,67ce2514,58,1,1,0,anish,0.4433,780,582,1200,1108
1758416708.685118,67ce2514,59,1,1,0,anish,0.4433,777,585,1197,1111
1758416709.024832,67ce2514,60,1,1,0,anish,0.4543,776,575,1200,1110
1758416709.113638,67ce2514,61,1,1,0,anish,0.4543,778,566,1202,1101
1758416709.452111,67ce2514,62,1,1,0,anish,0.4626,777,556,1203,1102
1758416709.54691,67ce2514,63,1,1,0,anish,0.4626,776,545,1202,1091
