frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,868.96,1831.4,2700.36,0.37,1,1,0
1,213.62,3.66,217.28,4.6,1,1,0
2,513.73,0.31,514.04,1.95,1,1,0
3,92.45,0.26,92.71,10.79,1,1,0
4,382.21,0.45,382.65,2.61,1,1,0
5,100.04,0.2,100.24,9.98,1,1,0
6,422.26,0.2,422.45,2.37,1,1,0
7,95.51,0.21,95.73,10.45,1,1,0
8,415.96,462.78,878.74,1.14,1,1,0
9,96.16,0.23,96.39,10.37,1,1,0
10,511.74,0.27,512.01,1.95,1,1,0
11,100.75,0.18,100.94,9.91,1,1,0
12,404.19,0.45,404.65,2.47,1,0,1
13,98.68,0.51,99.2,10.08,1,0,1
14,426.5,0.19,426.69,2.34,1,0,1
15,90.97,0.2,91.16,10.97,1,0,1
16,369.12,480.82,849.94,1.18,1,0,1
17,99.65,0.3,99.95,10.01,1,0,1
18,363.74,0.24,363.98,2.75,1,0,1
19,102.82,0.19,103.02,9.71,1,0,1
20,415.32,0.23,415.55,2.41,1,0,1
21,85.51,0.57,86.09,11.62,1,0,1
22,421.43,0.2,421.63,2.37,1,0,1
23,96.28,0.28,96.56,10.36,1,0,1
24,340.35,418.64,758.99,1.32,1,0,1
25,80.22,0.22,80.43,12.43,1,0,1
26,270.72,0.29,271.01,3.69,1,0,1
27,82.77,0.22,82.99,12.05,1,0,1
28,312.12,0.36,312.47,3.2,1,0,1
29,90.18,0.25,90.43,11.06,1,0,1
30,363.95,0.57,364.51,2.74,1,1,0
31,113.83,0.3,114.12,8.76,1,1,0
32,335.74,424.52,760.26,1.32,1,1,0
33,84.54,0.23,84.76,11.8,1,1,0
34,308.92,0.19,309.12,3.24,1,1,0
35,84.56,0.23,84.79,11.79,1,1,0
36,294.59,0.3,294.89,3.39,1,1,0
37,95.87,0.24,96.11,10.41,1,1,0
38,314.86,0.27,315.13,3.17,1,1,0
39,93.53,0.24,93.77,10.66,1,1,0
40,284.9,460.72,745.62,1.34,1,1,0
41,106.1,0.32,106.42,9.4,1,1,0
42,323.54,0.25,323.79,3.09,1,1,0
43,98.04,0.29,98.34,10.17,1,1,0
44,298.67,0.42,299.09,3.34,1,1,0
45,77.37,0.19,77.56,12.89,1,1,0
46,274.64,0.18,274.82,3.64,1,1,0
47,80.22,0.23,80.45,12.43,1,1,0
48,270.89,393.75,664.63,1.5,1,1,0
49,86.34,0.24,86.59,11.55,1,1,0
50,281.5,0.22,281.72,3.55,1,1,0
51,77.16,0.33,77.5,12.9,1,1,0
52,258.62,0.41,259.03,3.86,1,1,0
53,77.95,0.23,78.19,12.79,1,1,0
54,324.87,0.2,325.07,3.08,1,1,0
55,62.2,0.36,62.56,15.99,1,1,0
56,277.46,387.42,664.88,1.5,1,1,0
57,78.4,0.22,78.61,12.72,1,1,0
58,339.8,0.29,340.1,2.94,1,1,0
59,83.48,0.2,83.68,11.95,1,1,0
60,323.28,0.22,323.5,3.09,1,1,0
61,78.0,0.19,78.19,12.79,1,1,0
62,316.91,0.2,317.11,3.15,1,1,0
63,77.86,0.3,78.15,12.8,1,1,0
64,279.6,370.73,650.33,1.54,1,1,0
65,87.35,0.23,87.58,11.42,1,1,0
66,422.79,0.23,423.01,2.36,1,1,0
67,81.85,0.26,82.11,12.18,1,1,0
68,395.57,0.23,395.8,2.53,1,1,0
69,73.63,0.29,73.92,13.53,1,1,0
70,304.13,0.33,304.46,3.28,1,1,0
71,67.51,0.2,67.72,14.77,1,1,0
72,317.01,430.69,747.7,1.34,1,1,0
73,101.11,0.27,101.38,9.86,1,1,0
74,658.48,0.2,658.68,1.52,1,1,0
75,78.3,0.24,78.54,12.73,1,1,0
76,283.58,0.78,284.36,3.52,1,1,0
77,80.01,0.33,80.33,12.45,1,1,0
78,309.65,0.58,310.23,3.22,1,1,0
79,91.51,0.26,91.77,10.9,1,1,0
80,359.1,480.64,839.73,1.19,1,1,0
81,83.08,0.25,83.34,12.0,1,1,0
82,380.77,0.36,381.13,2.62,1,1,0
83,94.77,0.21,94.98,10.53,1,1,0
84,369.2,0.48,369.69,2.7,1,1,0
85,92.48,0.38,92.86,10.77,1,1,0
86,317.0,0.28,317.28,3.15,1,1,0
87,87.53,0.26,87.79,11.39,1,1,0
88,280.65,415.13,695.77,1.44,1,1,0
89,95.85,0.19,96.05,10.41,1,1,0
90,356.32,0.19,356.51,2.8,1,1,0
91,89.68,0.2,89.88,11.13,1,1,0
92,305.84,0.22,306.07,3.27,1,1,0
93,84.83,0.33,85.16,11.74,1,1,0
94,346.99,0.22,347.21,2.88,1,1,0
95,90.09,5.91,96.0,10.42,1,1,0
96,356.98,388.11,745.09,1.34,1,1,0
97,108.59,0.25,108.84,9.19,1,1,0
98,341.45,0.28,341.73,2.93,1,1,0
99,106.78,0.39,107.17,9.33,1,1,0
100,340.58,0.18,340.77,2.93,1,1,0
101,111.72,0.2,111.92,8.94,1,1,0
102,395.15,0.22,395.36,2.53,1,1,0
103,119.57,0.2,119.78,8.35,1,1,0
