ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758419708.1131258,683bae58,0,1,1,0,anish,0.5693,1140,271,1588,765
1758419708.351528,683bae58,1,1,1,0,anish,0.5693,1038,287,1513,811
1758419708.983687,683bae58,2,1,1,0,anish,0.5325,1067,299,1519,785
1758419709.122401,683bae58,3,1,1,0,anish,0.5325,1130,254,1610,770
1758419709.47589,683bae58,4,1,1,0,anish,0.5816,1159,253,1610,756
1758419709.582443,683bae58,5,1,1,0,anish,0.5816,1149,257,1600,760
1758419710.0269482,683bae58,6,1,1,0,anish,0.5703,1135,261,1593,764
1758419710.1542752,683bae58,7,1,1,0,anish,0.5703,1135,265,1593,768
1758419710.991248,683bae58,8,1,1,0,anish,0.5647,1142,268,1596,767
1758419711.112823,683bae58,9,1,1,0,anish,0.5647,1676,157,2121,646
1758419711.373157,683bae58,10,1,0,1,Unknown,0.1011,400,751,735,1113
1758419711.432215,683bae58,11,1,0,1,Unknown,0.1011,576,735,898,1083
1758419711.694728,683bae58,12,1,0,1,Unknown,0.1466,583,694,906,1089
1758419711.7721448,683bae58,13,1,0,1,Unknown,0.1466,579,580,902,975
1758419712.035813,683bae58,14,1,0,1,Unknown,0.1499,578,576,904,982
1758419712.108599,683bae58,15,1,0,1,Unknown,0.1499,575,557,901,963
1758419712.6981409,683bae58,16,1,0,1,Unknown,0.187,577,560,899,968
1758419712.773538,683bae58,17,1,0,1,Unknown,0.187,575,589,897,997
1758419713.050112,683bae58,18,1,0,1,Unknown,0.1642,571,597,895,1001
1758419713.147999,683bae58,19,1,0,1,Unknown,0.1642,571,597,895,1001
1758419713.394827,683bae58,20,1,0,1,Unknown,0.1619,569,598,896,1001
1758419713.488878,683bae58,21,1,0,1,Unknown,0.1619,570,597,897,1000
1758419713.799839,683bae58,22,1,0,1,Unknown,0.1419,570,598,895,1001
1758419713.882647,683bae58,23,1,0,1,Unknown,0.1419,572,598,897,1001
1758419714.588931,683bae58,24,1,0,1,Unknown,0.1521,570,598,897,1000
1758419714.687388,683bae58,25,1,0,1,Unknown,0.1521,570,597,897,999
1758419715.007329,683bae58,26,1,0,1,Unknown,0.1468,571,596,897,999
1758419715.080543,683bae58,27,1,0,1,Unknown,0.1468,571,597,897,1000
1758419715.3407931,683bae58,28,1,0,1,Unknown,0.1478,571,600,897,1000
1758419715.416279,683bae58,29,1,0,1,Unknown,0.1478,570,601,896,1001
1758419715.6671722,683bae58,30,1,0,1,Unknown,0.1288,571,599,895,999
1758419715.7495182,683bae58,31,1,0,1,Unknown,0.1288,571,599,895,999
1758419716.383132,683bae58,32,1,0,1,Unknown,0.1375,571,601,895,1000
1758419716.4562829,683bae58,33,1,0,1,Unknown,0.1375,370,607,688,998
1758419716.787324,683bae58,34,1,0,1,Unknown,0.1279,344,584,697,1023
1758419716.887737,683bae58,35,1,0,1,Unknown,0.1279,345,585,698,1024
1758419717.333398,683bae58,36,1,0,1,Unknown,0.1087,342,585,698,1023
1758419717.421151,683bae58,37,1,0,1,Unknown,0.1087,343,587,699,1025
1758419717.912708,683bae58,38,1,0,1,Unknown,0.1217,346,586,699,1025
1758419718.00645,683bae58,39,1,0,1,Unknown,0.1217,284,591,644,1039
1758419719.07147,683bae58,40,2,1,0,anish,0.5006,1563,-70,2103,587
1758419719.07147,683bae58,40,2,0,1,Unknown,0.1569,268,605,633,1042
1758419719.340616,683bae58,41,2,1,0,anish,0.5006,1345,147,1864,778
1758419719.340616,683bae58,41,2,0,1,Unknown,0.1569,73,776,417,1188
1758419722.641598,683bae58,54,1,1,0,anish,0.627,944,390,1340,854
1758419722.715468,683bae58,55,1,1,0,anish,0.627,956,390,1344,845
1758419723.32646,683bae58,56,1,1,0,anish,0.6326,953,380,1346,847
1758419723.429468,683bae58,57,1,1,0,anish,0.6326,971,214,1356,672
1758419723.781888,683bae58,58,1,1,0,anish,0.5785,974,236,1391,717
1758419723.858064,683bae58,59,1,1,0,anish,0.5785,965,255,1390,746
1758419724.157218,683bae58,60,1,1,0,anish,0.608,966,264,1385,735
1758419724.270381,683bae58,61,1,1,0,anish,0.608,986,276,1389,729
1758419724.553473,683bae58,62,1,1,0,anish,0.6057,983,269,1404,740
1758419724.629477,683bae58,63,1,1,0,anish,0.6057,982,270,1403,741
1758419725.264456,683bae58,64,1,1,0,anish,0.6272,972,273,1398,745
1758419725.368562,683bae58,65,1,1,0,anish,0.6272,942,268,1385,759
1758419725.6527119,683bae58,66,1,1,0,anish,0.6211,951,280,1374,754
1758419725.724737,683bae58,67,1,1,0,anish,0.6211,948,281,1371,755
1758419726.007728,683bae58,68,1,1,0,anish,0.6574,948,273,1374,755
1758419726.0903392,683bae58,69,1,1,0,anish,0.6574,948,273,1374,755
1758419726.408226,683bae58,70,1,1,0,anish,0.6533,948,275,1374,756
1758419726.49966,683bae58,71,1,1,0,anish,0.6533,948,275,1374,756
1758419727.1571488,683bae58,72,1,1,0,anish,0.6649,947,274,1377,758
1758419727.26475,683bae58,73,1,1,0,anish,0.6649,949,274,1379,758
1758419727.572646,683bae58,74,1,1,0,anish,0.6478,948,276,1375,757
1758419727.665109,683bae58,75,1,1,0,anish,0.6478,846,306,1273,787
1758419727.9568791,683bae58,76,1,1,0,anish,0.5352,895,296,1319,763
1758419728.059168,683bae58,77,1,1,0,anish,0.5352,885,291,1317,767
1758419728.3510091,683bae58,78,1,1,0,anish,0.5572,885,295,1310,763
1758419728.439311,683bae58,79,1,1,0,anish,0.5572,916,285,1341,753
1758419729.129698,683bae58,80,1,1,0,anish,0.5838,909,289,1330,756
1758419729.240046,683bae58,81,1,1,0,anish,0.5838,965,284,1386,751
1758419729.566526,683bae58,82,1,1,0,anish,0.6472,948,286,1361,756
1758419729.668566,683bae58,83,1,1,0,anish,0.6472,954,285,1367,755
1758419729.974486,683bae58,84,1,1,0,anish,0.64,954,276,1376,757
1758419730.0748658,683bae58,85,1,1,0,anish,0.64,949,272,1379,763
1758419730.37225,683bae58,86,1,1,0,anish,0.6445,948,281,1371,756
1758419730.481855,683bae58,87,1,1,0,anish,0.6445,884,296,1299,762
1758419731.1435761,683bae58,88,1,1,0,anish,0.5242,900,295,1325,756
1758419731.230339,683bae58,89,1,1,0,anish,0.5242,886,298,1311,759
1758419731.9585412,683bae58,90,1,1,0,anish,0.5557,895,288,1312,758
1758419732.074868,683bae58,91,1,1,0,anish,0.5557,992,257,1417,736
1758419732.407682,683bae58,92,1,1,0,anish,0.6331,951,280,1363,747
1758419732.509009,683bae58,93,1,1,0,anish,0.6331,971,283,1375,741
1758419732.9554079,683bae58,94,1,1,0,anish,0.6522,962,273,1382,751
1758419733.068558,683bae58,95,1,1,0,anish,0.6522,963,273,1383,751
1758419733.935852,683bae58,96,1,1,0,anish,0.6589,962,273,1382,753
1758419734.055298,683bae58,97,1,1,0,anish,0.6589,959,267,1387,757
1758419734.364198,683bae58,98,1,1,0,anish,0.6154,965,271,1383,753
1758419734.47661,683bae58,99,1,1,0,anish,0.6154,964,270,1382,752
1758419734.780714,683bae58,100,1,1,0,anish,0.5815,964,271,1374,747
1758419734.860142,683bae58,101,1,1,0,anish,0.5815,968,274,1370,741
1758419735.1583092,683bae58,102,1,1,0,anish,0.6015,963,269,1372,743
1758419735.273303,683bae58,103,1,1,0,anish,0.6015,897,305,1298,770
1758419736.0156832,683bae58,104,1,1,0,anish,0.5588,913,282,1336,754
1758419736.104536,683bae58,105,1,1,0,anish,0.5588,899,278,1330,759
1758419736.421264,683bae58,106,1,1,0,anish,0.5185,908,293,1325,748
1758419736.500545,683bae58,107,1,1,0,anish,0.5185,913,297,1322,743
1758419736.782227,683bae58,108,1,1,0,anish,0.5631,909,292,1327,745
1758419736.862551,683bae58,109,1,1,0,anish,0.5631,909,291,1327,744
1758419737.1772768,683bae58,110,1,1,0,anish,0.6025,913,294,1324,747
1758419737.260354,683bae58,111,1,1,0,anish,0.6025,914,294,1325,747
1758419737.9580219,683bae58,112,1,1,0,anish,0.553,916,291,1325,744
1758419738.039155,683bae58,113,1,1,0,anish,0.553,932,296,1325,731
1758419738.365516,683bae58,114,1,1,0,anish,0.6029,928,286,1337,738
1758419738.4708622,683bae58,115,1,1,0,anish,0.6029,993,274,1402,726
1758419738.801548,683bae58,116,1,1,0,anish,0.6203,974,262,1385,737
1758419738.913843,683bae58,117,1,1,0,anish,0.6203,1284,170,1712,664
1758419739.438965,683bae58,118,1,0,1,Unknown,0.1409,138,726,453,1098
1758419739.631746,683bae58,119,1,0,1,Unknown,0.1409,141,728,456,1100
1758419740.362015,683bae58,120,1,0,1,Unknown,0.13,577,774,855,1103
1758419740.44008,683bae58,121,1,0,1,Unknown,0.13,581,673,843,983
1758419740.7409248,683bae58,122,1,0,1,Unknown,0.0604,568,647,848,1035
1758419740.8083851,683bae58,123,1,0,1,Unknown,0.0604,563,602,843,990
1758419741.071828,683bae58,124,1,0,1,Unknown,0.159,557,604,840,999
1758419741.1493278,683bae58,125,1,0,1,Unknown,0.159,558,581,841,976
1758419741.402234,683bae58,126,1,0,1,Unknown,0.1145,560,556,842,939
1758419741.485536,683bae58,127,1,0,1,Unknown,0.1145,548,490,841,888
1758419742.0845408,683bae58,128,1,0,1,Unknown,0.1607,547,500,834,883
1758419742.1531851,683bae58,129,1,0,1,Unknown,0.1607,565,515,846,890
1758419742.430641,683bae58,130,1,0,1,Unknown,0.1104,555,518,840,901
1758419742.5186932,683bae58,131,1,0,1,Unknown,0.1104,554,517,839,900
1758419742.845589,683bae58,132,1,0,1,Unknown,0.0921,553,517,842,899
1758419742.917048,683bae58,133,1,0,1,Unknown,0.0921,552,518,841,900
1758419743.1822531,683bae58,134,1,0,1,Unknown,0.1155,552,517,839,900
1758419743.2511208,683bae58,135,1,0,1,Unknown,0.1155,552,517,839,900
1758419743.868562,683bae58,136,1,0,1,Unknown,0.1195,553,517,838,901
1758419743.94986,683bae58,137,1,0,1,Unknown,0.1195,542,520,827,904
1758419744.215704,683bae58,138,1,0,1,Unknown,0.1369,507,518,796,904
1758419744.28931,683bae58,139,1,0,1,Unknown,0.1369,338,520,627,906
1758419744.570822,683bae58,140,1,0,1,Unknown,0.0848,208,517,533,925
1758419744.652089,683bae58,141,1,0,1,Unknown,0.0848,179,521,498,921
1758419744.982948,683bae58,142,1,1,0,anish,0.494,951,-114,1420,473
1758419745.103026,683bae58,143,1,1,0,anish,0.494,925,-95,1403,504
1758419745.827235,683bae58,144,1,1,0,anish,0.5505,925,9,1376,562
1758419745.941699,683bae58,145,1,1,0,anish,0.5505,927,287,1378,840
1758419746.2873678,683bae58,146,1,1,0,anish,0.6096,942,311,1357,798
1758419746.3700101,683bae58,147,1,1,0,anish,0.6096,942,305,1365,802
1758419746.733829,683bae58,148,1,1,0,anish,0.585,971,319,1396,795
1758419746.842975,683bae58,149,1,1,0,anish,0.585,1005,315,1430,791
1758419747.222681,683bae58,150,1,1,0,anish,0.6498,1006,313,1420,797
1758419747.374857,683bae58,151,1,1,0,anish,0.6498,1026,292,1465,806
1758419748.2232199,683bae58,152,1,1,0,anish,0.5383,1060,306,1468,786
1758419748.3123388,683bae58,153,1,1,0,anish,0.5383,1023,302,1431,782
1758419748.612554,683bae58,154,1,1,0,anish,0.582,1033,302,1434,785
