frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,592.25,1452.33,2044.58,0.49,1,1,0
1,195.3,0.6,195.9,5.1,1,1,0
2,593.16,0.44,593.59,1.68,1,1,0
3,97.49,0.27,97.76,10.23,1,1,0
4,320.11,0.3,320.41,3.12,1,1,0
5,92.24,0.24,92.48,10.81,1,1,0
6,401.23,0.75,401.98,2.49,1,1,0
7,93.76,0.25,94.01,10.64,1,1,0
8,355.73,440.93,796.65,1.26,1,1,0
9,87.68,0.16,87.85,11.38,1,1,0
10,249.2,0.22,249.42,4.01,1,0,1
11,41.39,0.15,41.54,24.07,1,0,1
12,237.29,0.25,237.54,4.21,1,0,1
13,47.17,0.16,47.34,21.12,1,0,1
14,245.95,0.18,246.12,4.06,1,0,1
15,49.72,0.24,49.96,20.02,1,0,1
16,226.81,347.12,573.93,1.74,1,0,1
17,48.69,0.19,48.88,20.46,1,0,1
18,260.18,0.29,260.48,3.84,1,0,1
19,53.4,0.19,53.6,18.66,1,0,1
20,238.19,0.17,238.35,4.2,1,0,1
21,58.59,0.25,58.83,17.0,1,0,1
22,274.84,0.3,275.14,3.63,1,0,1
23,53.75,0.18,53.93,18.54,1,0,1
24,278.18,420.67,698.85,1.43,1,0,1
25,61.65,0.37,62.02,16.12,1,0,1
26,280.72,0.19,280.91,3.56,1,0,1
27,55.47,0.2,55.68,17.96,1,0,1
28,249.64,0.32,249.96,4.0,1,0,1
29,58.36,0.26,58.62,17.06,1,0,1
30,241.8,0.27,242.07,4.13,1,0,1
31,57.19,0.28,57.47,17.4,1,0,1
32,254.13,366.27,620.4,1.61,1,0,1
33,60.71,0.3,61.0,16.39,1,0,1
34,292.04,0.56,292.6,3.42,1,0,1
35,60.88,0.18,61.05,16.38,1,0,1
36,405.16,0.73,405.89,2.46,1,0,1
37,58.04,0.55,58.59,17.07,1,0,1
38,451.45,0.61,452.06,2.21,1,0,1
39,78.65,0.39,79.04,12.65,1,0,1
40,557.63,486.91,1044.54,0.96,2,1,1
41,238.82,0.95,239.77,4.17,2,1,1
42,535.81,0.11,535.93,1.87,0,0,0
43,77.51,0.08,77.59,12.89,0,0,0
44,269.93,0.36,270.29,3.7,0,0,0
45,63.9,0.1,64.0,15.62,0,0,0
46,259.19,0.09,259.28,3.86,0,0,0
47,57.83,0.1,57.93,17.26,0,0,0
48,260.92,411.31,672.23,1.49,0,0,0
49,59.02,0.12,59.14,16.91,0,0,0
50,272.44,0.09,272.53,3.67,0,0,0
51,66.36,0.07,66.43,15.05,0,0,0
52,254.4,0.08,254.49,3.93,0,0,0
53,66.11,0.1,66.21,15.1,0,0,0
54,244.47,0.21,244.68,4.09,1,1,0
55,54.05,0.22,54.27,18.43,1,1,0
56,250.19,347.28,597.46,1.67,1,1,0
57,63.88,0.27,64.15,15.59,1,1,0
58,310.68,0.19,310.88,3.22,1,1,0
59,62.24,0.33,62.57,15.98,1,1,0
60,260.22,0.21,260.43,3.84,1,1,0
61,72.39,0.2,72.6,13.77,1,1,0
62,255.99,0.17,256.16,3.9,1,1,0
63,68.6,0.23,68.83,14.53,1,1,0
64,245.09,353.45,598.54,1.67,1,1,0
65,70.7,0.42,71.13,14.06,1,1,0
66,252.43,0.2,252.64,3.96,1,1,0
67,61.88,0.2,62.08,16.11,1,1,0
68,243.34,0.19,243.53,4.11,1,1,0
69,59.25,0.22,59.47,16.82,1,1,0
70,275.0,0.19,275.19,3.63,1,1,0
71,69.82,0.2,70.03,14.28,1,1,0
72,268.14,357.79,625.93,1.6,1,1,0
73,67.51,0.22,67.73,14.76,1,1,0
74,271.21,0.2,271.41,3.68,1,1,0
75,63.53,0.21,63.74,15.69,1,1,0
76,258.81,0.2,259.01,3.86,1,1,0
