frame_idx,class,x1,y1,x2,y2
0,NO-Hardhat,1101,92,1719,796
8,NO-Hardhat,1092,81,1733,818
16,NO-Hardhat,559,578,924,984
16,Person,1857,0,1920,317
24,NO-Hardhat,550,612,938,1018
32,NO-Hardhat,541,612,932,1018
40,NO-Hardhat,1518,0,1919,601
40,Mask,1515,0,1919,600
40,NO-Hardhat,280,630,650,1054
48,Hardhat,741,271,1349,630
64,NO-Hardhat,930,91,1509,821
72,NO-Hardhat,891,96,1490,803
80,NO-Hardhat,873,103,1521,828
88,NO-Hardhat,875,107,1520,818
96,NO-Hardhat,921,95,1512,830
104,NO-Hardhat,879,107,1533,804
112,NO-Hardhat,895,107,1531,839
128,NO-Hardhat,545,522,851,904
136,NO-Hardhat,538,529,856,914
136,NO-Mask,539,530,852,913
144,NO-Hardhat,869,4,1464,609
144,NO-Mask,870,2,1456,606
152,NO-Hardhat,996,132,1550,868
160,NO-Hardhat,984,132,1549,901
