frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,496.02,707.55,1203.57,0.83,1,1,0
1,63.58,0.19,63.77,15.68,1,1,0
2,80.63,0.07,80.7,12.39,1,1,0
3,53.75,0.05,53.81,18.59,1,1,0
4,55.28,0.09,55.37,18.06,1,1,0
5,511.22,0.09,511.31,1.96,1,1,0
6,28.1,0.05,28.15,35.52,1,1,0
7,30.1,0.05,30.16,33.16,1,1,0
8,25.2,447.44,472.64,2.12,1,1,0
9,24.66,0.11,24.77,40.37,1,1,0
10,251.53,0.09,251.63,3.97,1,1,0
11,27.62,0.09,27.71,36.09,1,1,0
12,26.13,0.09,26.22,38.14,1,1,0
13,26.94,0.09,27.03,37.0,1,1,0
14,26.54,0.09,26.63,37.55,1,1,0
15,256.7,0.09,256.79,3.89,1,1,0
16,26.6,371.42,398.02,2.51,1,1,0
17,25.91,0.08,25.99,38.47,1,1,0
18,30.49,0.09,30.58,32.7,1,1,0
19,25.3,0.09,25.38,39.4,1,1,0
20,328.17,0.08,328.25,3.05,2,2,0
21,54.69,0.09,54.77,18.26,2,2,0
22,59.96,0.09,60.05,16.65,2,2,0
23,54.56,0.08,54.64,18.3,2,2,0
24,55.6,357.86,413.45,2.42,2,2,0
25,295.16,0.06,295.22,3.39,2,2,0
26,69.76,0.08,69.84,14.32,2,2,0
27,64.5,0.08,64.58,15.48,2,2,0
28,63.6,0.11,63.71,15.7,2,2,0
29,100.35,0.09,100.44,9.96,2,2,0
30,430.02,0.08,430.1,2.33,2,2,0
31,55.68,0.07,55.75,17.94,2,2,0
32,53.5,392.55,446.04,2.24,2,2,0
33,58.86,0.12,58.99,16.95,2,2,0
34,53.63,0.09,53.72,18.62,2,2,0
35,319.92,0.09,320.01,3.12,2,2,0
36,56.76,0.1,56.86,17.59,2,2,0
37,59.09,0.09,59.18,16.9,2,2,0
38,61.16,0.09,61.25,16.33,2,2,0
39,55.99,0.12,56.12,17.82,2,2,0
40,268.08,358.39,626.47,1.6,2,2,0
41,53.94,0.09,54.02,18.51,2,2,0
42,51.09,0.09,51.18,19.54,2,2,0
43,59.08,0.09,59.17,16.9,2,2,0
44,58.61,0.09,58.7,17.04,2,2,0
45,289.78,0.09,289.86,3.45,2,2,0
46,61.37,0.09,61.46,16.27,2,2,0
47,59.67,0.11,59.79,16.73,2,2,0
48,63.88,365.64,429.51,2.33,2,2,0
49,54.06,0.08,54.14,18.47,2,2,0
50,327.21,0.11,327.32,3.06,2,2,0
51,56.79,0.12,56.91,17.57,2,2,0
52,50.99,0.1,51.09,19.57,2,2,0
53,58.58,0.08,58.67,17.05,2,2,0
54,51.24,0.08,51.32,19.49,2,2,0
55,260.86,0.1,260.96,3.83,3,3,0
56,83.25,419.05,502.3,1.99,3,3,0
57,82.9,0.08,82.99,12.05,3,3,0
58,79.69,0.08,79.77,12.54,3,3,0
59,78.27,0.09,78.36,12.76,3,3,0
60,324.05,0.08,324.13,3.09,3,3,0
61,79.03,0.08,79.11,12.64,3,3,0
62,76.88,0.09,76.96,12.99,3,3,0
63,75.64,0.1,75.74,13.2,3,3,0
64,79.76,343.71,423.46,2.36,3,3,0
65,304.52,0.09,304.6,3.28,3,3,0
66,78.16,0.09,78.24,12.78,3,3,0
67,83.29,0.08,83.37,11.99,3,3,0
68,85.43,0.09,85.51,11.69,3,3,0
69,83.67,0.08,83.75,11.94,3,3,0
70,353.04,0.11,353.15,2.83,3,3,0
71,79.8,0.08,79.89,12.52,3,3,0
72,80.42,363.66,444.08,2.25,3,3,0
73,87.36,0.09,87.46,11.43,3,3,0
74,85.44,0.1,85.55,11.69,3,3,0
75,294.25,0.09,294.34,3.4,3,3,0
76,78.81,0.09,78.9,12.67,3,3,0
77,74.39,0.08,74.47,13.43,3,3,0
78,77.79,0.09,77.88,12.84,3,3,0
79,75.28,0.08,75.36,13.27,3,3,0
80,281.72,390.73,672.46,1.49,3,3,0
81,78.98,0.09,79.07,12.65,3,3,0
82,74.23,0.09,74.32,13.46,3,3,0
83,89.69,0.1,89.79,11.14,3,3,0
84,79.86,0.09,79.95,12.51,3,3,0
85,312.02,0.09,312.11,3.2,3,3,0
86,76.9,0.1,77.0,12.99,3,3,0
87,77.16,0.09,77.26,12.94,3,3,0
88,80.92,359.86,440.78,2.27,3,3,0
89,82.77,0.09,82.86,12.07,3,3,0
90,340.52,0.09,340.61,2.94,3,3,0
91,78.79,0.09,78.89,12.68,3,3,0
92,78.02,0.09,78.1,12.8,3,3,0
93,82.89,0.09,82.98,12.05,3,3,0
94,76.28,0.1,76.38,13.09,3,3,0
95,306.94,0.09,307.03,3.26,3,3,0
96,77.39,392.09,469.48,2.13,3,3,0
97,81.29,0.04,81.33,12.3,3,3,0
98,81.36,0.04,81.4,12.28,3,3,0
99,86.95,0.05,87.01,11.49,3,3,0
100,313.2,0.05,313.24,3.19,3,3,0
101,77.91,0.05,77.95,12.83,3,3,0
102,77.66,0.05,77.71,12.87,3,3,0
103,79.0,0.04,79.04,12.65,3,3,0
104,74.7,353.94,428.64,2.33,3,3,0
105,310.12,0.05,310.17,3.22,3,3,0
106,82.67,0.05,82.72,12.09,3,3,0
107,87.96,0.05,88.01,11.36,3,3,0
108,81.21,0.05,81.26,12.31,3,3,0
109,83.63,0.05,83.68,11.95,3,3,0
110,299.99,0.05,300.04,3.33,3,3,0
111,82.41,0.07,82.48,12.12,3,3,0
112,77.57,374.28,451.85,2.21,3,3,0
113,78.53,0.08,78.61,12.72,3,3,0
114,76.53,0.04,76.58,13.06,3,3,0
115,298.91,0.04,298.95,3.34,3,3,0
116,83.24,0.05,83.29,12.01,3,3,0
117,78.63,0.05,78.68,12.71,3,3,0
118,76.84,0.05,76.89,13.01,3,3,0
119,77.47,0.05,77.52,12.9,3,3,0
120,314.02,362.24,676.26,1.48,3,3,0
121,77.63,0.09,77.72,12.87,3,3,0
122,76.94,0.09,77.03,12.98,3,3,0
123,78.12,0.09,78.21,12.79,3,3,0
124,77.07,0.09,77.16,12.96,3,3,0
125,290.57,0.09,290.66,3.44,3,3,0
126,80.2,0.09,80.29,12.46,3,3,0
127,82.87,0.1,82.96,12.05,3,3,0
128,81.33,364.27,445.6,2.24,3,3,0
129,78.75,0.09,78.84,12.68,3,3,0
130,323.84,0.09,323.94,3.09,3,3,0
131,82.82,0.09,82.91,12.06,3,3,0
132,74.08,0.1,74.17,13.48,3,3,0
133,86.77,0.09,86.86,11.51,3,3,0
134,77.83,0.09,77.92,12.83,3,3,0
135,319.67,0.09,319.77,3.13,3,3,0
136,76.23,362.93,439.16,2.28,3,3,0
137,80.29,0.1,80.38,12.44,3,3,0
138,75.29,0.11,75.4,13.26,3,3,0
139,75.04,0.09,75.13,13.31,3,3,0
140,336.29,0.1,336.39,2.97,3,3,0
141,80.18,0.09,80.27,12.46,3,3,0
142,90.68,0.1,90.78,11.02,3,3,0
143,84.03,0.13,84.16,11.88,3,3,0
144,79.11,386.25,465.36,2.15,3,3,0
145,331.91,0.1,332.0,3.01,3,3,0
146,75.47,0.09,75.56,13.24,3,3,0
147,78.99,0.09,79.08,12.65,3,3,0
148,75.66,0.11,75.76,13.2,3,3,0
149,81.59,0.1,81.69,12.24,3,3,0
150,425.02,0.1,425.11,2.35,4,4,0
151,104.3,0.09,104.39,9.58,4,4,0
152,100.78,376.31,477.09,2.1,4,4,0
153,110.8,0.01,110.8,9.03,4,4,0
154,108.04,0.01,108.05,9.26,4,4,0
155,661.08,0.0,661.09,1.51,5,5,0
156,138.31,0.01,138.31,7.23,5,5,0
157,130.21,0.01,130.21,7.68,5,5,0
158,133.78,0.01,133.79,7.47,5,5,0
159,123.63,0.01,123.63,8.09,5,5,0
160,688.51,410.99,1099.5,0.91,5,5,0
161,140.01,0.05,140.05,7.14,5,5,0
162,134.79,0.05,134.84,7.42,5,5,0
163,135.23,0.04,135.27,7.39,5,5,0
164,134.26,0.04,134.3,7.45,5,5,0
165,785.11,0.06,785.17,1.27,5,5,0
166,135.69,0.05,135.74,7.37,5,5,0
167,127.2,0.05,127.24,7.86,5,5,0
168,201.61,380.8,582.41,1.72,5,5,0
169,131.72,0.01,131.73,7.59,5,5,0
170,750.59,0.01,750.6,1.33,5,5,0
171,127.88,0.01,127.89,7.82,5,5,0
172,124.99,0.01,125.0,8.0,5,5,0
173,135.7,0.01,135.71,7.37,5,5,0
174,130.72,0.01,130.73,7.65,5,5,0
175,614.38,0.01,614.39,1.63,5,5,0
176,136.82,394.81,531.63,1.88,5,5,0
177,135.56,0.09,135.64,7.37,5,5,0
178,134.15,0.09,134.23,7.45,5,5,0
179,147.53,0.1,147.62,6.77,5,5,0
180,478.17,0.09,478.26,2.09,5,5,0
181,127.79,0.08,127.87,7.82,5,5,0
182,133.73,0.1,133.83,7.47,5,5,0
183,134.7,0.08,134.79,7.42,5,5,0
184,132.82,382.45,515.27,1.94,5,5,0
185,587.15,0.14,587.29,1.7,5,5,0
186,138.66,0.09,138.75,7.21,5,5,0
187,129.64,0.09,129.73,7.71,5,5,0
188,140.98,0.09,141.07,7.09,5,5,0
189,140.64,0.09,140.73,7.11,5,5,0
190,525.67,0.11,525.78,1.9,5,5,0
191,147.69,0.18,147.87,6.76,5,5,0
192,164.03,475.1,639.13,1.56,5,5,0
193,144.5,0.1,144.6,6.92,5,5,0
194,140.88,0.11,140.99,7.09,5,5,0
195,824.97,0.1,825.08,1.21,5,5,0
196,137.26,0.09,137.35,7.28,5,5,0
