frame_idx,class,x1,y1,x2,y2
0,NO-Hardhat,861,190,1343,780
8,NO-Mask,857,54,1330,793
8,NO-Hardhat,854,47,1328,791
16,NO-Mask,668,162,1179,780
16,NO-Hardhat,666,147,1182,782
24,NO-Mask,673,154,1176,788
32,NO-Mask,840,57,1315,781
32,NO-Hardhat,837,48,1316,784
40,NO-Hardhat,836,59,1306,788
40,NO-Mask,835,72,1302,789
48,NO-Hardhat,397,271,916,824
48,NO-Mask,394,271,927,821
56,NO-Mask,1038,98,1654,769
56,NO-Hardhat,1039,101,1655,770
64,NO-Mask,708,95,1191,768
64,NO-Hardhat,706,82,1190,769
72,NO-Mask,772,37,1241,775
72,NO-Hardhat,769,35,1242,777
80,NO-Mask,785,54,1239,816
80,NO-Hardhat,784,52,1240,809
88,NO-Mask,785,20,1283,809
88,NO-Hardhat,782,11,1281,813
96,NO-Mask,740,134,1217,772
104,NO-Mask,835,122,1336,805
112,NO-Mask,750,108,1230,773
120,NO-Mask,828,37,1314,805
120,NO-Hardhat,828,32,1317,802
128,NO-Mask,827,44,1308,790
128,NO-Hardhat,822,32,1310,791
136,NO-Mask,826,44,1312,790
136,NO-Hardhat,823,34,1315,790
144,NO-Mask,825,39,1309,810
144,NO-Hardhat,824,35,1311,806
160,NO-Hardhat,279,310,829,824
176,NO-Mask,955,37,1444,725
176,NO-Hardhat,954,27,1445,727
184,NO-Mask,869,37,1334,758
184,NO-Hardhat,868,37,1334,760
192,NO-Mask,874,39,1340,775
192,NO-Hardhat,873,40,1339,772
