ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758356301.5158222,78c49b34,0,1,1,0,anish,0.4919,804,208,1239,776
1758356303.70625,78c49b34,5,1,1,0,anish,0.6087,808,206,1243,793
1758356304.534129,78c49b34,10,1,1,0,anish,0.5773,811,227,1257,806
1758356304.980649,78c49b34,15,1,1,0,anish,0.5535,1121,365,1661,983
1758356305.842515,78c49b34,20,2,1,0,anish,0.5124,1121,365,1661,983
1758356305.842515,78c49b34,20,2,1,0,anish,0.5124,796,211,1266,834
1758356306.617375,78c49b34,25,2,1,0,anish,0.5447,796,211,1266,834
1758356306.617375,78c49b34,25,2,1,0,anish,0.5447,314,261,852,832
1758356307.083803,78c49b34,30,1,1,0,anish,0.5317,315,258,854,831
1758356307.98128,78c49b34,35,1,1,0,anish,0.5246,175,180,742,832
1758356308.441032,78c49b34,40,2,1,0,anish,0.5758,894,231,1427,882
1758356309.481977,78c49b34,45,2,1,0,anish,0.5843,957,264,1482,889
1758356310.508805,78c49b34,50,2,1,0,anish,0.5769,942,251,1450,876
1758356311.135072,78c49b34,55,2,1,0,anish,0.5898,1020,297,1552,912
1758356312.155829,78c49b34,60,3,1,0,anish,0.5738,176,412,752,1087
1758356312.155829,78c49b34,60,3,1,0,anish,0.5738,1050,520,1590,1145
1758356312.155829,78c49b34,60,3,1,0,anish,0.5738,666,180,1136,784
1758356313.075813,78c49b34,65,3,1,0,anish,0.5892,171,416,747,1091
1758356313.075813,78c49b34,65,3,1,0,anish,0.5892,1039,516,1579,1141
1758356313.075813,78c49b34,65,3,1,0,anish,0.5892,640,190,1106,783
1758356313.6261199,78c49b34,70,3,1,0,anish,0.5949,176,417,752,1092
1758356313.6261199,78c49b34,70,3,1,0,anish,0.5949,1039,517,1579,1142
1758356313.6261199,78c49b34,70,3,1,0,anish,0.5949,663,191,1125,782
1758356314.5704682,78c49b34,75,3,1,0,anish,0.5946,181,415,757,1090
1758356314.5704682,78c49b34,75,3,1,0,anish,0.5946,1041,519,1581,1144
1758356314.5704682,78c49b34,75,3,1,0,anish,0.5946,702,189,1154,789
1758356315.1694348,78c49b34,80,3,1,0,anish,0.5804,182,415,758,1090
1758356315.1694348,78c49b34,80,3,1,0,anish,0.5804,1042,520,1582,1145
1758356315.1694348,78c49b34,80,3,1,0,anish,0.5804,709,183,1160,790
