frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,571.68,1557.66,2129.34,0.47,1,1,0
1,11.2,0.06,11.26,88.84,1,1,0
2,11.93,0.07,12.01,83.29,1,1,0
3,20.76,0.06,20.82,48.02,1,1,0
4,19.67,0.07,19.75,50.64,1,1,0
5,414.56,0.06,414.62,2.41,1,1,0
6,10.04,0.05,10.09,99.12,1,1,0
7,12.59,0.1,12.69,78.8,1,1,0
8,14.63,415.43,430.06,2.33,1,1,0
9,10.8,0.1,10.91,91.7,1,1,0
10,249.5,0.09,249.59,4.01,1,1,0
11,9.91,0.1,10.01,99.88,1,1,0
12,10.9,0.1,11.0,90.91,1,1,0
13,10.44,0.1,10.54,94.86,1,1,0
14,10.7,0.1,10.8,92.62,1,1,0
15,290.83,0.15,290.98,3.44,1,1,0
16,6.82,357.39,364.2,2.75,1,1,0
17,6.96,0.06,7.02,142.55,1,1,0
18,7.06,0.06,7.12,140.45,1,1,0
19,7.47,0.1,7.56,132.24,1,1,0
20,322.17,0.06,322.22,3.1,2,2,0
21,12.73,0.07,12.8,78.13,1,1,0
22,6.46,0.06,6.52,153.35,1,1,0
23,6.96,0.07,7.03,142.22,1,1,0
24,7.41,356.78,364.19,2.75,1,1,0
25,259.63,0.12,259.75,3.85,2,2,0
26,18.77,0.09,18.87,53.01,1,1,0
27,12.35,0.1,12.46,80.28,1,1,0
28,12.19,0.09,12.28,81.41,1,1,0
29,13.84,0.09,13.94,71.75,1,1,0
30,296.47,0.09,296.55,3.37,1,1,0
31,11.78,0.09,11.86,84.29,1,1,0
32,12.31,380.5,392.81,2.55,1,1,0
33,11.36,0.09,11.45,87.35,1,1,0
34,10.51,0.09,10.6,94.38,1,1,0
35,327.07,0.1,327.17,3.06,1,1,0
36,7.83,0.09,7.92,126.23,1,1,0
37,7.4,0.1,7.49,133.44,1,1,0
38,9.04,0.09,9.14,109.44,1,1,0
39,15.47,0.09,15.56,64.25,1,1,0
40,398.22,351.66,749.88,1.33,2,2,0
41,28.35,0.05,28.4,35.21,2,2,0
42,31.08,0.06,31.14,32.12,2,2,0
43,29.14,0.05,29.2,34.25,2,2,0
44,29.31,0.06,29.37,34.05,2,2,0
45,385.85,0.07,385.92,2.59,2,2,0
46,27.37,0.06,27.43,36.46,2,2,0
47,26.51,0.06,26.57,37.64,2,2,0
48,28.79,361.23,390.02,2.56,2,2,0
49,28.89,0.11,29.0,34.48,2,2,0
50,413.96,0.17,414.13,2.41,2,2,0
51,23.09,0.1,23.19,43.13,2,2,0
52,29.03,0.12,29.15,34.3,2,2,0
53,23.77,0.1,23.88,41.88,2,2,0
54,29.73,0.1,29.83,33.53,2,2,0
55,380.43,0.1,380.52,2.63,2,2,0
56,28.58,377.89,406.47,2.46,2,2,0
57,25.87,0.11,25.98,38.49,2,2,0
58,28.57,0.11,28.68,34.87,2,2,0
59,27.27,0.1,27.37,36.54,2,2,0
60,266.13,0.11,266.24,3.76,3,3,0
61,32.76,0.09,32.85,30.44,3,3,0
62,33.81,0.09,33.9,29.5,3,3,0
63,38.2,0.1,38.3,26.11,3,3,0
64,36.89,350.08,386.96,2.58,3,3,0
65,285.64,0.06,285.7,3.5,3,3,0
66,35.28,0.05,35.34,28.3,3,3,0
67,37.93,0.07,38.0,26.32,3,3,0
68,37.9,0.05,37.95,26.35,3,3,0
69,36.49,0.05,36.54,27.36,3,3,0
70,266.73,0.05,266.78,3.75,3,3,0
71,31.46,0.05,31.51,31.73,3,3,0
72,31.3,352.36,383.66,2.61,3,3,0
73,36.01,0.16,36.17,27.65,3,3,0
74,41.35,0.09,41.44,24.13,3,3,0
75,312.29,0.09,312.39,3.2,3,3,0
76,38.86,0.1,38.96,25.66,3,3,0
77,39.45,0.09,39.54,25.29,3,3,0
78,41.99,0.13,42.12,23.74,3,3,0
79,40.44,0.09,40.53,24.67,3,3,0
80,311.34,354.01,665.35,1.5,3,3,0
